A,B,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category,novel
Mr. Woodhouse,Emma,18,19,i believe it is very true my dear indeed i am afraid i am sometimes very fanciful and troublesome,my dearest papa you do not think i could mean you or suppose mr knightley to mean you what a horrible idea oh no i meant only myself mr knightley loves to find fault with me you know in a joke it is all a joke we always say what we like to one another,Emma; Mr. Knightley,M,intermediate,F,major,Emma
Emma,Mr. Knightley,19,20,my dearest papa you do not think i could mean you or suppose mr knightley to mean you what a horrible idea oh no i meant only myself mr knightley loves to find fault with me you know in a joke it is all a joke we always say what we like to one another,emma knows i never flatter her but i meant no reflection on any body miss taylor has been used to have two persons to please she will now have but one the chances are that she must be a gainer,Mr. Knightley; Mr. Woodhouse,F,major,M,major,Emma
Mr. Knightley,Emma,20,21,emma knows i never flatter her but i meant no reflection on any body miss taylor has been used to have two persons to please she will now have but one the chances are that she must be a gainer,well you want to hear about the wedding and i shall be happy to tell you for we all behaved charmingly every body was punctual every body in their best looks not a tear and hardly a long face to be seen oh no we all felt that we were going to be only half a mile apart and were sure of meeting every day,Emma; Mr. Woodhouse,M,major,F,major,Emma
Emma,Mr. Woodhouse,21,22,well you want to hear about the wedding and i shall be happy to tell you for we all behaved charmingly every body was punctual every body in their best looks not a tear and hardly a long face to be seen oh no we all felt that we were going to be only half a mile apart and were sure of meeting every day,dear emma bears every thing so well but mr knightley she is really very sorry to lose poor miss taylor and i am sure she will miss her more than she thinks for,Mr. Knightley; Mr. Woodhouse,F,major,M,intermediate,Emma
Mr. Woodhouse,Mr. Knightley,22,23,dear emma bears every thing so well but mr knightley she is really very sorry to lose poor miss taylor and i am sure she will miss her more than she thinks for,it is impossible that emma should not miss such a companion we should not like her so well as we do sir if we could suppose it but she knows how much the marriage is to miss taylor s advantage she knows how very acceptable it must be at miss taylor s time of life to be settled in a home of her own and how important to her to be secure of a comfortable provision and therefore cannot allow herself to feel so much pain as pleasure every friend of miss taylor must be glad to have her so happily married,Emma; Mr. Knightley,M,intermediate,M,major,Emma
Mr. Knightley,Emma,23,24,it is impossible that emma should not miss such a companion we should not like her so well as we do sir if we could suppose it but she knows how much the marriage is to miss taylor s advantage she knows how very acceptable it must be at miss taylor s time of life to be settled in a home of her own and how important to her to be secure of a comfortable provision and therefore cannot allow herself to feel so much pain as pleasure every friend of miss taylor must be glad to have her so happily married,and you have forgotten one matter of joy to me and a very considerable one that i made the match myself i made the match you know four years ago and to have it take place and be proved in the right when so many people said mr weston would never marry again may comfort me for any thing,Emma; Mr. Woodhouse,M,major,F,major,Emma
Emma,Mr. Woodhouse,24,25,and you have forgotten one matter of joy to me and a very considerable one that i made the match myself i made the match you know four years ago and to have it take place and be proved in the right when so many people said mr weston would never marry again may comfort me for any thing,ah my dear i wish you would not make matches and foretell things for whatever you say always comes to pass pray do not make any more matches,Mr. Knightley; Mr. Woodhouse,F,major,M,intermediate,Emma
Mr. Woodhouse,Emma,25,26,ah my dear i wish you would not make matches and foretell things for whatever you say always comes to pass pray do not make any more matches,i promise you to make none for myself papa but i must indeed for other people it is the greatest amusement in the world and after such success you know every body said that mr weston would never marry again oh dear no mr weston who had been a widower so long and who seemed so perfectly comfortable without a wife so constantly occupied either in his business in town or among his friends here always acceptable wherever he went always cheerful mr weston need not spend a single evening in the year alone if he did not like it oh no mr weston certainly would never marry again some people even talked of a promise to his wife on her deathbed and others of the son and the uncle not letting him all manner of solemn nonsense was talked on the subject but i believed none of it ever since the day about four years ago that miss taylor and i met with him in broadway lane when because it began to drizzle he darted away with so much gallantry and borrowed two umbrellas for us from farmer mitchell s i made up my mind on the subject i planned the match from that hour and when such success has blessed me in this instance dear papa you cannot think that i shall leave off match making,Emma; Mr. Knightley,M,intermediate,F,major,Emma
Emma,Mr. Knightley,26,27,i promise you to make none for myself papa but i must indeed for other people it is the greatest amusement in the world and after such success you know every body said that mr weston would never marry again oh dear no mr weston who had been a widower so long and who seemed so perfectly comfortable without a wife so constantly occupied either in his business in town or among his friends here always acceptable wherever he went always cheerful mr weston need not spend a single evening in the year alone if he did not like it oh no mr weston certainly would never marry again some people even talked of a promise to his wife on her deathbed and others of the son and the uncle not letting him all manner of solemn nonsense was talked on the subject but i believed none of it ever since the day about four years ago that miss taylor and i met with him in broadway lane when because it began to drizzle he darted away with so much gallantry and borrowed two umbrellas for us from farmer mitchell s i made up my mind on the subject i planned the match from that hour and when such success has blessed me in this instance dear papa you cannot think that i shall leave off match making,i do not understand what you mean by success success supposes endeavour your time has been properly and delicately spent if you have been endeavouring for the last four years to bring about this marriage a worthy employment for a young lady s mind but if which i rather imagine your making the match as you call it means only your planning it your saying to yourself one idle day i think it would be a very good thing for miss taylor if mr weston were to marry her and saying it again to yourself every now and then afterwards why do you talk of success where is your merit what are you proud of you made a lucky guess and that is all that can be said,Mr. Knightley; Mr. Woodhouse,F,major,M,major,Emma
Mr. Knightley,Emma,27,28,i do not understand what you mean by success success supposes endeavour your time has been properly and delicately spent if you have been endeavouring for the last four years to bring about this marriage a worthy employment for a young lady s mind but if which i rather imagine your making the match as you call it means only your planning it your saying to yourself one idle day i think it would be a very good thing for miss taylor if mr weston were to marry her and saying it again to yourself every now and then afterwards why do you talk of success where is your merit what are you proud of you made a lucky guess and that is all that can be said,and have you never known the pleasure and triumph of a lucky guess i pity you i thought you cleverer for depend upon it a lucky guess is never merely luck there is always some talent in it and as to my poor word success which you quarrel with i do not know that i am so entirely without any claim to it you have drawn two pretty pictures but i think there may be a third a something between the do nothing and the do all if i had not promoted mr weston s visits here and given many little encouragements and smoothed many little matters it might not have come to any thing after all i think you must know hartfield enough to comprehend that,Emma; Mr. Woodhouse,M,major,F,major,Emma
Emma,Mr. Knightley,28,29,and have you never known the pleasure and triumph of a lucky guess i pity you i thought you cleverer for depend upon it a lucky guess is never merely luck there is always some talent in it and as to my poor word success which you quarrel with i do not know that i am so entirely without any claim to it you have drawn two pretty pictures but i think there may be a third a something between the do nothing and the do all if i had not promoted mr weston s visits here and given many little encouragements and smoothed many little matters it might not have come to any thing after all i think you must know hartfield enough to comprehend that,a straightforward open hearted man like weston and a rational unaffected woman like miss taylor may be safely left to manage their own concerns you are more likely to have done harm to yourself than good to them by interference,Mr. Knightley; Mr. Woodhouse,F,major,M,major,Emma
Mr. Knightley,Mr. Woodhouse,29,30,a straightforward open hearted man like weston and a rational unaffected woman like miss taylor may be safely left to manage their own concerns you are more likely to have done harm to yourself than good to them by interference,emma never thinks of herself if she can do good to others but my dear pray do not make any more matches they are silly things and break up one s family circle grievously,Emma; Mr. Woodhouse,M,major,M,intermediate,Emma
Mr. Woodhouse,Emma,30,31,emma never thinks of herself if she can do good to others but my dear pray do not make any more matches they are silly things and break up one s family circle grievously,only one more papa only for mr elton poor mr elton you like mr elton papa i must look about for a wife for him there is nobody in highbury who deserves him and he has been here a whole year and has fitted up his house so comfortably that it would be a shame to have him single any longer and i thought when he was joining their hands to day he looked so very much as if he would like to have the same kind office done for him i think very well of mr elton and this is the only way i have of doing him a service,Emma; Mr. Knightley,M,intermediate,F,major,Emma
Emma,Mr. Woodhouse,31,32,only one more papa only for mr elton poor mr elton you like mr elton papa i must look about for a wife for him there is nobody in highbury who deserves him and he has been here a whole year and has fitted up his house so comfortably that it would be a shame to have him single any longer and i thought when he was joining their hands to day he looked so very much as if he would like to have the same kind office done for him i think very well of mr elton and this is the only way i have of doing him a service,mr elton is a very pretty young man to be sure and a very good young man and i have a great regard for him but if you want to shew him any attention my dear ask him to come and dine with us some day that will be a much better thing i dare say mr knightley will be so kind as to meet him,Mr. Knightley; Mr. Woodhouse,F,major,M,intermediate,Emma
Mr. Woodhouse,Mr. Knightley,32,33,mr elton is a very pretty young man to be sure and a very good young man and i have a great regard for him but if you want to shew him any attention my dear ask him to come and dine with us some day that will be a much better thing i dare say mr knightley will be so kind as to meet him,with a great deal of pleasure sir at any time and i agree with you entirely that it will be a much better thing invite him to dinner emma and help him to the best of the fish and the chicken but leave him to chuse his own wife depend upon it a man of six or seven and twenty can take care of himself,Emma; Mr. Knightley,M,intermediate,M,major,Emma
Mr. Knightley,Mr. Woodhouse,33,34,with a great deal of pleasure sir at any time and i agree with you entirely that it will be a much better thing invite him to dinner emma and help him to the best of the fish and the chicken but leave him to chuse his own wife depend upon it a man of six or seven and twenty can take care of himself,ah poor miss taylor she would be very glad to stay,Emma; Mr. Woodhouse,M,major,M,intermediate,Emma
Mr. Woodhouse,Harriet Smith,35,36,mrs bates let me propose your venturing on one of these eggs an egg boiled very soft is not unwholesome serle understands boiling an egg better than any body i would not recommend an egg boiled by any body else but you need not be afraid they are very small you see one of our small eggs will not hurt you miss bates let emma help you to a little bit of tart a very little bit ours are all apple tarts you need not be afraid of unwholesome preserves here i do not advise the custard mrs goddard what say you to half a glass of wine a small half glass put into a tumbler of water i do not think it could disagree with you,two parlours two very good parlours indeed one of them quite as large as mrs goddard s drawing room and of her having an upper maid who had lived five and twenty years with her and of their having eight cows two of them alderneys and one a little welch cow a very pretty little welch cow indeed and of mrs martin s saying as she was so fond of it it should be called her cow and of their having a very handsome summer house in their garden where some day next year they were all to drink tea a very handsome summer house large enough to hold a dozen people,Emma; Harriet Smith; Miss Bates; Mrs. Bates,M,intermediate,F,major,Emma
Harriet Smith,Emma,36,37,two parlours two very good parlours indeed one of them quite as large as mrs goddard s drawing room and of her having an upper maid who had lived five and twenty years with her and of their having eight cows two of them alderneys and one a little welch cow a very pretty little welch cow indeed and of mrs martin s saying as she was so fond of it it should be called her cow and of their having a very handsome summer house in their garden where some day next year they were all to drink tea a very handsome summer house large enough to hold a dozen people,well done mrs martin you know what you are about,Emma,F,major,F,major,Emma
Harriet Smith,Emma,38,39,and when she had come away mrs martin was so very kind as to send mrs goddard a beautiful goose the finest goose mrs goddard had ever seen mrs goddard had dressed it on a sunday and asked all the three teachers miss nash and miss prince and miss richardson to sup with her,mr martin i suppose is not a man of information beyond the line of his own business he does not read,Emma,F,major,F,major,Emma
Emma,Harriet Smith,39,40,mr martin i suppose is not a man of information beyond the line of his own business he does not read,oh yes that is no i do not know but i believe he has read a good deal but not what you would think any thing of he reads the agricultural reports and some other books that lay in one of the window seats but he reads all them to himself but sometimes of an evening before we went to cards he would read something aloud out of the elegant extracts very entertaining and i know he has read the vicar of wakefield he never read the romance of the forest nor the children of the abbey he had never heard of such books before i mentioned them but he is determined to get them now as soon as ever he can,Harriet Smith,F,major,F,major,Emma
Harriet Smith,Emma,40,41,oh yes that is no i do not know but i believe he has read a good deal but not what you would think any thing of he reads the agricultural reports and some other books that lay in one of the window seats but he reads all them to himself but sometimes of an evening before we went to cards he would read something aloud out of the elegant extracts very entertaining and i know he has read the vicar of wakefield he never read the romance of the forest nor the children of the abbey he had never heard of such books before i mentioned them but he is determined to get them now as soon as ever he can,what sort of looking man is mr martin,Emma,F,major,F,major,Emma
Emma,Harriet Smith,41,42,what sort of looking man is mr martin,oh not handsome not at all handsome i thought him very plain at first but i do not think him so plain now one does not you know after a time but did you never see him he is in highbury every now and then and he is sure to ride through every week in his way to kingston he has passed you very often,Harriet Smith,F,major,F,major,Emma
Harriet Smith,Emma,42,43,oh not handsome not at all handsome i thought him very plain at first but i do not think him so plain now one does not you know after a time but did you never see him he is in highbury every now and then and he is sure to ride through every week in his way to kingston he has passed you very often,that may be and i may have seen him fifty times but without having any idea of his name a young farmer whether on horseback or on foot is the very last sort of person to raise my curiosity the yeomanry are precisely the order of people with whom i feel i can have nothing to do a degree or two lower and a creditable appearance might interest me i might hope to be useful to their families in some way or other but a farmer can need none of my help and is therefore in one sense as much above my notice as in every other he is below it,Emma,F,major,F,major,Emma
Emma,Harriet Smith,43,44,that may be and i may have seen him fifty times but without having any idea of his name a young farmer whether on horseback or on foot is the very last sort of person to raise my curiosity the yeomanry are precisely the order of people with whom i feel i can have nothing to do a degree or two lower and a creditable appearance might interest me i might hope to be useful to their families in some way or other but a farmer can need none of my help and is therefore in one sense as much above my notice as in every other he is below it,to be sure oh yes it is not likely you should ever have observed him but he knows you very well indeed i mean by sight,Harriet Smith,F,major,F,major,Emma
Harriet Smith,Emma,44,45,to be sure oh yes it is not likely you should ever have observed him but he knows you very well indeed i mean by sight,i have no doubt of his being a very respectable young man i know indeed that he is so and as such wish him well what do you imagine his age to be,Emma,F,major,F,major,Emma
Emma,Harriet Smith,45,46,i have no doubt of his being a very respectable young man i know indeed that he is so and as such wish him well what do you imagine his age to be,he was four and twenty the 8th of last june and my birthday is the 23rd just a fortnight and a day s difference which is very odd,Harriet Smith,F,major,F,major,Emma
Harriet Smith,Emma,46,47,he was four and twenty the 8th of last june and my birthday is the 23rd just a fortnight and a day s difference which is very odd,only four and twenty that is too young to settle his mother is perfectly right not to be in a hurry they seem very comfortable as they are and if she were to take any pains to marry him she would probably repent it six years hence if he could meet with a good sort of young woman in the same rank as his own with a little money it might be very desirable,Emma,F,major,F,major,Emma
Emma,Harriet Smith,47,48,only four and twenty that is too young to settle his mother is perfectly right not to be in a hurry they seem very comfortable as they are and if she were to take any pains to marry him she would probably repent it six years hence if he could meet with a good sort of young woman in the same rank as his own with a little money it might be very desirable,six years hence dear miss woodhouse he would be thirty years old,Harriet Smith,F,major,F,major,Emma
Harriet Smith,Emma,48,49,six years hence dear miss woodhouse he would be thirty years old,well and that is as early as most men can afford to marry who are not born to an independence mr martin i imagine has his fortune entirely to make cannot be at all beforehand with the world whatever money he might come into when his father died whatever his share of the family property it is i dare say all afloat all employed in his stock and so forth and though with diligence and good luck he may be rich in time it is next to impossible that he should have realised any thing yet,Emma,F,major,F,major,Emma
Emma,Harriet Smith,49,50,well and that is as early as most men can afford to marry who are not born to an independence mr martin i imagine has his fortune entirely to make cannot be at all beforehand with the world whatever money he might come into when his father died whatever his share of the family property it is i dare say all afloat all employed in his stock and so forth and though with diligence and good luck he may be rich in time it is next to impossible that he should have realised any thing yet,to be sure so it is but they live very comfortably they have no indoors man else they do not want for any thing and mrs martin talks of taking a boy another year,Harriet Smith,F,major,F,major,Emma
Harriet Smith,Emma,50,51,to be sure so it is but they live very comfortably they have no indoors man else they do not want for any thing and mrs martin talks of taking a boy another year,i wish you may not get into a scrape harriet whenever he does marry i mean as to being acquainted with his wife for though his sisters from a superior education are not to be altogether objected to it does not follow that he might marry any body at all fit for you to notice the misfortune of your birth ought to make you particularly careful as to your associates there can be no doubt of your being a gentleman s daughter and you must support your claim to that station by every thing within your own power or there will be plenty of people who would take pleasure in degrading you,Emma,F,major,F,major,Emma
Emma,Harriet Smith,51,52,i wish you may not get into a scrape harriet whenever he does marry i mean as to being acquainted with his wife for though his sisters from a superior education are not to be altogether objected to it does not follow that he might marry any body at all fit for you to notice the misfortune of your birth ought to make you particularly careful as to your associates there can be no doubt of your being a gentleman s daughter and you must support your claim to that station by every thing within your own power or there will be plenty of people who would take pleasure in degrading you,yes to be sure i suppose there are but while i visit at hartfield and you are so kind to me miss woodhouse i am not afraid of what any body can do,Harriet Smith,F,major,F,major,Emma
Harriet Smith,Emma,52,53,yes to be sure i suppose there are but while i visit at hartfield and you are so kind to me miss woodhouse i am not afraid of what any body can do,you understand the force of influence pretty well harriet but i would have you so firmly established in good society as to be independent even of hartfield and miss woodhouse i want to see you permanently well connected and to that end it will be advisable to have as few odd acquaintance as may be and therefore i say that if you should still be in this country when mr martin marries i wish you may not be drawn in by your intimacy with the sisters to be acquainted with the wife who will probably be some mere farmer s daughter without education,Emma,F,major,F,major,Emma
Emma,Harriet Smith,53,54,you understand the force of influence pretty well harriet but i would have you so firmly established in good society as to be independent even of hartfield and miss woodhouse i want to see you permanently well connected and to that end it will be advisable to have as few odd acquaintance as may be and therefore i say that if you should still be in this country when mr martin marries i wish you may not be drawn in by your intimacy with the sisters to be acquainted with the wife who will probably be some mere farmer s daughter without education,to be sure yes not that i think mr martin would ever marry any body but what had had some education and been very well brought up however i do not mean to set up my opinion against yours and i am sure i shall not wish for the acquaintance of his wife i shall always have a great regard for the miss martins especially elizabeth and should be very sorry to give them up for they are quite as well educated as me but if he marries a very ignorant vulgar woman certainly i had better not visit her if i can help it only think of our happening to meet him how very odd it was quite a chance he said that he had not gone round by randalls he did not think we ever walked this road he thought we walked towards randalls most days he has not been able to get the romance of the forest yet he was so busy the last time he was at kingston that he quite forgot it but he goes again to morrow so very odd we should happen to meet well miss woodhouse is he like what you expected what do you think of him do you think him so very plain,Harriet Smith,F,major,F,major,Emma
Harriet Smith,Emma,54,55,to be sure yes not that i think mr martin would ever marry any body but what had had some education and been very well brought up however i do not mean to set up my opinion against yours and i am sure i shall not wish for the acquaintance of his wife i shall always have a great regard for the miss martins especially elizabeth and should be very sorry to give them up for they are quite as well educated as me but if he marries a very ignorant vulgar woman certainly i had better not visit her if i can help it only think of our happening to meet him how very odd it was quite a chance he said that he had not gone round by randalls he did not think we ever walked this road he thought we walked towards randalls most days he has not been able to get the romance of the forest yet he was so busy the last time he was at kingston that he quite forgot it but he goes again to morrow so very odd we should happen to meet well miss woodhouse is he like what you expected what do you think of him do you think him so very plain,he is very plain undoubtedly remarkably plain but that is nothing compared with his entire want of gentility i had no right to expect much and i did not expect much but i had no idea that he could be so very clownish so totally without air i had imagined him i confess a degree or two nearer gentility,Emma,F,major,F,major,Emma
Emma,Harriet Smith,55,56,he is very plain undoubtedly remarkably plain but that is nothing compared with his entire want of gentility i had no right to expect much and i did not expect much but i had no idea that he could be so very clownish so totally without air i had imagined him i confess a degree or two nearer gentility,to be sure he is not so genteel as real gentlemen,Harriet Smith,F,major,F,major,Emma
Harriet Smith,Emma,56,57,to be sure he is not so genteel as real gentlemen,i think harriet since your acquaintance with us you have been repeatedly in the company of some such very real gentlemen that you must yourself be struck with the difference in mr martin at hartfield you have had very good specimens of well educated well bred men i should be surprized if after seeing them you could be in company with mr martin again without perceiving him to be a very inferior creature and rather wondering at yourself for having ever thought him at all agreeable before do not you begin to feel that now were not you struck i am sure you must have been struck by his awkward look and abrupt manner and the uncouthness of a voice which i heard to be wholly unmodulated as i stood here,Emma,F,major,F,major,Emma
Emma,Harriet Smith,57,58,i think harriet since your acquaintance with us you have been repeatedly in the company of some such very real gentlemen that you must yourself be struck with the difference in mr martin at hartfield you have had very good specimens of well educated well bred men i should be surprized if after seeing them you could be in company with mr martin again without perceiving him to be a very inferior creature and rather wondering at yourself for having ever thought him at all agreeable before do not you begin to feel that now were not you struck i am sure you must have been struck by his awkward look and abrupt manner and the uncouthness of a voice which i heard to be wholly unmodulated as i stood here,certainly he is not like mr knightley he has not such a fine air and way of walking as mr knightley i see the difference plain enough but mr knightley is so very fine a man,Harriet Smith,F,major,F,major,Emma
Harriet Smith,Emma,58,59,certainly he is not like mr knightley he has not such a fine air and way of walking as mr knightley i see the difference plain enough but mr knightley is so very fine a man,mr knightley s air is so remarkably good that it is not fair to compare mr martin with him you might not see one in a hundred with gentleman so plainly written as in mr knightley but he is not the only gentleman you have been lately used to what say you to mr weston and mr elton compare mr martin with either of them compare their manner of carrying themselves of walking of speaking of being silent you must see the difference,Emma,F,major,F,major,Emma
Emma,Harriet Smith,59,60,mr knightley s air is so remarkably good that it is not fair to compare mr martin with him you might not see one in a hundred with gentleman so plainly written as in mr knightley but he is not the only gentleman you have been lately used to what say you to mr weston and mr elton compare mr martin with either of them compare their manner of carrying themselves of walking of speaking of being silent you must see the difference,oh yes there is a great difference but mr weston is almost an old man mr weston must be between forty and fifty,Harriet Smith,F,major,F,major,Emma
Harriet Smith,Emma,60,61,oh yes there is a great difference but mr weston is almost an old man mr weston must be between forty and fifty,which makes his good manners the more valuable the older a person grows harriet the more important it is that their manners should not be bad the more glaring and disgusting any loudness or coarseness or awkwardness becomes what is passable in youth is detestable in later age mr martin is now awkward and abrupt what will he be at mr weston s time of life,Emma,F,major,F,major,Emma
Emma,Harriet Smith,61,62,which makes his good manners the more valuable the older a person grows harriet the more important it is that their manners should not be bad the more glaring and disgusting any loudness or coarseness or awkwardness becomes what is passable in youth is detestable in later age mr martin is now awkward and abrupt what will he be at mr weston s time of life,there is no saying indeed,Harriet Smith,F,major,F,major,Emma
Harriet Smith,Emma,62,63,there is no saying indeed,but there may be pretty good guessing he will be a completely gross vulgar farmer totally inattentive to appearances and thinking of nothing but profit and loss,Emma,F,major,F,major,Emma
Emma,Harriet Smith,63,64,but there may be pretty good guessing he will be a completely gross vulgar farmer totally inattentive to appearances and thinking of nothing but profit and loss,will he indeed that will be very bad,Harriet Smith,F,major,F,major,Emma
Harriet Smith,Emma,64,65,will he indeed that will be very bad,how much his business engrosses him already is very plain from the circumstance of his forgetting to inquire for the book you recommended he was a great deal too full of the market to think of any thing else which is just as it should be for a thriving man what has he to do with books and i have no doubt that he will thrive and be a very rich man in time and his being illiterate and coarse need not disturb us,Emma,F,major,F,major,Emma
Emma,Harriet Smith,65,66,how much his business engrosses him already is very plain from the circumstance of his forgetting to inquire for the book you recommended he was a great deal too full of the market to think of any thing else which is just as it should be for a thriving man what has he to do with books and i have no doubt that he will thrive and be a very rich man in time and his being illiterate and coarse need not disturb us,i wonder he did not remember the book,Harriet Smith,F,major,F,major,Emma
Harriet Smith,Emma,66,67,i wonder he did not remember the book,in one respect perhaps mr elton s manners are superior to mr knightley s or mr weston s they have more gentleness they might be more safely held up as a pattern there is an openness a quickness almost a bluntness in mr weston which every body likes in him because there is so much good humour with it but that would not do to be copied neither would mr knightley s downright decided commanding sort of manner though it suits him very well his figure and look and situation in life seem to allow it but if any young man were to set about copying him he would not be sufferable on the contrary i think a young man might be very safely recommended to take mr elton as a model mr elton is good humoured cheerful obliging and gentle he seems to me to be grown particularly gentle of late i do not know whether he has any design of ingratiating himself with either of us harriet by additional softness but it strikes me that his manners are softer than they used to be if he means any thing it must be to please you did not i tell you what he said of you the other day,Emma,F,major,F,major,Emma
Mr. Knightley,Mrs. Weston,68,69,i do not know what your opinion may be mrs weston of this great intimacy between emma and harriet smith but i think it a bad thing,a bad thing do you really think it a bad thing why so,Mrs. Weston,M,major,F,intermediate,Emma
Mrs. Weston,Mr. Knightley,69,70,a bad thing do you really think it a bad thing why so,i think they will neither of them do the other any good,Mr. Knightley,F,intermediate,M,major,Emma
Mr. Knightley,Mrs. Weston,70,71,i think they will neither of them do the other any good,you surprize me emma must do harriet good and by supplying her with a new object of interest harriet may be said to do emma good i have been seeing their intimacy with the greatest pleasure how very differently we feel not think they will do each other any good this will certainly be the beginning of one of our quarrels about emma mr knightley,Mrs. Weston,M,major,F,intermediate,Emma
