A,B,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category,novel
Mr. Woodhouse,Emma,35,37,mrs bates let me propose your venturing on one of these eggs an egg boiled very soft is not unwholesome serle understands boiling an egg better than any body i would not recommend an egg boiled by any body else but you need not be afraid they are very small you see one of our small eggs will not hurt you miss bates let emma help you to a little bit of tart a very little bit ours are all apple tarts you need not be afraid of unwholesome preserves here i do not advise the custard mrs goddard what say you to half a glass of wine a small half glass put into a tumbler of water i do not think it could disagree with you,well done mrs martin you know what you are about,Emma; Harriet Smith; Miss Bates; Mrs. Bates,M,intermediate,F,major,Emma
Harriet Smith,Mr. Elton,107,109,oh dear no never,let me entreat you it would indeed be a delight let me entreat you miss woodhouse to exercise so charming a talent in favour of your friend i know what your drawings are how could you suppose me ignorant is not this room rich in specimens of your landscapes and flowers and has not mrs weston some inimitable figure pieces in her drawing room at randalls,Emma; Mr. Elton,F,major,M,intermediate,Emma
Emma,Mr. Elton,116,118,by all means we shall be most happy to consider you as one of the party,do you think so i cannot agree with you it appears to me a most perfect resemblance in every feature i never saw such a likeness in my life we must allow for the effect of shade you know,Harriet Smith; Mr. Elton,F,major,M,intermediate,Emma
Mrs. Weston,Mr. Knightley,117,119,miss woodhouse has given her friend the only beauty she wanted the expression of the eye is most correct but miss smith has not those eyebrows and eyelashes it is the fault of her face that she has them not,you have made her too tall emma,Emma; Harriet Smith; Mr. Elton; Mr. Knightley; Mr. Woodhouse,F,intermediate,M,major,Emma
Mr. Knightley,Mr. Woodhouse,119,121,you have made her too tall emma,it is very pretty so prettily done just as your drawings always are my dear i do not know any body who draws so well as you do the only thing i do not thoroughly like is that she seems to be sitting out of doors with only a little shawl over her shoulders and it makes one think she must catch cold,Emma; Harriet Smith; Mr. Elton; Mr. Woodhouse; Mrs. Weston,M,major,M,intermediate,Emma
Mr. Elton,Emma,120,122,oh no certainly not too tall not in the least too tall consider she is sitting down which naturally presents a different which in short gives exactly the idea and the proportions must be preserved you know proportions fore shortening oh no it gives one exactly the idea of such a height as miss smith s exactly so indeed,but my dear papa it is supposed to be summer a warm day in summer look at the tree,Emma; Harriet Smith; Mr. Knightley; Mr. Woodhouse; Mrs. Weston,M,intermediate,F,major,Emma
Emma,Mr. Elton,122,124,but my dear papa it is supposed to be summer a warm day in summer look at the tree,you sir may say any thing but i must confess that i regard it as a most happy thought the placing of miss smith out of doors and the tree is touched with such inimitable spirit any other situation would have been much less in character the naivete of miss smith s manners and altogether oh it is most admirable i cannot keep my eyes from it i never saw such a likeness,Harriet Smith; Mr. Elton; Mr. Knightley; Mr. Woodhouse; Mrs. Weston,F,major,M,intermediate,Emma
Mr. Woodhouse,Mr. Elton,123,125,but it is never safe to sit out of doors my dear,what a precious deposit,Emma; Harriet Smith; Mr. Elton; Mr. Knightley; Mrs. Weston,M,intermediate,M,intermediate,Emma
Mr. Elton,Emma,124,126,you sir may say any thing but i must confess that i regard it as a most happy thought the placing of miss smith out of doors and the tree is touched with such inimitable spirit any other situation would have been much less in character the naivete of miss smith s manners and altogether oh it is most admirable i cannot keep my eyes from it i never saw such a likeness,upon my word the young man is determined not to lose any thing for want of asking he will connect himself well if he can,Emma; Harriet Smith; Mr. Knightley; Mr. Woodhouse; Mrs. Weston,M,intermediate,F,major,Emma
Mr. Woodhouse,Mr. Knightley,163,165,i would ask for the pleasure of your company mr knightley but i am a very slow walker and my pace would be tedious to you and besides you have another long walk before you to donwell abbey,i cannot rate her beauty as you do but she is a pretty little creature and i am inclined to think very well of her disposition her character depends upon those she is with but in good hands she will turn out a valuable woman,Emma; Mr. Knightley,M,intermediate,M,major,Emma
Mr. Knightley,Emma,164,166,thank you sir thank you i am going this moment myself and i think the sooner you go the better i will fetch your greatcoat and open the garden door for you,i am glad you think so and the good hands i hope may not be wanting,Emma; Mr. Woodhouse,M,major,F,major,Emma
Mr. Elton,Emma,203,205,i do not offer it for miss smith s collection being my friend s i have no right to expose it in any degree to the public eye but perhaps you may not dislike looking at it,very well mr elton very well indeed i have read worse charades courtship a very good hint i give you credit for it this is feeling your way this is saying very plainly pray miss smith give me leave to pay my addresses to you approve my charade and my intentions in the same glance harriet exactly soft is the very word for her eye of all epithets the justest that could be given humph harriet s ready wit all the better a man must be very much in love indeed to describe her so ah mr knightley i wish you had the benefit of this i think this would convince you for once in your life you would be obliged to own yourself mistaken an excellent charade indeed and very much to the purpose things must come to a crisis soon now,Emma; Harriet Smith,M,intermediate,F,major,Emma
Emma,Harriet Smith,204,206,take it it is for you take your own,what can it be miss woodhouse what can it be i have not an idea i cannot guess it in the least what can it possibly be do try to find it out miss woodhouse do help me i never saw any thing so hard is it kingdom i wonder who the friend was and who could be the young lady do you think it is a good one can it be woman can it be neptune or a trident or a mermaid or a shark oh no shark is only one syllable it must be very clever or he would not have brought it oh miss woodhouse do you think we shall ever find it out,Harriet Smith,F,major,F,major,Emma
Harriet Smith,Emma,228,230,oh no i hope i shall not be ridiculous about it do as you please,yes papa we have something to read you something quite fresh a piece of paper was found on the table this morning dropt we suppose by a fairy containing a very pretty charade and we have just copied it in,Emma,F,major,F,major,Emma
Emma,Harriet Smith,242,244,ah papa that is what you never have been able to accomplish and i do not think you ever will isabella cannot bear to stay behind her husband harriet must give us as much of her company as she can while my brother and sister are here i am sure she will be pleased with the children we are very proud of the children are not we papa i wonder which she will think the handsomest henry or john,i dare say they are sir i am sure i do not know who is not,Harriet Smith; Mr. Woodhouse,F,major,F,major,Emma
Harriet Smith,Emma,244,246,i dare say they are sir i am sure i do not know who is not,he appears rough to you because you are so very gentle yourself but if you could compare him with other papas you would not think him rough he wishes his boys to be active and hardy and if they misbehave can give them a sharp word now and then but he is an affectionate father certainly mr john knightley is an affectionate father the children are all fond of him,Emma; Mr. Woodhouse,F,major,F,major,Emma
Mr. Woodhouse,Emma,249,251,well i cannot understand it,oh here is the charade you were so obliging as to leave with us thank you for the sight of it we admired it so much that i have ventured to write it into miss smith s collection your friend will not take it amiss i hope of course i have not transcribed beyond the first eight lines you must make my apologies to your friend but so good a charade must not be confined to one or two he may be sure of every woman s approbation while he writes with such gallantry,Emma; Harriet Smith,M,intermediate,F,major,Emma
Mr. Elton,Harriet Smith,252,254,i have no hesitation in saying i have no hesitation in saying at least if my friend feels at all as i do i have not the smallest doubt that could he see his little effusion honoured as i see it he would consider it as the proudest moment of his life,oh what a sweet house how very beautiful there are the yellow curtains that miss nash admires so much,Emma; Harriet Smith,M,intermediate,F,major,Emma
Harriet Smith,Emma,274,276,oh dear yes,part of my lace is gone and i do not know how i am to contrive i really am a most troublesome companion to you both but i hope i am not often so ill equipped mr elton i must beg leave to stop at your house and ask your housekeeper for a bit of ribband or string or any thing just to keep my boot on,Emma,F,major,F,major,Emma
Isabella,Emma,279,281,oh yes sir how you must miss her and dear emma too what a dreadful loss to you both i have been so grieved for you i could not imagine how you could possibly do without her it is a sad change indeed but i hope she is pretty well sir,oh no none in the least i never saw mrs weston better in my life never looking so well papa is only speaking his own regret,Emma; Mr. John Knightley; Mr. Woodhouse,F,intermediate,F,major,Emma
Mr. Woodhouse,Mr. John Knightley,280,282,pretty well my dear i hope pretty well i do not know but that the place agrees with her tolerably,very much to the honour of both,Emma; Isabella; Mr. John Knightley,M,intermediate,M,intermediate,Emma
Emma,Isabella,281,283,oh no none in the least i never saw mrs weston better in my life never looking so well papa is only speaking his own regret,and do you see her sir tolerably often,Isabella; Mr. John Knightley; Mr. Woodhouse,F,major,F,intermediate,Emma
Mr. John Knightley,Mr. Woodhouse,282,284,very much to the honour of both,not near so often my dear as i could wish,Emma; Isabella; Mr. Woodhouse,M,intermediate,M,intermediate,Emma
Isabella,Emma,283,285,and do you see her sir tolerably often,oh papa we have missed seeing them but one entire day since they married either in the morning or evening of every day excepting one have we seen either mr weston or mrs weston and generally both either at randalls or here and as you may suppose isabella most frequently here they are very very kind in their visits mr weston is really as kind as herself papa if you speak in that melancholy way you will be giving isabella a false idea of us all every body must be aware that miss taylor must be missed but every body ought also to be assured that mr and mrs weston do really prevent our missing her by any means to the extent we ourselves anticipated which is the exact truth,Emma; Mr. John Knightley; Mr. Woodhouse,F,intermediate,F,major,Emma
Mr. Woodhouse,Mr. John Knightley,284,286,not near so often my dear as i could wish,just as it should be and just as i hoped it was from your letters her wish of shewing you attention could not be doubted and his being a disengaged and social man makes it all easy i have been always telling you my love that i had no idea of the change being so very material to hartfield as you apprehended and now you have emma s account i hope you will be satisfied,Emma; Isabella; Mr. John Knightley,M,intermediate,M,intermediate,Emma
Emma,Mr. Woodhouse,285,287,oh papa we have missed seeing them but one entire day since they married either in the morning or evening of every day excepting one have we seen either mr weston or mrs weston and generally both either at randalls or here and as you may suppose isabella most frequently here they are very very kind in their visits mr weston is really as kind as herself papa if you speak in that melancholy way you will be giving isabella a false idea of us all every body must be aware that miss taylor must be missed but every body ought also to be assured that mr and mrs weston do really prevent our missing her by any means to the extent we ourselves anticipated which is the exact truth,why to be sure yes certainly i cannot deny that mrs weston poor mrs weston does come and see us pretty often but then she is always obliged to go away again,Isabella; Mr. John Knightley; Mr. Woodhouse,F,major,M,intermediate,Emma
Mr. John Knightley,Emma,286,288,just as it should be and just as i hoped it was from your letters her wish of shewing you attention could not be doubted and his being a disengaged and social man makes it all easy i have been always telling you my love that i had no idea of the change being so very material to hartfield as you apprehended and now you have emma s account i hope you will be satisfied,it would be very hard upon mr weston if she did not papa you quite forget poor mr weston,Emma; Isabella; Mr. Woodhouse,M,intermediate,F,major,Emma
Mr. Woodhouse,Mr. John Knightley,287,289,why to be sure yes certainly i cannot deny that mrs weston poor mrs weston does come and see us pretty often but then she is always obliged to go away again,i think indeed that mr weston has some little claim you and i emma will venture to take the part of the poor husband i being a husband and you not being a wife the claims of the man may very likely strike us with equal force as for isabella she has been married long enough to see the convenience of putting all the mr westons aside as much as she can,Emma; Isabella; Mr. John Knightley,M,intermediate,M,intermediate,Emma
Emma,Isabella,288,290,it would be very hard upon mr weston if she did not papa you quite forget poor mr weston,me my love are you talking about me i am sure nobody ought to be or can be a greater advocate for matrimony than i am and if it had not been for the misery of her leaving hartfield i should never have thought of miss taylor but as the most fortunate woman in the world and as to slighting mr weston that excellent mr weston i think there is nothing he does not deserve i believe he is one of the very best tempered men that ever existed excepting yourself and your brother i do not know his equal for temper i shall never forget his flying henry s kite for him that very windy day last easter and ever since his particular kindness last september twelvemonth in writing that note at twelve o clock at night on purpose to assure me that there was no scarlet fever at cobham i have been convinced there could not be a more feeling heart nor a better man in existence if any body can deserve him it must be miss taylor,Isabella; Mr. John Knightley; Mr. Woodhouse,F,major,F,intermediate,Emma
Isabella,Emma,290,292,me my love are you talking about me i am sure nobody ought to be or can be a greater advocate for matrimony than i am and if it had not been for the misery of her leaving hartfield i should never have thought of miss taylor but as the most fortunate woman in the world and as to slighting mr weston that excellent mr weston i think there is nothing he does not deserve i believe he is one of the very best tempered men that ever existed excepting yourself and your brother i do not know his equal for temper i shall never forget his flying henry s kite for him that very windy day last easter and ever since his particular kindness last september twelvemonth in writing that note at twelve o clock at night on purpose to assure me that there was no scarlet fever at cobham i have been convinced there could not be a more feeling heart nor a better man in existence if any body can deserve him it must be miss taylor,he has not been here yet there was a strong expectation of his coming soon after the marriage but it ended in nothing and i have not heard him mentioned lately,Emma; Mr. John Knightley; Mr. Woodhouse,F,intermediate,F,major,Emma
Mr. John Knightley,Mr. Woodhouse,291,293,where is the young man has he been here on this occasion or has he not,but you should tell them of the letter my dear he wrote a letter to poor mrs weston to congratulate her and a very proper handsome letter it was she shewed it to me i thought it very well done of him indeed whether it was his own idea you know one cannot tell he is but young and his uncle perhaps,Emma; Isabella; Mr. Woodhouse,M,intermediate,M,intermediate,Emma
Emma,Isabella,294,296,my dear papa he is three and twenty you forget how time passes,how very pleasing and proper of him i have no doubt of his being a most amiable young man but how sad it is that he should not live at home with his father there is something so shocking in a child s being taken away from his parents and natural home i never could comprehend how mr weston could part with him to give up one s child i really never could think well of any body who proposed such a thing to any body else,Isabella; Mr. John Knightley; Mr. Woodhouse,F,major,F,intermediate,Emma
Mr. Woodhouse,Mr. John Knightley,295,297,three and twenty is he indeed well i could not have thought it and he was but two years old when he lost his poor mother well time does fly indeed and my memory is very bad however it was an exceeding good pretty letter and gave mr and mrs weston a great deal of pleasure i remember it was written from weymouth and dated sept 28th and began but i forget how it went on and it was signed f c weston churchill i remember that perfectly,nobody ever did think well of the churchills i fancy but you need not imagine mr weston to have felt what you would feel in giving up henry or john mr weston is rather an easy cheerful tempered man than a man of strong feelings he takes things as he finds them and makes enjoyment of them somehow or other depending i suspect much more upon what is called society for his comforts that is upon the power of eating and drinking and playing whist with his neighbours five times a week than upon family affection or any thing that home affords,Emma; Isabella; Mr. John Knightley,M,intermediate,M,intermediate,Emma
Isabella,Emma,296,298,how very pleasing and proper of him i have no doubt of his being a most amiable young man but how sad it is that he should not live at home with his father there is something so shocking in a child s being taken away from his parents and natural home i never could comprehend how mr weston could part with him to give up one s child i really never could think well of any body who proposed such a thing to any body else,what a comfort it is that we think alike about our nephews and nieces as to men and women our opinions are sometimes very different but with regard to these children i observe we never disagree,Emma; Mr. John Knightley; Mr. Woodhouse,F,intermediate,F,major,Emma
Emma,Mr. Knightley,308,310,ah indeed i am very sorry come shake hands with me,john how are you,Mr. Knightley,F,major,M,major,Emma
Isabella,Emma,312,314,mr wingfield most strenuously recommended it sir or we should not have gone he recommended it for all the children but particularly for the weakness in little bella s throat both sea air and bathing,come come i must beg you not to talk of the sea it makes me envious and miserable i who have never seen it south end is prohibited if you please my dear isabella i have not heard you make one inquiry about mr perry yet and he never forgets you,Emma; Mr. Woodhouse,F,intermediate,F,major,Emma
Mr. Woodhouse,Isabella,313,315,ah my dear but perry had many doubts about the sea doing her any good and as to myself i have been long perfectly convinced though perhaps i never told you so before that the sea is very rarely of use to any body i am sure it almost killed me once,oh good mr perry how is he sir,Emma; Isabella,M,intermediate,F,intermediate,Emma
Emma,Mr. Woodhouse,314,316,come come i must beg you not to talk of the sea it makes me envious and miserable i who have never seen it south end is prohibited if you please my dear isabella i have not heard you make one inquiry about mr perry yet and he never forgets you,why pretty well but not quite well poor perry is bilious and he has not time to take care of himself he tells me he has not time to take care of himself which is very sad but he is always wanted all round the country i suppose there is not a man in such practice anywhere but then there is not so clever a man any where,Isabella; Mr. Woodhouse,F,major,M,intermediate,Emma
Isabella,Emma,319,321,oh my dear sir her throat is so much better that i have hardly any uneasiness about it either bathing has been of the greatest service to her or else it is to be attributed to an excellent embrocation of mr wingfield s which we have been applying at times ever since august,you seem to me to have forgotten mrs and miss bates i have not heard one inquiry after them,Emma; Mr. Woodhouse,F,intermediate,F,major,Emma
Mr. Woodhouse,Isabella,320,322,it is not very likely my dear that bathing should have been of use to her and if i had known you were wanting an embrocation i would have spoken to,oh the good bateses i am quite ashamed of myself but you mention them in most of your letters i hope they are quite well good old mrs bates i will call upon her to morrow and take my children they are always so pleased to see my children and that excellent miss bates such thorough worthy people how are they sir,Emma; Isabella,M,intermediate,F,intermediate,Emma
Emma,Mr. Woodhouse,321,323,you seem to me to have forgotten mrs and miss bates i have not heard one inquiry after them,why pretty well my dear upon the whole but poor mrs bates had a bad cold about a month ago,Isabella; Mr. Woodhouse,F,major,M,intermediate,Emma
Mr. Woodhouse,Isabella,331,333,middling my dear i cannot compliment you i think mr john knightley very far from looking well,i am sorry to find my love that my father does not think you looking well but i hope it is only from being a little fatigued i could have wished however as you know that you had seen mr wingfield before you left home,Emma; Isabella,M,intermediate,F,intermediate,Emma
Isabella,Emma,333,335,i am sorry to find my love that my father does not think you looking well but i hope it is only from being a little fatigued i could have wished however as you know that you had seen mr wingfield before you left home,i did not thoroughly understand what you were telling your brother about your friend mr graham s intending to have a bailiff from scotland to look after his new estate what will it answer will not the old prejudice be too strong,Emma; Mr. John Knightley; Mr. Knightley; Mr. Woodhouse,F,intermediate,F,major,Emma
Mr. John Knightley,Isabella,334,336,my dear isabella pray do not concern yourself about my looks be satisfied with doctoring and coddling yourself and the children and let me look as i chuse,that sweet amiable jane fairfax it is so long since i have seen her except now and then for a moment accidentally in town what happiness it must be to her good old grandmother and excellent aunt when she comes to visit them i always regret excessively on dear emma s account that she cannot be more at highbury but now their daughter is married i suppose colonel and mrs campbell will not be able to part with her at all she would be such a delightful companion for emma,Emma; Isabella; Mr. Knightley; Mr. Woodhouse,M,intermediate,F,intermediate,Emma
Emma,Mr. Woodhouse,335,337,i did not thoroughly understand what you were telling your brother about your friend mr graham s intending to have a bailiff from scotland to look after his new estate what will it answer will not the old prejudice be too strong,our little friend harriet smith however is just such another pretty kind of young person you will like harriet emma could not have a better companion than harriet,Isabella; Mr. John Knightley; Mr. Knightley; Mr. Woodhouse,F,major,M,intermediate,Emma
Isabella,Mr. John Knightley,344,346,but my dear sir the difference of the journey only consider how great it would have been an hundred miles perhaps instead of forty,mr perry would do as well to keep his opinion till it is asked for why does he make it any business of his to wonder at what i do at my taking my family to one part of the coast or another i may be allowed i hope the use of my judgment as well as mr perry i want his directions no more than his drugs if mr perry can tell me how to convey a wife and five children a distance of an hundred and thirty miles with no greater expense or inconvenience than a distance of forty i should be as willing to prefer cromer to south end as he could himself,Emma; Mr. John Knightley; Mr. Knightley; Mr. Woodhouse,F,intermediate,M,intermediate,Emma
Mr. Woodhouse,Mr. Knightley,345,347,ah my dear as perry says where health is at stake nothing else should be considered and if one is to travel there is not much to chuse between forty miles and an hundred better not move at all better stay in london altogether than travel forty miles to get into a worse air this is just what perry said it seemed to him a very ill judged measure,true true very true that s a consideration indeed but john as to what i was telling you of my idea of moving the path to langham of turning it more to the right that it may not cut through the home meadows i cannot conceive any difficulty i should not attempt it if it were to be the means of inconvenience to the highbury people but if you call to mind exactly the present line of the path the only way of proving it however will be to turn to our maps i shall see you at the abbey to morrow morning i hope and then we will look them over and you shall give me your opinion,Emma; Isabella; Mr. John Knightley; Mr. Knightley,M,intermediate,M,major,Emma
Mr. Knightley,Emma,347,349,true true very true that s a consideration indeed but john as to what i was telling you of my idea of moving the path to langham of turning it more to the right that it may not cut through the home meadows i cannot conceive any difficulty i should not attempt it if it were to be the means of inconvenience to the highbury people but if you call to mind exactly the present line of the path the only way of proving it however will be to turn to our maps i shall see you at the abbey to morrow morning i hope and then we will look them over and you shall give me your opinion,it is so cold so very cold and looks and feels so very much like snow that if it were to any other place or with any other party i should really try not to go out to day and dissuade my father from venturing but as he has made up his mind and does not seem to feel the cold himself i do not like to interfere as i know it would be so great a disappointment to mr and mrs weston but upon my word mr elton in your case i should certainly excuse myself you appear to me a little hoarse already and when you consider what demand of voice and what fatigues to morrow will bring i think it would be no more than common prudence to stay at home and take care of yourself to night,Emma; Isabella; Mr. John Knightley; Mr. Woodhouse,M,major,F,major,Emma
Mr. Elton,Emma,350,352,very cold certainly very cold,well this is most strange after i had got him off so well to chuse to go into company and leave harriet ill behind most strange indeed but there is i believe in many men especially single men such an inclination such a passion for dining out a dinner engagement is so high in the class of their pleasures their employments their dignities almost their duties that any thing gives way to it and this must be the case with mr elton a most valuable amiable pleasing young man undoubtedly and very much in love with harriet but still he cannot refuse an invitation he must dine out wherever he is asked what a strange thing love is he can see ready wit in harriet but will not dine alone for her,Emma; Mr. John Knightley,M,intermediate,F,major,Emma
Emma,Mr. John Knightley,351,353,you do quite right we will make your apologies to mr and mrs weston,i never in my life saw a man more intent on being agreeable than mr elton it is downright labour to him where ladies are concerned with men he can be rational and unaffected but when he has ladies to please every feature works,Mr. Elton; Mr. John Knightley,F,major,M,intermediate,Emma
Emma,Mr. John Knightley,366,368,he has been used to her in these complaints and i hope to morrow morning will bring us both a more comfortable report but it is impossible not to feel uneasiness such a sad loss to our party to day,yes and i think we shall have a good deal of it,Mr. Elton; Mr. John Knightley,F,major,M,intermediate,Emma
Mr. Elton,Emma,373,375,indeed i had no idea that the law had been so great a slavery well sir the time must come when you will be paid for all this when you will have little labour and great enjoyment,can it really be as my brother imagined can it be possible for this man to be beginning to transfer his affections from harriet to me absurd and insufferable,Emma; Mr. John Knightley,M,intermediate,F,major,Emma
Mr. Weston,Emma,376,378,my son frank my son,what a very great pleasure it will be to you and mrs weston is so anxious to be acquainted with him that she must be almost as happy as yourself,Emma; Isabella; Mr. Elton; Mr. John Knightley; Mr. Knightley; Mr. Woodhouse; Mrs. Weston,M,intermediate,F,major,Emma
Mr. Weston,Emma,381,383,yes i have some right to that knowledge though i have never been at the place in my life she is an odd woman but i never allow myself to speak ill of her on frank s account for i do believe her to be very fond of him i used to think she was not capable of being fond of any body except herself but she has always been kind to him in her way allowing for little whims and caprices and expecting every thing to be as she likes and it is no small credit in my opinion to him that he should excite such an affection for though i would not say it to any body else she has no more heart than a stone to people in general and the devil of a temper,yes it seems to depend upon nothing but the ill humour of mrs churchill which i imagine to be the most certain thing in the world,Emma,M,intermediate,F,major,Emma
Emma,Mrs. Weston,383,385,yes it seems to depend upon nothing but the ill humour of mrs churchill which i imagine to be the most certain thing in the world,you must know my dear mrs knightley that we are by no means so sure of seeing mr frank churchill in my opinion as his father thinks it depends entirely upon his aunt s spirits and pleasure in short upon her temper to you to my two daughters i may venture on the truth mrs churchill rules at enscombe and is a very odd tempered woman and his coming now depends upon her being willing to spare him,Mrs. Weston,F,major,F,intermediate,Emma
Mrs. Weston,Emma,385,387,you must know my dear mrs knightley that we are by no means so sure of seeing mr frank churchill in my opinion as his father thinks it depends entirely upon his aunt s spirits and pleasure in short upon her temper to you to my two daughters i may venture on the truth mrs churchill rules at enscombe and is a very odd tempered woman and his coming now depends upon her being willing to spare him,and so you do not consider this visit from your son as by any means certain i am sorry for it the introduction must be unpleasant whenever it takes place and the sooner it could be over the better,Emma; Isabella,F,intermediate,F,major,Emma
