A,B,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category
Fanny,John Dashwood,15,16,certainly not but if you observe people always live for ever when there is an annuity to be paid them and she is very stout and healthy and hardly forty an annuity is a very serious business it comes over and over every year and there is no getting rid of it you are not aware of what you are doing i have known a great deal of the trouble of annuities for my mother was clogged with the payment of three to old superannuated servants by my father s will and it is amazing how disagreeable she found it twice every year these annuities were to be paid and then there was the trouble of getting it to them and then one of them was said to have died and afterwards it turned out to be no such thing my mother was quite sick of it her income was not her own she said with such perpetual claims on it and it was the more unkind in my father because otherwise the money would have been entirely at my mother s disposal without any restriction whatever it has given me such an abhorrence of annuities that i am sure i would not pin myself down to the payment of one for all the world,it is certainly an unpleasant thing to have those kind of yearly drains on one s income one s fortune as your mother justly says is not one s own to be tied down to the regular payment of such a sum on every rent day is by no means desirable it takes away one s independence,John Dashwood,F,minor,M,intermediate
John Dashwood,Fanny,16,17,it is certainly an unpleasant thing to have those kind of yearly drains on one s income one s fortune as your mother justly says is not one s own to be tied down to the regular payment of such a sum on every rent day is by no means desirable it takes away one s independence,undoubtedly and after all you have no thanks for it they think themselves secure you do no more than what is expected and it raises no gratitude at all if i were you whatever i did should be done at my own discretion entirely i would not bind myself to allow them any thing yearly it may be very inconvenient some years to spare a hundred or even fifty pounds from our own expenses,Fanny,M,intermediate,F,minor
Fanny,John Dashwood,17,18,undoubtedly and after all you have no thanks for it they think themselves secure you do no more than what is expected and it raises no gratitude at all if i were you whatever i did should be done at my own discretion entirely i would not bind myself to allow them any thing yearly it may be very inconvenient some years to spare a hundred or even fifty pounds from our own expenses,i believe you are right my love it will be better that there should be no annuity in the case whatever i may give them occasionally will be of far greater assistance than a yearly allowance because they would only enlarge their style of living if they felt sure of a larger income and would not be sixpence the richer for it at the end of the year it will certainly be much the best way a present of fifty pounds now and then will prevent their ever being distressed for money and will i think be amply discharging my promise to my father,John Dashwood,F,minor,M,intermediate
John Dashwood,Fanny,18,19,i believe you are right my love it will be better that there should be no annuity in the case whatever i may give them occasionally will be of far greater assistance than a yearly allowance because they would only enlarge their style of living if they felt sure of a larger income and would not be sixpence the richer for it at the end of the year it will certainly be much the best way a present of fifty pounds now and then will prevent their ever being distressed for money and will i think be amply discharging my promise to my father,to be sure it will indeed to say the truth i am convinced within myself that your father had no idea of your giving them any money at all the assistance he thought of i dare say was only such as might be reasonably expected of you for instance such as looking out for a comfortable small house for them helping them to move their things and sending them presents of fish and game and so forth whenever they are in season i ll lay my life that he meant nothing farther indeed it would be very strange and unreasonable if he did do but consider my dear mr dashwood how excessively comfortable your mother in law and her daughters may live on the interest of seven thousand pounds besides the thousand pounds belonging to each of the girls which brings them in fifty pounds a year a piece and of course they will pay their mother for their board out of it altogether they will have five hundred a year amongst them and what on earth can four women want for more than that they will live so cheap their housekeeping will be nothing at all they will have no carriage no horses and hardly any servants they will keep no company and can have no expenses of any kind only conceive how comfortable they will be five hundred a year i am sure i cannot imagine how they will spend half of it and as to your giving them more it is quite absurd to think of it they will be much more able to give you something,Fanny,M,intermediate,F,minor
Fanny,John Dashwood,19,20,to be sure it will indeed to say the truth i am convinced within myself that your father had no idea of your giving them any money at all the assistance he thought of i dare say was only such as might be reasonably expected of you for instance such as looking out for a comfortable small house for them helping them to move their things and sending them presents of fish and game and so forth whenever they are in season i ll lay my life that he meant nothing farther indeed it would be very strange and unreasonable if he did do but consider my dear mr dashwood how excessively comfortable your mother in law and her daughters may live on the interest of seven thousand pounds besides the thousand pounds belonging to each of the girls which brings them in fifty pounds a year a piece and of course they will pay their mother for their board out of it altogether they will have five hundred a year amongst them and what on earth can four women want for more than that they will live so cheap their housekeeping will be nothing at all they will have no carriage no horses and hardly any servants they will keep no company and can have no expenses of any kind only conceive how comfortable they will be five hundred a year i am sure i cannot imagine how they will spend half of it and as to your giving them more it is quite absurd to think of it they will be much more able to give you something,upon my word i believe you are perfectly right my father certainly could mean nothing more by his request to me than what you say i clearly understand it now and i will strictly fulfil my engagement by such acts of assistance and kindness to them as you have described when my mother removes into another house my services shall be readily given to accommodate her as far as i can some little present of furniture too may be acceptable then,John Dashwood,F,minor,M,intermediate
John Dashwood,Fanny,20,21,upon my word i believe you are perfectly right my father certainly could mean nothing more by his request to me than what you say i clearly understand it now and i will strictly fulfil my engagement by such acts of assistance and kindness to them as you have described when my mother removes into another house my services shall be readily given to accommodate her as far as i can some little present of furniture too may be acceptable then,certainly but however one thing must be considered when your father and mother moved to norland though the furniture of stanhill was sold all the china plate and linen was saved and is now left to your mother her house will therefore be almost completely fitted up as soon as she takes it,Fanny,M,intermediate,F,minor
Fanny,John Dashwood,21,22,certainly but however one thing must be considered when your father and mother moved to norland though the furniture of stanhill was sold all the china plate and linen was saved and is now left to your mother her house will therefore be almost completely fitted up as soon as she takes it,that is a material consideration undoubtedly a valuable legacy indeed and yet some of the plate would have been a very pleasant addition to our own stock here,John Dashwood,F,minor,M,intermediate
John Dashwood,Fanny,22,23,that is a material consideration undoubtedly a valuable legacy indeed and yet some of the plate would have been a very pleasant addition to our own stock here,yes and the set of breakfast china is twice as handsome as what belongs to this house a great deal too handsome in my opinion for any place they can ever afford to live in but however so it is your father thought only of them and i must say this that you owe no particular gratitude to him nor attention to his wishes for we very well know that if he could he would have left almost everything in the world to them,Fanny,M,intermediate,F,minor
Mrs. Dashwood,Elinor,24,25,it is enough to say that he is unlike fanny is enough it implies everything amiable i love him already,i think you will like him when you know more of him,Elinor,F,intermediate,F,major
Elinor,Mrs. Dashwood,25,26,i think you will like him when you know more of him,like him i feel no sentiment of approbation inferior to love,Mrs. Dashwood,F,major,F,intermediate
Mrs. Dashwood,Elinor,26,27,like him i feel no sentiment of approbation inferior to love,you may esteem him,Elinor,F,intermediate,F,major
Elinor,Mrs. Dashwood,27,28,you may esteem him,i have never yet known what it was to separate esteem and love,Mrs. Dashwood,F,major,F,intermediate
Mrs. Dashwood,Marianne,29,30,in a few months my dear marianne elinor will in all probability be settled for life we shall miss her but she will be happy,oh mama how shall we do without her,Marianne,F,intermediate,F,major
Marianne,Mrs. Dashwood,30,31,oh mama how shall we do without her,my love it will be scarcely a separation we shall live within a few miles of each other and shall meet every day of our lives you will gain a brother a real affectionate brother i have the highest opinion in the world of edward s heart but you look grave marianne do you disapprove your sister s choice,Mrs. Dashwood,F,major,F,intermediate
Mrs. Dashwood,Marianne,31,32,my love it will be scarcely a separation we shall live within a few miles of each other and shall meet every day of our lives you will gain a brother a real affectionate brother i have the highest opinion in the world of edward s heart but you look grave marianne do you disapprove your sister s choice,perhaps i may consider it with some surprise edward is very amiable and i love him tenderly but yet he is not the kind of young man there is something wanting his figure is not striking it has none of that grace which i should expect in the man who could seriously attach my sister his eyes want all that spirit that fire which at once announce virtue and intelligence and besides all this i am afraid mama he has no real taste music seems scarcely to attract him and though he admires elinor s drawings very much it is not the admiration of a person who can understand their worth it is evident in spite of his frequent attention to her while she draws that in fact he knows nothing of the matter he admires as a lover not as a connoisseur to satisfy me those characters must be united i could not be happy with a man whose taste did not in every point coincide with my own he must enter into all my feelings the same books the same music must charm us both oh mama how spiritless how tame was edward s manner in reading to us last night i felt for my sister most severely yet she bore it with so much composure she seemed scarcely to notice it i could hardly keep my seat to hear those beautiful lines which have frequently almost driven me wild pronounced with such impenetrable calmness such dreadful indifference,Marianne,F,intermediate,F,major
Marianne,Mrs. Dashwood,32,33,perhaps i may consider it with some surprise edward is very amiable and i love him tenderly but yet he is not the kind of young man there is something wanting his figure is not striking it has none of that grace which i should expect in the man who could seriously attach my sister his eyes want all that spirit that fire which at once announce virtue and intelligence and besides all this i am afraid mama he has no real taste music seems scarcely to attract him and though he admires elinor s drawings very much it is not the admiration of a person who can understand their worth it is evident in spite of his frequent attention to her while she draws that in fact he knows nothing of the matter he admires as a lover not as a connoisseur to satisfy me those characters must be united i could not be happy with a man whose taste did not in every point coincide with my own he must enter into all my feelings the same books the same music must charm us both oh mama how spiritless how tame was edward s manner in reading to us last night i felt for my sister most severely yet she bore it with so much composure she seemed scarcely to notice it i could hardly keep my seat to hear those beautiful lines which have frequently almost driven me wild pronounced with such impenetrable calmness such dreadful indifference,he would certainly have done more justice to simple and elegant prose i thought so at the time but you would give him cowper,Mrs. Dashwood,F,major,F,intermediate
Mrs. Dashwood,Marianne,33,34,he would certainly have done more justice to simple and elegant prose i thought so at the time but you would give him cowper,nay mama if he is not to be animated by cowper but we must allow for difference of taste elinor has not my feelings and therefore she may overlook it and be happy with him but it would have broke my heart had i loved him to hear him read with so little sensibility mama the more i know of the world the more am i convinced that i shall never see a man whom i can really love i require so much he must have all edward s virtues and his person and manners must ornament his goodness with every possible charm,Marianne,F,intermediate,F,major
Marianne,Mrs. Dashwood,34,35,nay mama if he is not to be animated by cowper but we must allow for difference of taste elinor has not my feelings and therefore she may overlook it and be happy with him but it would have broke my heart had i loved him to hear him read with so little sensibility mama the more i know of the world the more am i convinced that i shall never see a man whom i can really love i require so much he must have all edward s virtues and his person and manners must ornament his goodness with every possible charm,remember my love that you are not seventeen it is yet too early in life to despair of such a happiness why should you be less fortunate than your mother in one circumstance only my marianne may your destiny be different from hers,Mrs. Dashwood,F,major,F,intermediate
Mrs. Dashwood,Marianne,35,36,remember my love that you are not seventeen it is yet too early in life to despair of such a happiness why should you be less fortunate than your mother in one circumstance only my marianne may your destiny be different from hers,what a pity it is elinor that edward should have no taste for drawing,Marianne,F,intermediate,F,major
Marianne,Elinor,36,37,what a pity it is elinor that edward should have no taste for drawing,no taste for drawing why should you think so he does not draw himself indeed but he has great pleasure in seeing the performances of other people and i assure you he is by no means deficient in natural taste though he has not had opportunities of improving it had he ever been in the way of learning i think he would have drawn very well he distrusts his own judgment in such matters so much that he is always unwilling to give his opinion on any picture but he has an innate propriety and simplicity of taste which in general direct him perfectly right i hope marianne you do not consider him as deficient in general taste indeed i think i may say that you cannot for your behaviour to him is perfectly cordial and if that were your opinion i am sure you could never be civil to him,Elinor,F,major,F,major
Elinor,Marianne,37,38,no taste for drawing why should you think so he does not draw himself indeed but he has great pleasure in seeing the performances of other people and i assure you he is by no means deficient in natural taste though he has not had opportunities of improving it had he ever been in the way of learning i think he would have drawn very well he distrusts his own judgment in such matters so much that he is always unwilling to give his opinion on any picture but he has an innate propriety and simplicity of taste which in general direct him perfectly right i hope marianne you do not consider him as deficient in general taste indeed i think i may say that you cannot for your behaviour to him is perfectly cordial and if that were your opinion i am sure you could never be civil to him,do not be offended elinor if my praise of him is not in every thing equal to your sense of his merits i have not had so many opportunities of estimating the minuter propensities of his mind his inclinations and tastes as you have but i have the highest opinion in the world of his goodness and sense i think him every thing that is worthy and amiable,Marianne,F,major,F,major
Marianne,Elinor,38,39,do not be offended elinor if my praise of him is not in every thing equal to your sense of his merits i have not had so many opportunities of estimating the minuter propensities of his mind his inclinations and tastes as you have but i have the highest opinion in the world of his goodness and sense i think him every thing that is worthy and amiable,i am sure that his dearest friends could not be dissatisfied with such commendation as that i do not perceive how you could express yourself more warmly of his sense and his goodness no one can i think be in doubt who has seen him often enough to engage him in unreserved conversation the excellence of his understanding and his principles can be concealed only by that shyness which too often keeps him silent you know enough of him to do justice to his solid worth but of his minuter propensities as you call them you have from peculiar circumstances been kept more ignorant than myself he and i have been at times thrown a good deal together while you have been wholly engrossed on the most affectionate principle by my mother i have seen a great deal of him have studied his sentiments and heard his opinion on subjects of literature and taste and upon the whole i venture to pronounce that his mind is well informed enjoyment of books exceedingly great his imagination lively his observation just and correct and his taste delicate and pure his abilities in every respect improve as much upon acquaintance as his manners and person at first sight his address is certainly not striking and his person can hardly be called handsome till the expression of his eyes which are uncommonly good and the general sweetness of his countenance is perceived at present i know him so well that i think him really handsome or at least almost so what say you marianne,Elinor,F,major,F,major
Elinor,Marianne,39,40,i am sure that his dearest friends could not be dissatisfied with such commendation as that i do not perceive how you could express yourself more warmly of his sense and his goodness no one can i think be in doubt who has seen him often enough to engage him in unreserved conversation the excellence of his understanding and his principles can be concealed only by that shyness which too often keeps him silent you know enough of him to do justice to his solid worth but of his minuter propensities as you call them you have from peculiar circumstances been kept more ignorant than myself he and i have been at times thrown a good deal together while you have been wholly engrossed on the most affectionate principle by my mother i have seen a great deal of him have studied his sentiments and heard his opinion on subjects of literature and taste and upon the whole i venture to pronounce that his mind is well informed enjoyment of books exceedingly great his imagination lively his observation just and correct and his taste delicate and pure his abilities in every respect improve as much upon acquaintance as his manners and person at first sight his address is certainly not striking and his person can hardly be called handsome till the expression of his eyes which are uncommonly good and the general sweetness of his countenance is perceived at present i know him so well that i think him really handsome or at least almost so what say you marianne,i shall very soon think him handsome elinor if i do not now when you tell me to love him as a brother i shall no more see imperfection in his face than i now do in his heart,Marianne,F,major,F,major
Marianne,Elinor,40,41,i shall very soon think him handsome elinor if i do not now when you tell me to love him as a brother i shall no more see imperfection in his face than i now do in his heart,i do not attempt to deny that i think very highly of him that i greatly esteem that i like him,Elinor,F,major,F,major
Elinor,Marianne,41,42,i do not attempt to deny that i think very highly of him that i greatly esteem that i like him,esteem him like him cold hearted elinor oh worse than cold hearted ashamed of being otherwise use those words again and i will leave the room this moment,Marianne,F,major,F,major
Marianne,Elinor,42,43,esteem him like him cold hearted elinor oh worse than cold hearted ashamed of being otherwise use those words again and i will leave the room this moment,excuse me and be assured that i meant no offence to you by speaking in so quiet a way of my own feelings believe them to be stronger than i have declared believe them in short to be such as his merit and the suspicion the hope of his affection for me may warrant without imprudence or folly but farther than this you must not believe i am by no means assured of his regard for me there are moments when the extent of it seems doubtful and till his sentiments are fully known you cannot wonder at my wishing to avoid any encouragement of my own partiality by believing or calling it more than it is in my heart i feel little scarcely any doubt of his preference but there are other points to be considered besides his inclination he is very far from being independent what his mother really is we cannot know but from fanny s occasional mention of her conduct and opinions we have never been disposed to think her amiable and i am very much mistaken if edward is not himself aware that there would be many difficulties in his way if he were to wish to marry a woman who had not either a great fortune or high rank,Elinor,F,major,F,major
Elinor,Marianne,43,44,excuse me and be assured that i meant no offence to you by speaking in so quiet a way of my own feelings believe them to be stronger than i have declared believe them in short to be such as his merit and the suspicion the hope of his affection for me may warrant without imprudence or folly but farther than this you must not believe i am by no means assured of his regard for me there are moments when the extent of it seems doubtful and till his sentiments are fully known you cannot wonder at my wishing to avoid any encouragement of my own partiality by believing or calling it more than it is in my heart i feel little scarcely any doubt of his preference but there are other points to be considered besides his inclination he is very far from being independent what his mother really is we cannot know but from fanny s occasional mention of her conduct and opinions we have never been disposed to think her amiable and i am very much mistaken if edward is not himself aware that there would be many difficulties in his way if he were to wish to marry a woman who had not either a great fortune or high rank,and you really are not engaged to him yet it certainly soon will happen but two advantages will proceed from this delay i shall not lose you so soon and edward will have greater opportunity of improving that natural taste for your favourite pursuit which must be so indispensably necessary to your future felicity oh if he should be so far stimulated by your genius as to learn to draw himself how delightful it would be,Marianne,F,major,F,major
Edward Ferrars,Mrs. Dashwood,45,46,devonshire are you indeed going there so far from hence and to what part of it,it is but a cottage but i hope to see many of my friends in it a room or two can easily be added and if my friends find no difficulty in travelling so far to see me i am sure i will find none in accommodating them,Fanny; John Dashwood; Mrs. Dashwood,M,intermediate,F,intermediate
Mrs. Dashwood,Marianne,48,49,as for the house itself to be sure it is too small for our family but we will make ourselves tolerably comfortable for the present as it is too late in the year for improvements perhaps in the spring if i have plenty of money as i dare say i shall we may think about building these parlors are both too small for such parties of our friends as i hope to see often collected here and i have some thoughts of throwing the passage into one of them with perhaps a part of the other and so leave the remainder of that other for an entrance this with a new drawing room which may be easily added and a bed chamber and garret above will make it a very snug little cottage i could wish the stairs were handsome but one must not expect every thing though i suppose it would be no difficult matter to widen them i shall see how much i am before hand with the world in the spring and we will plan our improvements accordingly,but at least mama you cannot deny the absurdity of the accusation though you may not think it intentionally ill natured colonel brandon is certainly younger than mrs jennings but he is old enough to be my father and if he were ever animated enough to be in love must have long outlived every sensation of the kind it is too ridiculous when is a man to be safe from such wit if age and infirmity will not protect him,Elinor; Margaret; Marianne,F,intermediate,F,major
Marianne,Elinor,49,50,but at least mama you cannot deny the absurdity of the accusation though you may not think it intentionally ill natured colonel brandon is certainly younger than mrs jennings but he is old enough to be my father and if he were ever animated enough to be in love must have long outlived every sensation of the kind it is too ridiculous when is a man to be safe from such wit if age and infirmity will not protect him,infirmity do you call colonel brandon infirm i can easily suppose that his age may appear much greater to you than to my mother but you can hardly deceive yourself as to his having the use of his limbs,Elinor; Mrs. Dashwood,F,major,F,major
Elinor,Marianne,50,51,infirmity do you call colonel brandon infirm i can easily suppose that his age may appear much greater to you than to my mother but you can hardly deceive yourself as to his having the use of his limbs,did not you hear him complain of the rheumatism and is not that the commonest infirmity of declining life,Marianne; Mrs. Dashwood,F,major,F,major
Marianne,Mrs. Dashwood,51,52,did not you hear him complain of the rheumatism and is not that the commonest infirmity of declining life,my dearest child at this rate you must be in continual terror of my decay and it must seem to you a miracle that my life has been extended to the advanced age of forty,Elinor; Mrs. Dashwood,F,major,F,intermediate
Mrs. Dashwood,Marianne,52,53,my dearest child at this rate you must be in continual terror of my decay and it must seem to you a miracle that my life has been extended to the advanced age of forty,mama you are not doing me justice i know very well that colonel brandon is not old enough to make his friends yet apprehensive of losing him in the course of nature he may live twenty years longer but thirty five has nothing to do with matrimony,Elinor; Marianne,F,intermediate,F,major
Marianne,Elinor,53,54,mama you are not doing me justice i know very well that colonel brandon is not old enough to make his friends yet apprehensive of losing him in the course of nature he may live twenty years longer but thirty five has nothing to do with matrimony,perhaps thirty five and seventeen had better not have any thing to do with matrimony together but if there should by any chance happen to be a woman who is single at seven and twenty i should not think colonel brandon s being thirty five any objection to his marrying her,Elinor; Mrs. Dashwood,F,major,F,major
Elinor,Marianne,54,55,perhaps thirty five and seventeen had better not have any thing to do with matrimony together but if there should by any chance happen to be a woman who is single at seven and twenty i should not think colonel brandon s being thirty five any objection to his marrying her,a woman of seven and twenty can never hope to feel or inspire affection again and if her home be uncomfortable or her fortune small i can suppose that she might bring herself to submit to the offices of a nurse for the sake of the provision and security of a wife in his marrying such a woman therefore there would be nothing unsuitable it would be a compact of convenience and the world would be satisfied in my eyes it would be no marriage at all but that would be nothing to me it would seem only a commercial exchange in which each wished to be benefited at the expense of the other,Marianne; Mrs. Dashwood,F,major,F,major
Marianne,Elinor,55,56,a woman of seven and twenty can never hope to feel or inspire affection again and if her home be uncomfortable or her fortune small i can suppose that she might bring herself to submit to the offices of a nurse for the sake of the provision and security of a wife in his marrying such a woman therefore there would be nothing unsuitable it would be a compact of convenience and the world would be satisfied in my eyes it would be no marriage at all but that would be nothing to me it would seem only a commercial exchange in which each wished to be benefited at the expense of the other,it would be impossible i know to convince you that a woman of seven and twenty could feel for a man of thirty five anything near enough to love to make him a desirable companion to her but i must object to your dooming colonel brandon and his wife to the constant confinement of a sick chamber merely because he chanced to complain yesterday a very cold damp day of a slight rheumatic feel in one of his shoulders,Elinor; Mrs. Dashwood,F,major,F,major
Elinor,Marianne,56,57,it would be impossible i know to convince you that a woman of seven and twenty could feel for a man of thirty five anything near enough to love to make him a desirable companion to her but i must object to your dooming colonel brandon and his wife to the constant confinement of a sick chamber merely because he chanced to complain yesterday a very cold damp day of a slight rheumatic feel in one of his shoulders,but he talked of flannel waistcoats and with me a flannel waistcoat is invariably connected with aches cramps rheumatisms and every species of ailment that can afflict the old and the feeble,Marianne; Mrs. Dashwood,F,major,F,major
Marianne,Elinor,57,58,but he talked of flannel waistcoats and with me a flannel waistcoat is invariably connected with aches cramps rheumatisms and every species of ailment that can afflict the old and the feeble,had he been only in a violent fever you would not have despised him half so much confess marianne is not there something interesting to you in the flushed cheek hollow eye and quick pulse of a fever,Elinor; Mrs. Dashwood,F,major,F,major
Elinor,Marianne,58,59,had he been only in a violent fever you would not have despised him half so much confess marianne is not there something interesting to you in the flushed cheek hollow eye and quick pulse of a fever,mama i have an alarm on the subject of illness which i cannot conceal from you i am sure edward ferrars is not well we have now been here almost a fortnight and yet he does not come nothing but real indisposition could occasion this extraordinary delay what else can detain him at norland,Marianne; Mrs. Dashwood,F,major,F,major
Marianne,Mrs. Dashwood,59,60,mama i have an alarm on the subject of illness which i cannot conceal from you i am sure edward ferrars is not well we have now been here almost a fortnight and yet he does not come nothing but real indisposition could occasion this extraordinary delay what else can detain him at norland,had you any idea of his coming so soon i had none on the contrary if i have felt any anxiety at all on the subject it has been in recollecting that he sometimes showed a want of pleasure and readiness in accepting my invitation when i talked of his coming to barton does elinor expect him already,Mrs. Dashwood,F,major,F,intermediate
Mrs. Dashwood,Marianne,60,61,had you any idea of his coming so soon i had none on the contrary if i have felt any anxiety at all on the subject it has been in recollecting that he sometimes showed a want of pleasure and readiness in accepting my invitation when i talked of his coming to barton does elinor expect him already,i have never mentioned it to her but of course she must,Marianne,F,intermediate,F,major
Marianne,Mrs. Dashwood,61,62,i have never mentioned it to her but of course she must,i rather think you are mistaken for when i was talking to her yesterday of getting a new grate for the spare bedchamber she observed that there was no immediate hurry for it as it was not likely that the room would be wanted for some time,Mrs. Dashwood,F,major,F,intermediate
Mrs. Dashwood,Marianne,62,63,i rather think you are mistaken for when i was talking to her yesterday of getting a new grate for the spare bedchamber she observed that there was no immediate hurry for it as it was not likely that the room would be wanted for some time,how strange this is what can be the meaning of it but the whole of their behaviour to each other has been unaccountable how cold how composed were their last adieus how languid their conversation the last evening of their being together in edward s farewell there was no distinction between elinor and me it was the good wishes of an affectionate brother to both twice did i leave them purposely together in the course of the last morning and each time did he most unaccountably follow me out of the room and elinor in quitting norland and edward cried not as i did even now her self command is invariable when is she dejected or melancholy when does she try to avoid society or appear restless and dissatisfied in it,Marianne,F,intermediate,F,major
John Middleton,Mrs. Dashwood,65,66,willoughby what is he in the country that is good news however i will ride over tomorrow and ask him to dinner on thursday,you know him then,Elinor; Marianne; Mrs. Dashwood,M,intermediate,F,intermediate
Mrs. Dashwood,John Middleton,66,67,you know him then,know him to be sure i do why he is down here every year,Elinor; John Middleton; Marianne,F,intermediate,M,intermediate
John Middleton,Mrs. Dashwood,67,68,know him to be sure i do why he is down here every year,and what sort of a young man is he,Elinor; Marianne; Mrs. Dashwood,M,intermediate,F,intermediate
Mrs. Dashwood,John Middleton,68,69,and what sort of a young man is he,as good a kind of fellow as ever lived i assure you a very decent shot and there is not a bolder rider in england,Elinor; John Middleton; Marianne,F,intermediate,M,intermediate
John Middleton,Marianne,69,70,as good a kind of fellow as ever lived i assure you a very decent shot and there is not a bolder rider in england,and is that all you can say for him but what are his manners on more intimate acquaintance what his pursuits his talents and genius,Elinor; Marianne; Mrs. Dashwood,M,intermediate,F,major
