uid,pair_id,side,text
p00033_A,00033,A,i wish it could be so easily settled but it is not in my power to delay my journey for one day
p00034_A,00034,A,if you would but let us know what your business is we might see whether it could be put off or not
p00035_A,00035,A,i cannot afford to lose one hour
p00036_A,00036,A,there is no persuading you to change your mind brandon i know of old when once you are determined on anything but however i hope you will think better of it consider here are the two miss careys come over from newton the three miss dashwoods walked up from the cottage and mr willoughby got up two hours before his usual time on purpose to go to whitwell well then when will you come back again
p00037_A,00037,A,i hope we shall see you at barton as soon as you can conveniently leave town and we must put off the party to whitwell till you return
p00038_A,00038,A,you are very obliging but it is so uncertain when i may have it in my power to return that i dare not engage for it at all
p00039_A,00039,A,ay so do sir john and then perhaps you may find out what his business is
p00040_A,00040,A,well as you are resolved to go i wish you a good journey but you had better change your mind
p00041_A,00041,A,i am afraid none at all
p00042_A,00042,A,then i must bid you farewell for a longer time than i should wish to do
p00043_A,00043,A,come colonel before you go do let us know what you are going about
p00044_A,00044,A,and who is miss williams
p00045_A,00045,A,what do not you know who miss williams is i am sure you must have heard of her before she is a relation of the colonel s my dear a very near relation we will not say how near for fear of shocking the young ladies
p00046_A,00046,A,indeed
p00047_A,00047,A,i have found you out in spite of all your tricks i know where you spent the morning
p00048_A,00048,A,where pray
p00049_A,00049,A,did not you know that we had been out in my curricle
p00050_A,00050,A,yes yes mr impudence i know that very well and i was determined to find out where you had been to i hope you like your house miss marianne it is a very large one i know and when i come to see you i hope you will have new furnished it for it wanted it very much when i was there six years ago
p00051_A,00051,A,i flatter myself that even under the disadvantage of better rooms and a broader staircase you will hereafter find your own house as faultless as you now do this
p00052_A,00052,A,there certainly are circumstances which might greatly endear it to me but this place will always have one claim of my affection which no other can possibly share how often did i wish when i was at allenham this time twelvemonth that barton cottage were inhabited i never passed within view of it without admiring its situation and grieving that no one should live in it how little did i then think that the very first news i should hear from mrs smith when i next came into the country would be that barton cottage was taken and i felt an immediate satisfaction and interest in the event which nothing but a kind of prescience of what happiness i should experience from it can account for must it not have been so marianne and yet this house you would spoil mrs dashwood you would rob it of its simplicity by imaginary improvement and this dear parlour in which our acquaintance first began and in which so many happy hours have been since spent by us together you would degrade to the condition of a common entrance and every body would be eager to pass through the room which has hitherto contained within itself more real accommodation and comfort than any other apartment of the handsomest dimensions in the world could possibly afford you are a good woman your promise makes me easy extend it a little farther and it will make me happy tell me that not only your house will remain the same but that i shall ever find you and yours as unchanged as your dwelling and that you will always consider me with the kindness which has made everything belonging to you so dear to me
p00053_A,00053,A,shall we see you tomorrow to dinner i do not ask you to come in the morning for we must walk to the park to call on lady middleton
p00054_A,00054,A,my engagements at present are of such a nature that i dare not flatter myself it is folly to linger in this manner i will not torment myself any longer by remaining among friends whose society it is impossible for me now to enjoy
p00055_A,00055,A,why do you not ask marianne at once whether she is or she is not engaged to willoughby from you her mother and so kind so indulgent a mother the question could not give offence it would be the natural result of your affection for her she used to be all unreserve and to you more especially
p00056_A,00056,A,we have never finished hamlet marianne our dear willoughby went away before we could get through it we will put it by that when he comes again but it may be months perhaps before that happens
p00057_A,00057,A,months no nor many weeks
p00058_A,00058,A,indeed marianne i think you are mistaken it is not willoughby the person is not tall enough for him and has not his air
p00059_A,00059,A,he has he has i am sure he has his air his coat his horse i knew how soon he would come
p00060_A,00060,A,a fortnight
p00061_A,00061,A,have you been lately in sussex
p00062_A,00062,A,i was at norland about a month ago
p00063_A,00063,A,it is not every one who has your passion for dead leaves
p00064_A,00064,A,have you an agreeable neighbourhood here are the middletons pleasant people
p00065_A,00065,A,no nor how many painful moments
p00066_A,00066,A,you have no ambition i well know your wishes are all moderate
p00067_A,00067,A,as moderate as those of the rest of the world i believe i wish as well as every body else to be perfectly happy but like every body else it must be in my own way greatness will not make me so
p00068_A,00068,A,two thousand a year one is my wealth i guessed how it would end
p00069_A,00069,A,hunters but why must you have hunters every body does not hunt
p00070_A,00070,A,i wish that somebody would give us all a large fortune apiece
p00071_A,00071,A,oh that they would
p00072_A,00072,A,we are all unanimous in that wish i suppose in spite of the insufficiency of wealth
p00073_A,00073,A,oh dear how happy i should be i wonder what i should do with it
p00074_A,00074,A,i should be puzzled to spend so large a fortune myself if my children were all to be rich without my help
p00075_A,00075,A,you must begin your improvements on this house and your difficulties will soon vanish
p00076_A,00076,A,perhaps then you would bestow it as a reward on that person who wrote the ablest defence of your favourite maxim that no one can ever be in love more than once in their life your opinion on that point is unchanged i presume
p00077_A,00077,A,undoubtedly at my time of life opinions are tolerably fixed it is not likely that i should now see or hear any thing to change them
p00078_A,00078,A,marianne is as steadfast as ever you see she is not at all altered
p00079_A,00079,A,nay edward you need not reproach me you are not very gay yourself
p00080_A,00080,A,i believe you are right and yet i have always set her down as a lively girl
p00081_A,00081,A,but i thought it was right elinor to be guided wholly by the opinion of other people i thought our judgments were given us merely to be subservient to those of neighbours this has always been your doctrine i am sure
p00082_A,00082,A,marianne has not shyness to excuse any inattention of hers
p00083_A,00083,A,yes very
p00084_A,00084,A,do not you know my sister well enough to understand what she means do not you know she calls every one reserved who does not talk as fast and admire what she admires as rapturously as herself
p00085_A,00085,A,you must not enquire too far marianne remember i have no knowledge in the picturesque and i shall offend you by my ignorance and want of taste if we come to particulars i shall call hills steep which ought to be bold surfaces strange and uncouth which ought to be irregular and rugged and distant objects out of sight which ought only to be indistinct through the soft medium of a hazy atmosphere you must be satisfied with such admiration as i can honestly give i call it a very fine country the hills are steep the woods seem full of fine timber and the valley looks comfortable and snug with rich meadows and several neat farm houses scattered here and there it exactly answers my idea of a fine country because it unites beauty with utility and i dare say it is a picturesque one too because you admire it i can easily believe it to be full of rocks and promontories grey moss and brush wood but these are all lost on me i know nothing of the picturesque
p00086_A,00086,A,i suspect that to avoid one kind of affectation edward here falls into another because he believes many people pretend to more admiration of the beauties of nature than they really feel and is disgusted with such pretensions he affects greater indifference and less discrimination in viewing them himself than he possesses he is fastidious and will have an affectation of his own
p00087_A,00087,A,you must drink tea with us to night for we shall be quite alone and tomorrow you must absolutely dine with us for we shall be a large party
p00088_A,00088,A,a dance impossible who is to dance
p00089_A,00089,A,who why yourselves and the careys and whitakers to be sure what you thought nobody could dance because a certain person that shall be nameless is gone
p00090_A,00090,A,i wish with all my soul that willoughby were among us again
p00091_A,00091,A,well what a delightful room this is i never saw anything so charming only think mama how it is improved since i was here last i always thought it such a sweet place ma am turning to mrs dashwood but you have made it so charming only look sister how delightful every thing is how i should like such a house for myself should not you mr palmer mr palmer does not hear me he never does sometimes it is so ridiculous
p00092_A,00092,A,you may believe how glad we all were to see them but however i can t help wishing they had not travelled quite so fast nor made such a long journey of it for they came all round by london upon account of some business for you know it was wrong in her situation i wanted her to stay at home and rest this morning but she would come with us she longed so much to see you all she expects to be confined in february
p00093_A,00093,A,no none at all
p00094_A,00094,A,oh dear how beautiful these are well how delightful do but look mama how sweet i declare they are quite charming i could look at them for ever my love have you been asleep
p00095_A,00095,A,how horrid all this is such weather makes every thing and every body disgusting dullness is as much produced within doors as without by rain it makes one detest all one s acquaintance what the devil does sir john mean by not having a billiard room in his house how few people know what comfort is sir john is as stupid as the weather
p00096_A,00096,A,i am afraid miss marianne you have not been able to take your usual walk to allenham today
p00097_A,00097,A,as vile a spot as i ever saw in my life
p00098_A,00098,A,is it very ugly then it must be some other place that is so pretty i suppose
p00099_A,00099,A,my dear it is very provoking that we should be so few why did not you ask the gilberts to come to us today
p00100_A,00100,A,did not i tell you sir john when you spoke to me about it before that it could not be done they dined with us last
p00101_A,00101,A,you and i sir john should not stand upon such ceremony
p00102_A,00102,A,my love you contradict every body do you know that you are quite rude
p00103_A,00103,A,i did not know i contradicted any body in calling your mother ill bred
p00104_A,00104,A,ay you may abuse me as you please you have taken charlotte off my hands and cannot give her back again so there i have the whip hand of you
p00105_A,00105,A,no i never said any thing so irrational don t palm all your abuses of language upon me
p00106_A,00106,A,john is in such spirits today he is full of monkey tricks how playful william is and here is my sweet little annamaria and she is always so gentle and quiet never was there such a quiet little thing
p00107_A,00107,A,poor little creatures it might have been a very sad accident
p00108_A,00108,A,yet i hardly know how unless it had been under totally different circumstances but this is the usual way of heightening alarm where there is nothing to be alarmed at in reality
p00109_A,00109,A,what a sweet woman lady middleton is
p00110_A,00110,A,and sir john too what a charming man he is and what a charming little family they have i never saw such fine children in my life i declare i quite doat upon them already and indeed i am always distractedly fond of children
p00111_A,00111,A,i have a notion you think the little middletons rather too much indulged perhaps they may be the outside of enough but it is so natural in lady middleton and for my part i love to see children full of life and spirits i cannot bear them if they are tame and quiet
p00112_A,00112,A,i confess that while i am at barton park i never think of tame and quiet children with any abhorrence
p00113_A,00113,A,and how do you like devonshire miss dashwood i suppose you were very sorry to leave sussex norland is a prodigious beautiful place is not it
p00114_A,00114,A,we have heard sir john admire it excessively
p00115_A,00115,A,i think every one must admire it who ever saw the place though it is not to be supposed that any one can estimate its beauties as we do
p00116_A,00116,A,but why should you think that there are not as many genteel young men in devonshire as sussex
p00117_A,00117,A,upon my word i cannot tell you for i do not perfectly comprehend the meaning of the word but this i can say that if he ever was a beau before he married he is one still for there is not the smallest alteration in him
p00118_A,00118,A,his name is ferrars but pray do not tell it for it s a great secret
p00119_A,00119,A,ferrars mr ferrars is the happy man is he what your sister in law s brother miss dashwood a very agreeable young man to be sure i know him very well
p00120_A,00120,A,i did
p00121_A,00121,A,indeed you are very much mistaken lady middleton i am only waiting to know whether you can make your party without me or i should have been at my filigree already i would not disappoint the little angel for all the world and if you want me at the card table now i am resolved to finish the basket after supper
p00122_A,00122,A,you are very good i hope it won t hurt your eyes will you ring the bell for some working candles my poor little girl would be sadly disappointed i know if the basket was not finished tomorrow for though i told her it certainly would not i am sure she depends upon having it done
p00123_A,00123,A,your ladyship will have the goodness to excuse me you know i detest cards i shall go to the piano forte i have not touched it since it was tuned
p00124_A,00124,A,marianne can never keep long from that instrument you know ma am and i do not much wonder at it for it is the very best toned piano forte i ever heard
p00125_A,00125,A,perhaps if i should happen to cut out i may be of some use to miss lucy steele in rolling her papers for her and there is so much still to be done to the basket that it must be impossible i think for her labour singly to finish it this evening i should like the work exceedingly if she would allow me a share in it
p00126_A,00126,A,indeed i shall be very much obliged to you for your help for i find there is more to be done to it than i thought there was and it would be a shocking thing to disappoint dear annamaria after all
p00127_A,00127,A,oh that would be terrible indeed dear little soul how i do love her
p00128_A,00128,A,you are very kind and as you really like the work perhaps you will be as well pleased not to cut in till another rubber or will you take your chance now
p00129_A,00129,A,edward s love for me has been pretty well put to the test by our long very long absence since we were first engaged and it has stood the trial so well that i should be unpardonable to doubt it now i can safely say that he has never gave me one moment s alarm on that account from the first i am rather of a jealous temper too by nature and from our different situations in life from his being so much more in the world than me and our continual separation i was enough inclined for suspicion to have found out the truth in an instant if there had been the slightest alteration in his behaviour to me when we met or any lowness of spirits that i could not account for or if he had talked more of one lady than another or seemed in any respect less happy at longstaple than he used to be i do not mean to say that i am particularly observant or quick sighted in general but in such a case i am sure i could not be deceived
p00130_A,00130,A,a great coxcomb oh they are talking of their favourite beaux i dare say
p00131_A,00131,A,no sister you are mistaken there our favourite beaux are not great coxcombs
p00132_A,00132,A,i can answer for it that miss dashwood s is not for he is one of the modestest prettiest behaved young men i ever saw but as for lucy she is such a sly little creature there is no finding out who she likes
p00133_A,00133,A,oh i dare say lucy s beau is quite as modest and pretty behaved as miss dashwood s
p00134_A,00134,A,i have a notion that miss marianne would not object to such a scheme if her elder sister would come into it it is very hard indeed that she should not have a little pleasure because miss dashwood does not wish it so i would advise you two to set off for town when you are tired of barton without saying a word to miss dashwood about it
p00135_A,00135,A,i thank you ma am sincerely thank you your invitation has insured my gratitude for ever and it would give me such happiness yes almost the greatest happiness i am capable of to be able to accept it but my mother my dearest kindest mother i feel the justice of what elinor has urged and if she were to be made less happy less comfortable by our absence oh no nothing should tempt me to leave her it should not must not be a struggle
p00136_A,00136,A,my objection is this though i think very well of mrs jennings s heart she is not a woman whose society can afford us pleasure or whose protection will give us consequence
p00137_A,00137,A,if elinor is frightened away by her dislike of mrs jennings at least it need not prevent my accepting her invitation i have no such scruples and i am sure i could put up with every unpleasantness of that kind with very little effort
p00138_A,00138,A,i will have you both go these objections are nonsensical you will have much pleasure in being in london and especially in being together and if elinor would ever condescend to anticipate enjoyment she would foresee it there from a variety of sources she would perhaps expect some from improving her acquaintance with her sister in law s family
p00139_A,00139,A,i like edward ferrars very much and shall always be glad to see him but as to the rest of the family it is a matter of perfect indifference to me whether i am ever known to them or not
p00140_A,00140,A,mr palmer will be so happy to see you what do you think he said when he heard of your coming with mama i forget what it was now but it was something so droll
p00141_A,00141,A,if this open weather holds much longer sir john will not like leaving barton next week tis a sad thing for sportsmen to lose a day s pleasure poor souls i always pity them when they do they seem to take it so much to heart
p00142_A,00142,A,that is true i had not thought of that this weather will keep many sportsmen in the country it is charming weather for them indeed how much they must enjoy it but it cannot be expected to last long at this time of the year and after such a series of rain we shall certainly have very little more of it frosts will soon set in and in all probability with severity in another day or two perhaps this extreme mildness can hardly last longer nay perhaps it may freeze tonight
p00143_A,00143,A,ay my dear i ll warrant you we do mary always has her own way
p00144_A,00144,A,no ma am for my mistress
p00145_A,00145,A,nor i our situations then are alike we have neither of us any thing to tell you because you do not communicate and i because i conceal nothing
p00146_A,00146,A,i do not know
p00147_A,00147,A,so my daughter middleton told me for it seems sir john met him somewhere in the street this morning
p00148_A,00148,A,by many by some of whom you know nothing by others with whom you are most intimate mrs jennings mrs palmer and the middletons but still i might not have believed it for where the mind is perhaps rather unwilling to be convinced it will always find something to support its doubts if i had not when the servant let me in today accidentally seen a letter in his hand directed to mr willoughby in your sister s writing i came to inquire but i was convinced before i could ask the question is every thing finally settled is it impossible to but i have no right and i could have no chance of succeeding excuse me miss dashwood i believe i have been wrong in saying so much but i hardly know what to do and on your prudence i have the strongest dependence tell me that it is all absolutely resolved on that any attempt that in short concealment if concealment be possible is all that remains to your sister i wish all imaginable happiness to willoughby that he may endeavour to deserve her
p00149_A,00149,A,yes i had the pleasure of receiving the information of your arrival in town which you were so good as to send me
p00150_A,00150,A,no elinor ask nothing you will soon know all
p00151_A,00151,A,how do you do my dear how is she miss dashwood poor thing she looks very bad no wonder ay it is but too true he is to be married very soon a good for nothing fellow i have no patience with him mrs taylor told me of it half an hour ago and she was told it by a particular friend of miss grey herself else i am sure i should not have believed it and i was almost ready to sink as it was said i and so i shall always say my dear you may depend on it i have no notion of men s going on in this way and if ever i meet him again i will give him such a dressing as he has not had this many a day but there is one comfort my dear miss marianne he is not the only young man in the world worth having and with your pretty face you will never want admirers well poor thing i won t disturb her any longer for she had better have her cry out at once and have done with the parrys and sandersons luckily are coming tonight you know and that will amuse her
p00152_A,00152,A,no no no it cannot be she cannot feel her kindness is not sympathy her good nature is not tenderness all that she wants is gossip and she only likes me now because i supply it
p00153_A,00153,A,now my dear i bring you something that i am sure will do you good
p00154_A,00154,A,i will not trust to that a man who has nothing to do with his own time has no conscience in his intrusion on that of others
p00155_A,00155,A,i should have been quite disappointed if i had not found you here still but i always thought i should i was almost sure you would not leave london yet awhile though you told me you know at barton that you should not stay above a month but i thought at the time that you would most likely change your mind when it came to the point it would have been such a great pity to have went away before your brother and sister came and now to be sure you will be in no hurry to be gone i am amazingly glad you did not keep to your word
p00156_A,00156,A,aye aye that is very pretty talking but it won t do the doctor is the man i see
p00157_A,00157,A,no indeed and i beg you will contradict it if you ever hear it talked of
p00158_A,00158,A,no i do not think we shall
p00159_A,00159,A,oh yes i dare say you will what a charming thing it is that mrs dashwood can spare you both for so long a time together
p00160_A,00160,A,long a time indeed why their visit is but just begun
p00161_A,00161,A,oh dear that is a great pity but such old friends as lucy and me i think she might see us and i am sure we would not speak a word oh if that s all we can just as well go and see her
p00162_A,00162,A,these are done by my eldest sister and you as a man of taste will i dare say be pleased with them i do not know whether you have ever happened to see any of her performances before but she is in general reckoned to draw extremely well
p00163_A,00163,A,they are very pretty ma am an t they do you not think they are something in miss morton s style of painting ma am she does paint most delightfully how beautifully her last landscape is done
p00164_A,00164,A,miss morton is lord morton s daughter
p00165_A,00165,A,ah poor dear
p00166_A,00166,A,i was engaged elsewhere
p00167_A,00167,A,perhaps miss marianne you think young men never stand upon engagements if they have no mind to keep them little as well as great
p00168_A,00168,A,not so indeed for seriously speaking i am very sure that conscience only kept edward from harley street and i really believe he has the most delicate conscience in the world the most scrupulous in performing every engagement however minute and however it may make against his interest or pleasure he is the most fearful of giving pain of wounding expectation and the most incapable of being selfish of any body i ever saw edward it is so and i will say it what are you never to hear yourself praised then you must be no friend of mine for those who will accept of my love and esteem must submit to my open commendation going so soon my dear edward this must not be
p00169_A,00169,A,that is exactly what i said my dear says i so then it all came out and the long and the short of the matter by all i can learn seems to be this mr edward ferrars the very young man i used to joke with you about but however as it turns out i am monstrous glad there was never any thing in it mr edward ferrars it seems has been engaged above this twelvemonth to my cousin lucy there s for you my dear and not a creature knowing a syllable of the matter except nancy could you have believed such a thing possible there is no great wonder in their liking one another but that matters should be brought so forward between them and nobody suspect it that is strange i never happened to see them together or i am sure i should have found it out directly well and so this was kept a great secret for fear of mrs ferrars and neither she nor your brother or sister suspected a word of the matter till this very morning poor nancy who you know is a well meaning creature but no conjurer popt it all out thinks she to herself and so away she went to your sister who was sitting all alone at her carpet work little suspecting what was to come for she had just been saying to your brother only five minutes before that she thought to make a match between edward and some lord s daughter or other i forget who so you may think what a blow it was to all her vanity and pride she fell into violent hysterics immediately with such screams as reached your brother s ears as he was sitting in his own dressing room down stairs thinking about writing a letter to his steward in the country so up he flew directly and a terrible scene took place for lucy was come to them by that time little dreaming what was going on poor soul i pity her and i must say i think she was used very hardly for your sister scolded like any fury and soon drove her into a fainting fit nancy she fell upon her knees and cried bitterly and your brother he walked about the room and said he did not know what to do mrs dashwood declared they should not stay a minute longer in the house and your brother was forced to go down upon his knees too to persuade her to let them stay till they had packed up their clothes then she fell into hysterics again and he was so frightened that he would send for mr donavan and mr donavan found the house in all this uproar the carriage was at the door ready to take my poor cousins away and they were just stepping in as he came off poor lucy in such a condition he says she could hardly walk and nancy she was almost as bad i declare i have no patience with your sister and i hope with all my heart it will be a match in spite of her lord what a taking poor mr edward will be in when he hears of it to have his love used so scornfully for they say he is monstrous fond of her as well he may i should not wonder if he was to be in the greatest passion and mr donavan thinks just the same he and i had a great deal of talk about it and the best of all is that he is gone back again to harley street that he may be within call when mrs ferrars is told of it for she was sent for as soon as ever my cousins left the house for your sister was sure she would be in hysterics too and so she may for what i care i have no pity for either of them i have no notion of people s making such a to do about money and greatness there is no reason on earth why mr edward and lucy should not marry for i am sure mrs ferrars may afford to do very well by her son and though lucy has next to nothing herself she knows better than any body how to make the most of every thing i dare say if mrs ferrars would only allow him five hundred a year she would make as good an appearance with it as any body else would with eight lord how snug they might live in such another cottage as yours or a little bigger with two maids and two men and i believe i could help them to a housemaid for my betty has a sister out of place that would fit them exactly
p00170_A,00170,A,i understand you you do not suppose that i have ever felt much for four months marianne i have had all this hanging on my mind without being at liberty to speak of it to a single creature knowing that it would make you and my mother most unhappy whenever it were explained to you yet unable to prepare you for it in the least it was told me it was in a manner forced on me by the very person herself whose prior engagement ruined all my prospects and told me as i thought with triumph this person s suspicions therefore i have had to oppose by endeavouring to appear indifferent where i have been most deeply interested and it has not been only once i have had her hopes and exultation to listen to again and again i have known myself to be divided from edward for ever without hearing one circumstance that could make me less desire the connection nothing has proved him unworthy nor has anything declared him indifferent to me i have had to contend against the unkindness of his sister and the insolence of his mother and have suffered the punishment of an attachment without enjoying its advantages and all this has been going on at a time when as you know too well it has not been my only unhappiness if you can think me capable of ever feeling surely you may suppose that i have suffered now the composure of mind with which i have brought myself at present to consider the matter the consolation that i have been willing to admit have been the effect of constant and painful exertion they did not spring up of themselves they did not occur to relieve my spirits at first no marianne then if i had not been bound to silence perhaps nothing could have kept me entirely not even what i owed to my dearest friends from openly showing that i was very unhappy
p00171_A,00171,A,gracious god can this be possible
p00172_A,00172,A,get it all out of her my dear she will tell you any thing if you ask you see i cannot leave mrs clarke
p00173_A,00173,A,wait for his having a living ay we all know how that will end they will wait a twelvemonth and finding no good comes of it will set down upon a curacy of fifty pounds a year with the interest of his two thousand pounds and what little matter mr steele and mr pratt can give her then they will have a child every year and lord help em how poor they will be i must see what i can give them towards furnishing their house two maids and two men indeed as i talked of t other day no no they must get a stout girl of all works betty s sister would never do for them now very well indeed how prettily she writes aye that was quite proper to let him be off if he would that was just like lucy poor soul i wish i could get him a living with all my heart she calls me you see she is a good hearted girl as ever lived very well upon my word that sentence is very prettily turned yes yes i will go and see her sure enough how attentive she is to think of every body thank you my dear for showing it me it is as pretty a letter as ever i saw and does lucy s head and heart great credit
p00174_A,00174,A,i am afraid it cannot take place very soon
p00175_A,00175,A,this little rectory can do no more than make mr ferrars comfortable as a bachelor it cannot enable him to marry i am sorry to say that my patronage ends with this and my interest is hardly more extensive if however by an unforeseen chance it should be in my power to serve him farther i must think very differently of him from what i now do if i am not as ready to be useful to him then as i sincerely wish i could be at present what i am now doing indeed seems nothing at all since it can advance him so little towards what must be his principal his only object of happiness his marriage must still be a distant good at least i am afraid it cannot take place very soon
p00176_A,00176,A,the colonel is a ninny my dear because he has two thousand a year himself he thinks that nobody else can marry on less take my word for it that if i am alive i shall be paying a visit at delaford parsonage before michaelmas and i am sure i shan t go if lucy an t there
p00177_A,00177,A,certainly there can be no difference for robert will now to all intents and purposes be considered as the eldest son and as to any thing else they are both very agreeable young men i do not know that one is superior to the other of one thing my dear sister i may assure you and i will do it because i know it must gratify you i have good reason to think indeed i have it from the best authority or i should not repeat it for otherwise it would be very wrong to say any thing about it but i have it from the very best authority not that i ever precisely heard mrs ferrars say it herself but her daughter did and i have it from her that in short whatever objections there might be against a certain a certain connection you understand me it would have been far preferable to her it would not have given her half the vexation that this does i was exceedingly pleased to hear that mrs ferrars considered it in that light a very gratifying circumstance you know to us all she said and she would be glad to compound now for nothing worse but however all that is quite out of the question not to be thought of or mentioned as to any attachment you know it never could be all that is gone by but i thought i would just tell you of this because i knew how much it must please you not that you have any reason to regret my dear elinor there is no doubt of your doing exceedingly well quite as well or better perhaps all things considered has colonel brandon been with you lately
p00178_A,00178,A,yes once while she was staying in this house i happened to drop in for ten minutes and i saw quite enough of her the merest awkward country girl without style or elegance and almost without beauty i remember her perfectly just the kind of girl i should suppose likely to captivate poor edward i offered immediately as soon as my mother related the affair to me to talk to him myself and dissuade him from the match but it was too late then i found to do any thing for unluckily i was not in the way at first and knew nothing of it till after the breach had taken place when it was not for me you know to interfere but had i been informed of it a few hours earlier i think it is most probable that something might have been hit on i certainly should have represented it to edward in a very strong light my dear fellow i should have said consider what you are doing you are making a most disgraceful connection and such a one as your family are unanimous in disapproving i cannot help thinking in short that means might have been found but now it is all too late he must be starved you know that is certain absolutely starved
p00179_A,00179,A,but she must not go round by london i shall never see her if she goes by london
p00180_A,00180,A,but she will be gained by some one else and if that some one should be the very he whom of all others i could least bear but i will not stay to rob myself of all your compassionate goodwill by showing that where i have most injured i can least forgive good bye god bless you
