A,B,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category
Marqis De Griers,The General,66,68,And what a Russian idea,To what idol,Alexis Ivanovitch; Polina Alexandrovna; The General,M,intermediate,M,intermediate
Alexis Ivanovitch,Polina Alexandrovna,69,71,To the German method of heaping up riches I have not been here very long but I can tell you that what I have seen and verified makes my Tartar blood boil Good Lord I wish for no virtues of that kind Yesterday I went for a walk of about ten versts and everywhere I found that things were even as we read of them in good German picture books that every house has its Vater who is horribly beneficent and extraordinarily honourable So honourable is he that it is dreadful to have anything to do with him and I cannot bear people of that sort Each such Vater has his family and in the evenings they read improving books aloud Over their roof trees there murmur elms and chestnuts the sun has sunk to his rest a stork is roosting on the gable and all is beautifully poetic and touching Do not be angry General Let me tell you something that is even more touching than that I can remember how of an evening my own father now dead used to sit under the lime trees in his little garden and to read books aloud to myself and my mother Yes I know how things ought to be done Yet every German family is bound to slavery and to submission to its Vater They work like oxen and amass wealth like Jews Suppose the Vater has put by a certain number of g lden which he hands over to his eldest son in order that the said son may acquire a trade or a small plot of land Well one result is to deprive the daughter of a dowry and so leave her among the unwedded For the same reason the parents will have to sell the younger son into bondage or the ranks of the army in order that he may earn more towards the family capital Yes such things ARE done for I have been making inquiries on the subject It is all done out of sheer rectitude out of a rectitude which is magnified to the point of the younger son believing that he has been rightly sold and that it is simply idyllic for the victim to rejoice when he is made over into pledge What more have I to tell Well this that matters bear just as hardly upon the eldest son Perhaps he has his Gretchen to whom his heart is bound but he cannot marry her for the reason that he has not yet amassed sufficient g lden So the pair wait on in a mood of sincere and virtuous expectation and smilingly deposit themselves in pawn the while Gretchen s cheeks grow sunken and she begins to wither until at last after some twenty years their substance has multiplied and sufficient g lden have been honourably and virtuously accumulated Then the Vater blesses his forty year old heir and the thirty five year old Gretchen with the sunken bosom and the scarlet nose after which he bursts into tears reads the pair a lesson on morality and dies In turn the eldest son becomes a virtuous Vater and the old story begins again In fifty or sixty years time the grandson of the original Vater will have amassed a considerable sum and that sum he will hand over to his son and the latter to his son and so on for several generations until at length there will issue a Baron Rothschild or a Hoppe and Company or the devil knows what Is it not a beautiful spectacle the spectacle of a century or two of inherited labour patience intellect rectitude character perseverance and calculation with a stork sitting on the roof above it all What is more they think there can never be anything better than this wherefore from their point of view they begin to judge the rest of the world and to censure all who are at fault that is to say who are not exactly like themselves Yes there you have it in a nutshell For my own part I would rather grow fat after the Russian manner or squander my whole substance at roulette I have no wish to be Hoppe and Company at the end of five generations I want the money for myself for in no way do I look upon my personality as necessary to or meet to be given over to capital I may be wrong but there you have it Those are my views,Because he is a brute,Marqis De Griers; Polina Alexandrovna; The General,M,major,F,major
The General,Alexis Ivanovitch,70,72,How far you may be right in what you have said I do not know but I do know that you are becoming an insufferable far eur whenever you are given the least chance,Have you noticed too that today he is by no means on good terms with the General,Alexis Ivanovitch; Marqis De Griers; Polina Alexandrovna,M,intermediate,M,major
The Baron,Alexis Ivanovitch,127,129,Sind Sie rasend,I have perpetrated the the piece of idiocy,Alexis Ivanovitch; Baroness Burmergelm,M,minor,M,major
Polina Alexandrovna,Alexis Ivanovitch,130,132,Have you Then you can take the consequences,I should be glad if we could come straight to the point Probably you are referring to my encounter of today with a German,Alexis Ivanovitch,F,major,M,major
Alexis Ivanovitch,Marqis De Griers,144,146,General one cannot arrest a man for brawling until he has brawled I have not so much as begun my explanations to the Baron and you are altogether ignorant as to the form and time which my intended procedure is likely to assume I wish but to disabuse the Baron of what is to me a shameful supposition namely that I am under the guardianship of a person who is qualified to exercise control over my free will It is vain for you to disturb and alarm yourself,I have come to see you on business nor will I seek to conceal from you the fact that I have come in the capacity of an emissary of an intermediary from the General Having small knowledge of the Russian tongue I lost most of what was said last night but the General has now explained matters and I must confess that,Marqis De Griers; The General,M,major,M,intermediate
The General,Alexis Ivanovitch,145,147,For God s sake Alexis Ivanovitch do put an end to this senseless scheme of yours Do you know what is likely to come of it Merely further unpleasantness You will agree with me I am sure that at present I ought to move with especial care yes with very especial care You cannot be fully aware of how I am situated When we leave this place I shall be ready to receive you back into my household but for the time being I Well I cannot tell you all my reasons O Alexis Ivanovitch Alexis Ivanovitch move with especial care at present,See here Monsieur de Griers I understand that you have undertaken to act in this affair as an intermediary Of course I am only un utchitel a tutor and have never claimed to be an intimate of this household nor to stand on at all familiar terms with it Consequently I do not know the whole of its circumstances Yet pray explain to me this have you yourself become one of its members seeing that you are beginning to take such a part in everything and are now present as an intermediary,Alexis Ivanovitch; Marqis De Griers,M,intermediate,M,major
Mr. Astley,Alexis Ivanovitch,214,216,Yes so she is,And this is the woman whom they had thought to see in her grave after making her will Yet she will outlive us and every one else in the hotel Good Lord what is going to become of us now What on earth is to happen to the General She will turn the place upside down,Alexis Ivanovitch,M,intermediate,M,major
Alexis Ivanovitch,Mr. Astley,230,232,A fellow traveller and my very good friend as well as an acquaintance of the General s,She interests me tremendously,Antonida Vassilievna Tarassevitcha; Mr. Astley,M,major,M,intermediate
The General,Marqis De Griers,234,236,Antonida Vassilievna O my dearest mother But how on earth did you did you,Oui madame Et croyez je suis si enchant Votre sant c est un miracle vous voir ici Une surprise charmante,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Marqis De Griers; Mlle. Blanche; Mr. Astley; Polina Alexandrovna; Potapitch,M,intermediate,M,intermediate
Marqis De Griers,Alexis Ivanovitch,236,238,Oui madame Et croyez je suis si enchant Votre sant c est un miracle vous voir ici Une surprise charmante,Mlle de Cominges And this is her mother Madame de Cominges They also are staying in the hotel,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Mlle. Blanche; Mr. Astley; Polina Alexandrovna; Potapitch; The General,M,intermediate,M,major
Mlle. Blanche,The General,242,244,Bonjour madame,My dear mother believe me when I say that I am sincerely delighted We have been so dismayed and upset by the news of your indisposition We had received such hopeless telegrams about you Then suddenly,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Marqis De Griers; Mr. Astley; Polina Alexandrovna; Potapitch; The General,F,intermediate,M,intermediate
The General,Polina Alexandrovna,246,248,How on earth too did you come to decide upon the journey Surely at your age and in your present state of health the thing is so unexpected that our surprise is at least intelligible However I am glad to see you as indeed are we all and will use my best endeavours to render your stay here as pleasant as possible,And how are you Grandmother Were you long on the journey,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Marqis De Griers; Mlle. Blanche; Mr. Astley; Polina Alexandrovna; Potapitch,M,intermediate,F,major
Polina Alexandrovna,The General,248,250,And how are you Grandmother Were you long on the journey,I I am surprised at you my dearest mother I I am greatly surprised But I do not need any extraneous control of my finances Moreover my expenses do not exceed my income and we,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Marqis De Griers; Mlle. Blanche; Mr. Astley; Potapitch; The General,F,major,M,intermediate
The General,Polina Alexandrovna,254,256,Roulette indeed I play roulette Really in view of my position Recollect what you are saying my dearest mother You must still be unwell,There is a ruined castle and the Shlangenberg,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Marqis De Griers; Mlle. Blanche; Mr. Astley; Polina Alexandrovna; Potapitch,M,intermediate,F,major
Polina Alexandrovna,Alexis Ivanovitch,258,260,No a mountain on the summit of which there is a place fenced off From it you can get a most beautiful view,Doubtless we could find bearers for the purpose,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Marqis De Griers; Mlle. Blanche; Mr. Astley; Potapitch; The General,F,major,M,major
Theodosia,Polina Alexandrovna,262,264,I am very well thank you Madame And how is your ladyship We have been feeling so anxious about you,Prince Nilski Grandmamma,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Marqis De Griers; Mlle. Blanche; Mr. Astley; Polina Alexandrovna; Potapitch; The General,F,minor,F,major
Mr. Astley,Polina Alexandrovna,266,268,I have only to say that I am indeed glad to see you in such good health,No Grandmamma It is my own,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Marqis De Griers; Mlle. Blanche; Polina Alexandrovna; Potapitch; The General; Theodosia,M,intermediate,F,major
Polina Alexandrovna,The General,268,270,No Grandmamma It is my own,No indeed,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Marqis De Griers; Mlle. Blanche; Mr. Astley; Potapitch; The General; Theodosia,F,major,M,intermediate
The General,Marqis De Griers,270,272,No indeed,Cette vieille est tomb e en enfance,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Marqis De Griers; Mlle. Blanche; Mr. Astley; Polina Alexandrovna; Potapitch; Theodosia,M,intermediate,M,intermediate
Antonida Vassilievna Tarassevitcha,Marqis De Griers,273,275,But I want to look round a little Will you lend me Alexis Ivanovitch for the purpose,Mais madame cela sera un plaisir,Alexis Ivanovitch; Marqis De Griers; Mlle. Blanche; Mr. Astley; Polina Alexandrovna; Potapitch; The General; Theodosia,F,major,M,intermediate
The General,Antonida Vassilievna Tarassevitcha,274,276,As much as you like But I myself yes and Polina and Monsieur de Griers too we all of us hope to have the pleasure of escorting you,Plaisir indeed Why I look upon you as a perfect fool monsieur I am not going to let you have any of my money I must be off to my rooms now to see what they are like Afterwards we will look round a little Lift me up,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Marqis De Griers; Mlle. Blanche; Mr. Astley; Polina Alexandrovna; Potapitch; Theodosia,M,intermediate,F,major
Marqis De Griers,Antonida Vassilievna Tarassevitcha,275,277,Mais madame cela sera un plaisir,Of whom is this a portrait But how know you that You live here yet you cannot say for certain And why is the picture there at all And why do its eyes look so crooked The blockhead What donkeys these people are What a huge counterpane Turn it back please Further yet further yet Turn it right back Also take off those pillows and bolsters and lift up the feather bed Mercifully it contains no bugs Pull off the whole thing and then put on my own pillows and sheets The place is too luxurious for an old woman like myself It is too large for any one person Alexis Ivanovitch come and see me whenever you are not teaching your pupils,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Mlle. Blanche; Mr. Astley; Polina Alexandrovna; Potapitch; The General; Theodosia,M,intermediate,F,major
Antonida Vassilievna Tarassevitcha,Alexis Ivanovitch,276,278,Plaisir indeed Why I look upon you as a perfect fool monsieur I am not going to let you have any of my money I must be off to my rooms now to see what they are like Afterwards we will look round a little Lift me up,After tomorrow I shall no longer be in the General s service but merely living in the hotel on my own account,Alexis Ivanovitch; Marqis De Griers; Mlle. Blanche; Mr. Astley; Polina Alexandrovna; Potapitch; The General; Theodosia,F,major,M,major
Alexis Ivanovitch,The General,284,286,No I did not The Baron was the aggressor by raising his stick at me,Do not alarm yourself my dear mother I am quite capable of managing my own affairs Moreover Alexis Ivanovitch has not given you a true account of the matter,Antonida Vassilievna Tarassevitcha; Marqis De Griers; Martha; Polina Alexandrovna; Potapitch; The General,M,major,M,intermediate
The General,Alexis Ivanovitch,286,288,Do not alarm yourself my dear mother I am quite capable of managing my own affairs Moreover Alexis Ivanovitch has not given you a true account of the matter,I wanted to challenge the Baron to a duel but the General protested against my doing so,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Marqis De Griers; Martha; Polina Alexandrovna; Potapitch,M,intermediate,M,major
Alexis Ivanovitch,The General,288,290,I wanted to challenge the Baron to a duel but the General protested against my doing so,Pardon me Madame but are duels really feasible,Antonida Vassilievna Tarassevitcha; Marqis De Griers; Martha; Polina Alexandrovna; Potapitch; The General,M,major,M,intermediate
The General,Polina Alexandrovna,292,294,What mother Before you have so much as rested from your journey,Yes we are going to see it Grandmamma,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Marqis De Griers; Martha; Polina Alexandrovna; Potapitch,M,intermediate,F,major
Polina Alexandrovna,The General,296,298,Yes Quite a number of things,No no mother Really she cannot come They would not admit even Potapitch to the Casino,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Marqis De Griers; Martha; Potapitch; The General,F,major,M,intermediate
The General,Marqis De Griers,300,302,But mother,Mais elle est tomb e en enfance Seule elle fera des b tises,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Marqis De Griers; Martha; Polina Alexandrovna; Potapitch,M,intermediate,M,intermediate
Antonida Vassilievna Tarassevitcha,Alexis Ivanovitch,304,306,I am not going to give you any of my money,She is I believe a Frenchwoman,Alexis Ivanovitch; Marqis De Griers; Mlle. Blanche; Mr. Astley; Polina Alexandrovna; The General,F,major,M,major
The Croupier,Alexis Ivanovitch,318,320,Trente six,My good Madame,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha,M,minor,M,major
The Croupier,Alexis Ivanovitch,322,324,Zero,Presently Madame Potapitch is outside and they would decline to admit him to these rooms See You are being paid out your money Pray take it,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha,M,minor,M,major
Antonida Vassilievna Tarassevitcha,The Croupier,323,325,There You see you see I told you so It was the Lord God himself who suggested to me to stake those two coins Now how much ought I to receive Why do they not pay it out to me Potapitch Martha Where are they What has become of our party Potapitch Potapitch,Faites le jeu messieurs Faites le jeu messieurs Rien ne va plus,Alexis Ivanovitch; The Croupier,F,major,M,minor
Alexis Ivanovitch,Antonida Vassilievna Tarassevitcha,324,326,Presently Madame Potapitch is outside and they would decline to admit him to these rooms See You are being paid out your money Pray take it,We shall be too late He is going to spin again Stake stake Do not hang back Be quick,Antonida Vassilievna Tarassevitcha,M,major,F,major
The Croupier,Alexis Ivanovitch,325,327,Faites le jeu messieurs Faites le jeu messieurs Rien ne va plus,Upon what shall I stake Madame,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha,M,minor,M,major
The Croupier,Alexis Ivanovitch,335,337,Le jeu est fait,Does she again think that zero is going to be the winning coup,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha,M,minor,M,major
Antonida Vassilievna Tarassevitcha,The Croupier,336,338,Again again again Stake again,Zero,Alexis Ivanovitch; The Croupier,F,major,M,minor
Alexis Ivanovitch,Antonida Vassilievna Tarassevitcha,337,339,Does she again think that zero is going to be the winning coup,Ah,Antonida Vassilievna Tarassevitcha; The Croupier,M,major,F,major
The Croupier,Antonida Vassilievna Tarassevitcha,338,340,Zero,Alexis Ivanovitch did not the croupier just say that 4000 florins were the most that could be staked at any one time Well take these 4000 and stake them upon the red,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha,M,minor,F,major
Antonida Vassilievna Tarassevitcha,The Croupier,339,341,Ah,Rouge,Alexis Ivanovitch; The Croupier,F,major,M,minor
Marqis De Griers,Antonida Vassilievna Tarassevitcha,345,347,Quelle victoire,Yes I have won twelve thousand florins And then there is all this gold With it the total ought to come to nearly thirteen thousand How much is that in Russian money Six thousand roubles I think,A Man; Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Mlle. Blanche; Polina Alexandrovna; The General,M,intermediate,F,major
Mlle. Blanche,Antonida Vassilievna Tarassevitcha,346,348,Mais Madame c tait du feu,Eight thousand roubles What a splendid thing And to think of you simpletons sitting there and doing nothing Potapitch Martha See what I have won,A Man; Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Marqis De Griers; Polina Alexandrovna; The General,F,intermediate,F,major
Martha,A Man,349,351,How did you do it Madame Eight thousand roubles,Madame la princesse Un pauvre expatri Malheur continuel Les princes russes sont si g n reux,A Man; Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Marqis De Griers; Mlle. Blanche; Polina Alexandrovna; Potapitch; The General,F,minor,M,minor
A Man,Mlle. Blanche,351,353,Madame la princesse Un pauvre expatri Malheur continuel Les princes russes sont si g n reux,Merci Madame,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Marqis De Griers; Martha; Mlle. Blanche; Polina Alexandrovna; Potapitch; The General,M,minor,F,intermediate
Mlle. Blanche,Alexis Ivanovitch,353,355,Merci Madame,But perhaps he is not a beggar only a rascal,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Marqis De Griers; Martha; Polina Alexandrovna; Potapitch; The General,F,intermediate,M,major
Alexis Ivanovitch,Marqis De Griers,361,363,Two hundred g lden Madame,Que diable C est une terrible vieille,Antonida Vassilievna Tarassevitcha; Marqis De Griers; Martha; Mlle. Blanche; Polina Alexandrovna; Potapitch; The General,M,major,M,intermediate
A Grey-headed Old Man,Alexis Ivanovitch,365,367,Was ist der Teufel,What You are going to play again,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Marqis De Griers; Martha; Mlle. Blanche; Polina Alexandrovna; Potapitch; The General,M,minor,M,major
Alexis Ivanovitch,Marqis De Griers,367,369,What You are going to play again,Madame les chances peuvent tourner Une seule mauvaise chance et vous perdrez tout surtout avec votre jeu C tait terrible,Antonida Vassilievna Tarassevitcha; Marqis De Griers; Martha; Mlle. Blanche; Polina Alexandrovna; Potapitch; The General,M,major,M,intermediate
Antonida Vassilievna Tarassevitcha,Mlle. Blanche,368,370,What else do you suppose Are you going only to sit here and grow sour and let me look at you,Oui vous perdrez absolument,Alexis Ivanovitch; Marqis De Griers; Martha; Mlle. Blanche; Polina Alexandrovna; Potapitch; The General,F,major,F,intermediate
Marqis De Griers,Antonida Vassilievna Tarassevitcha,369,371,Madame les chances peuvent tourner Une seule mauvaise chance et vous perdrez tout surtout avec votre jeu C tait terrible,What has that got to do with you It is not your money that I am going to lose it is my own And where is that Mr Astley of yours,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Martha; Mlle. Blanche; Polina Alexandrovna; Potapitch; The General,M,intermediate,F,major
Mlle. Blanche,Alexis Ivanovitch,370,372,Oui vous perdrez absolument,He stayed behind in the Casino,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Marqis De Griers; Martha; Polina Alexandrovna; Potapitch; The General,F,intermediate,M,major
Alexis Ivanovitch,Martha,372,374,He stayed behind in the Casino,I was watching you all the time Madame and I asked Potapitch what mistress was trying to do And my word the heaps and heaps of money that were lying upon the table Never in my life have I seen so much money And there were gentlefolk around it and other gentlefolk sitting down So I asked Potapitch where all these gentry had come from for thought I maybe the Holy Mother of God will help our mistress among them Yes I prayed for you Madame and my heart died within me so that I kept trembling and trembling The Lord be with her I thought to myself and in answer to my prayer He has now sent you what He has done Even yet I tremble I tremble to think of it all,Antonida Vassilievna Tarassevitcha; Marqis De Griers; Martha; Mlle. Blanche; Polina Alexandrovna; Potapitch; The General,M,major,F,minor
Martha,Alexis Ivanovitch,374,376,I was watching you all the time Madame and I asked Potapitch what mistress was trying to do And my word the heaps and heaps of money that were lying upon the table Never in my life have I seen so much money And there were gentlefolk around it and other gentlefolk sitting down So I asked Potapitch where all these gentry had come from for thought I maybe the Holy Mother of God will help our mistress among them Yes I prayed for you Madame and my heart died within me so that I kept trembling and trembling The Lord be with her I thought to myself and in answer to my prayer He has now sent you what He has done Even yet I tremble I tremble to think of it all,Good Lord every ten g lden piece which the Grandmother staked must have raised a blister on the General s heart and maddened De Griers and driven Mlle de Cominges almost to frenzy with the sight of this spoon dangling before her lips,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Theodosia,F,minor,M,major
Antonida Vassilievna Tarassevitcha,Alexis Ivanovitch,375,377,Alexis Ivanovitch after luncheon that is to say about four o clock get ready to go out with me again But in the meanwhile good bye Do not forget to call a doctor for I must take the waters Now go and get rested a little,Polina Alexandrovna,Alexis Ivanovitch; Martha; Theodosia,F,major,M,major
Polina Alexandrovna,Alexis Ivanovitch,380,382,Take this letter and hand it personally to Mr Astley Go as quickly as ever you can please No answer will be required He himself,My friend mine own familiar friend,Alexis Ivanovitch,F,major,M,major
The General,Alexis Ivanovitch,383,385,Alexis Ivanovitch may I say to you that I find it strange exceedingly strange that In short your conduct towards myself and my family In a word your er extremely,Why Why,Alexis Ivanovitch; Marqis De Griers; Mlle. Blanche,M,intermediate,M,major
Alexis Ivanovitch,The General,385,387,Why Why,And then you will have ruined my whole family I and my family are her heirs for she has no nearer relatives than ourselves I tell you frankly that my affairs are in great very great disorder how much they are so you yourself are partially aware If she should lose a large sum or maybe her whole fortune what will become of us of my children or of me Alexis Ivanovitch I beg of you to save us,Marqis De Griers; Mlle. Blanche; The General,M,major,M,intermediate
Marqis De Griers,Alexis Ivanovitch,386,388,Because you have taken upon yourself to act as guide to this to this how shall I express it to this old lady cette pauvre terrible vieille But she will only gamble away all that she has gamble it away like thistledown You yourself have seen her play Once she has acquired the taste for gambling she will never leave the roulette table but of sheer perversity and temper will stake her all and lose it In cases such as hers a gambler can never be torn away from the game and then and then,Tell me General how am I to do so On what footing do I stand here,Alexis Ivanovitch; Mlle. Blanche; The General,M,intermediate,M,major
The General,Marqis De Griers,389,391,Refuse to take her about Simply leave her alone,Ce n est pas a ce n est pas a Que diable Do not leave her alone so much as advise her persuade her draw her away In any case do not let her gamble find her some counter attraction,Alexis Ivanovitch; Marqis De Griers; Mlle. Blanche,M,intermediate,M,intermediate
Alexis Ivanovitch,The General,392,394,And how am I to do that If only you would undertake the task Monsieur de Griers,Alexis Ivanovitch pray pardon me for having said what I did just now for having said more than I meant to do I beg and beseech you I kiss the hem of your garment as our Russian saying has it for you and only you can save us I and Mlle de Cominges we all of us beg of you But you understand do you not Surely you understand,Marqis De Griers; Mlle. Blanche; The General,M,major,M,intermediate
The General,Marqis De Griers,394,396,Alexis Ivanovitch pray pardon me for having said what I did just now for having said more than I meant to do I beg and beseech you I kiss the hem of your garment as our Russian saying has it for you and only you can save us I and Mlle de Cominges we all of us beg of you But you understand do you not Surely you understand,Quelle m g re,Alexis Ivanovitch; Marqis De Griers; Mlle. Blanche,M,intermediate,M,intermediate
Antonida Vassilievna Tarassevitcha,Alexis Ivanovitch,398,400,What was that Ah Why have you attached yourselves to the party We are not going to take you with us every time Go home at once,We have lost 144 ten g lden pieces I tell you Madame that zero may not turn up until nightfall,Alexis Ivanovitch; Martha; Potapitch,F,major,M,major
Alexis Ivanovitch,Antonida Vassilievna Tarassevitcha,402,404,But Madame that will be so much to venture Suppose the red should not turn up,To think that that accursed zero should have turned up now The accursed accursed thing And it is all your fault It was you who persuaded me to cease staking upon it,Antonida Vassilievna Tarassevitcha,M,major,F,major
The Croupier,Alexis Ivanovitch,403,405,Zero,But Madame I only explained the game to you How am I to answer for every mischance which may occur in it,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha,M,minor,M,major
Antonida Vassilievna Tarassevitcha,The General,424,426,Well well well But we have no time to stop What do you want I can t talk to you here,Stop her stop her,Alexis Ivanovitch; Marqis De Griers; Mlle. Blanche; The General,F,major,M,intermediate
Antonida Vassilievna Tarassevitcha,Marqis De Griers,429,431,Begone with you and your views,Nous boirons du lait sur l herbe fraiche,Alexis Ivanovitch; Marqis De Griers; Mlle. Blanche; The General,F,major,M,intermediate
The General,Antonida Vassilievna Tarassevitcha,430,432,And there are trees there and we could have tea under them,Have done with you and your milk Go and stuff yourself as much as you like but my stomach simply recoils from the idea What are you stopping for I have nothing to say to you,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Marqis De Griers; Mlle. Blanche,M,intermediate,F,major
Marqis De Griers,Alexis Ivanovitch,431,433,Nous boirons du lait sur l herbe fraiche,Here we are Madame Here is the moneychanger s office,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Mlle. Blanche; The General,M,intermediate,M,major
The Croupier,Antonida Vassilievna Tarassevitcha,445,447,Zero,Home What a fool I am What a silly old fool I am to be sure,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Marqis De Griers,M,minor,F,major
Martha,Potapitch,449,451,But whither Madame,Fifteen thousand roubles good mistress My God,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Potapitch,F,minor,M,minor
Potapitch,Alexis Ivanovitch,451,453,Fifteen thousand roubles good mistress My God,The next train leaves at 9 30 Madame,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Martha,M,minor,M,major
