A,B,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category
Mrs. Mcbryde,Mrs. Moore,264,266,oh nancy how topping oh nancy how killing i wish i could look at things like that,adela and i talk mostly about india dear since you mention it you re quite right you ought to be more alone with her than you are,Adela Quested; Mr. Mcbryde; Mrs. Mcbryde; Mrs. Moore; Ronny Heaslop,F,minor,F,major
Dr. Panna Lal,Dr. Aziz,299,301,disaster may come but we shall at all events get there safe even if we do not get back it will i think create a good impression should two doctors arrive at the same time,never never shall i get over this most certainly my career is a failure and my sons will be badly brought up,Dr. Aziz,M,intermediate,M,major
_group,Dr. Aziz,311,313,if only they were all like that,i am so awfully sorry i was compelled to go to the post office,A Stray Subaltern; Dr. Aziz,M,minor,M,major
Dr. Panna Lal,Dr. Aziz,322,324,yet you promise me and then fabricate this tale of a telegram go forward dapple,may i really mr fielding it s very good of you i like unconventional behaviour so extremely the fact is i have long wanted to meet you i have heard so much about your warm heart from the nawab bahadur but where is one to meet in a wretched hole like chandrapore when i was greener here i ll tell you what i used to wish you to fall ill so that we could meet that way i said to myself how does mr fielding look this morning perhaps pale and the civil surgeon is pale too he will not be able to attend upon him when the shivering commences i should have been sent for instead then we would have had jolly talks for you are a celebrated student of persian poetry,Dr. Aziz,M,intermediate,M,major
Adela Quested,Mrs. Moore,369,371,i want you to explain a disappointment we had this morning it must be some point of indian etiquette,i am afraid we must have made some blunder and given offence,Cyril Fielding; Dr. Aziz; Mrs. Moore,F,major,F,major
Dr. Aziz,Cyril Fielding,372,374,that is even more impossible but may i know the facts,some misunderstanding,Adela Quested; Cyril Fielding; Mrs. Moore,M,major,M,major
Mrs. Moore,Adela Quested,373,375,an indian lady and gentleman were to send their carriage for us this morning at nine it has never come we waited and waited and waited we can t think what happened,oh no it wasn t that they even gave up going to calcutta to entertain us we must have made some stupid blunder we both feel sure,Adela Quested; Cyril Fielding; Dr. Aziz,F,major,F,major
Cyril Fielding,Dr. Aziz,376,378,i wouldn t worry about that,slack hindus they have no idea of society i know them very well because of a doctor at the hospital such a slack unpunctual fellow it is as well you did not go to their house for it would give you a wrong idea of india nothing sanitary i think for my own part they grew ashamed of their house and that is why they did not send,Adela Quested; Dr. Aziz; Mrs. Moore,M,major,M,major
Adela Quested,Cyril Fielding,377,379,exactly what mr heaslop tells me if one doesn t worry how s one to understand,that s a notion,Cyril Fielding; Dr. Aziz; Mrs. Moore,F,major,M,major
Dr. Aziz,Adela Quested,378,380,slack hindus they have no idea of society i know them very well because of a doctor at the hospital such a slack unpunctual fellow it is as well you did not go to their house for it would give you a wrong idea of india nothing sanitary i think for my own part they grew ashamed of their house and that is why they did not send,i do so hate mysteries,Adela Quested; Cyril Fielding; Mrs. Moore,M,major,F,major
Cyril Fielding,Mrs. Moore,381,383,we english do,i like mysteries but i rather dislike muddles,Adela Quested; Dr. Aziz; Mrs. Moore,M,major,F,major
Adela Quested,Cyril Fielding,382,384,i dislike them not because i m english but from my own personal point of view,a mystery is a muddle,Cyril Fielding; Dr. Aziz; Mrs. Moore,F,major,M,major
Cyril Fielding,Dr. Aziz,386,388,a mystery is only a high sounding term for a muddle no advantage in stirring it up in either case aziz and i know well that india s a muddle,there ll be no muddle when you come to see me mrs moore and everyone i invite you all oh please oh but we will talk of something else now i wish i lived here see this beautiful room let us admire it together for a little see those curves at the bottom of the arches what delicacy it is the architecture of question and answer mrs moore you are in india i am not joking i am doing justice here a poor widow who has been robbed comes along and i give her fifty rupees to another a hundred and so on and so on i should like that,Adela Quested; Dr. Aziz; Mrs. Moore,M,major,M,major
Mrs. Moore,Dr. Aziz,391,393,well,then back with water streaming over you and perhaps rather a pain inside but i did not mind all my friends were paining with me we have a proverb in urdu what does unhappiness matter when we are all unhappy together which comes in conveniently after mangoes miss quested do wait for mangoes why not settle altogether in india,Adela Quested; Cyril Fielding; Dr. Aziz,F,major,M,major
Dr. Aziz,Adela Quested,392,394,you remember the water by our mosque it comes down and fills this tank a skilful arrangement of the emperors they stopped here going down into bengal they loved water wherever they went they created fountains gardens hammams i was telling mr fielding i would give anything to serve them,i m afraid i can t do that,Adela Quested; Cyril Fielding; Mrs. Moore,M,major,F,major
Adela Quested,Professor Godbole,394,396,i m afraid i can t do that,they are indeed such affability is seldom seen but what can we offer to detain them,Cyril Fielding; Dr. Aziz; Mrs. Moore; Professor Godbole,F,major,M,intermediate
Professor Godbole,Cyril Fielding,396,398,they are indeed such affability is seldom seen but what can we offer to detain them,even mangoes can be got in england now they ship them in ice cold rooms you can make india in england apparently just as you can make england in india,Adela Quested; Cyril Fielding; Dr. Aziz; Mrs. Moore,M,intermediate,M,major
Dr. Aziz,Adela Quested,397,399,mangoes mangoes,frightfully expensive in both cases,Adela Quested; Cyril Fielding; Mrs. Moore; Professor Godbole,M,major,F,major
Cyril Fielding,Mrs. Moore,400,402,i suppose so,don t you come too adela you dislike institutions,Adela Quested; Dr. Aziz; Mrs. Moore; Professor Godbole,M,major,F,major
Mrs. Moore,Dr. Aziz,402,404,don t you come too adela you dislike institutions,i speak now as a doctor no,Adela Quested; Cyril Fielding; Dr. Aziz; Professor Godbole,F,major,M,major
Adela Quested,Professor Godbole,403,405,yes that is so,but i will send you up a few healthy sweets i will give myself that pleasure,Cyril Fielding; Dr. Aziz; Mrs. Moore; Professor Godbole,F,major,M,intermediate
Professor Godbole,Adela Quested,405,407,but i will send you up a few healthy sweets i will give myself that pleasure,i don t know why you say that when you have so kindly asked us to your house,Adela Quested; Dr. Aziz,M,intermediate,F,major
Dr. Aziz,Professor Godbole,408,410,yes all that is settled i invite you all to see me in the marabar caves,oh that is a most magnificent entertainment compared to my poor sweets but has not miss quested visited our caves already,Adela Quested; Professor Godbole,M,major,M,intermediate
_group,Dr. Aziz,412,414,not heard of them the marabar caves in the marabar hills,i know,Adela Quested; Dr. Aziz; Professor Godbole,M,minor,M,major
Dr. Aziz,Professor Godbole,414,416,i know,my dear young sir the pot and the kettle have you ever heard of that useful proverb,Adela Quested; Professor Godbole,M,major,M,intermediate
Adela Quested,Dr. Aziz,421,423,something like the caves at elephanta,they are immensely holy no doubt,Dr. Aziz; Professor Godbole,F,major,M,major
Professor Godbole,Adela Quested,430,432,it will be a great pleasure,good evening,Adela Quested; Dr. Aziz,M,intermediate,F,major
Adela Quested,Professor Godbole,434,436,i thought there was to be no polo,your mother will return shortly sir there is but little to see at our poor college,Dr. Aziz; Professor Godbole; Ronny Heaslop,F,major,M,intermediate
Ronny Heaslop,Dr. Aziz,435,437,everything s altered some soldier men have come in come along and i ll tell you about it,come along up and join us mr heaslop sit down till your mother turns up he may not understand that allow me,Adela Quested; Dr. Aziz; Professor Godbole,M,major,M,major
Professor Godbole,Ronny Heaslop,436,438,your mother will return shortly sir there is but little to see at our poor college,don t trouble to come mother we re just starting,Adela Quested; Dr. Aziz; Ronny Heaslop,M,intermediate,M,major
Dr. Aziz,Ronny Heaslop,437,439,come along up and join us mr heaslop sit down till your mother turns up he may not understand that allow me,i say old man do excuse me but i think perhaps you oughtn t to have left miss quested alone,Adela Quested; Professor Godbole; Ronny Heaslop,M,major,M,major
Ronny Heaslop,Cyril Fielding,438,440,don t trouble to come mother we re just starting,i m sorry what s up,Adela Quested; Cyril Fielding; Dr. Aziz; Mrs. Moore; Professor Godbole,M,major,M,major
Mrs. Moore,Adela Quested,453,455,good bye mr fielding and thank you so much what lovely college buildings,good bye mr fielding such an interesting afternoon,Adela Quested; Cyril Fielding; Dr. Aziz; Professor Godbole; Ronny Heaslop,F,major,F,major
Adela Quested,Mrs. Moore,455,457,good bye mr fielding such an interesting afternoon,good bye dr aziz,Cyril Fielding; Dr. Aziz; Mrs. Moore; Professor Godbole; Ronny Heaslop,F,major,F,major
Cyril Fielding,Dr. Aziz,456,458,good bye miss quested,good bye mrs moore,Adela Quested; Dr. Aziz; Mrs. Moore; Professor Godbole; Ronny Heaslop,M,major,M,major
Mrs. Moore,Adela Quested,457,459,good bye dr aziz,good bye dr aziz,Adela Quested; Cyril Fielding; Dr. Aziz; Professor Godbole; Ronny Heaslop,F,major,F,major
Dr. Aziz,Professor Godbole,462,464,what a shame you leave india so soon oh do reconsider your decision do stay,i may sing now,Adela Quested; Cyril Fielding; Mrs. Moore; Professor Godbole; Ronny Heaslop,M,major,M,intermediate
Adela Quested,Cyril Fielding,463,465,good bye professor godbole it s a shame we never heard you sing,thanks so much what was that,Cyril Fielding; Dr. Aziz; Mrs. Moore; Professor Godbole; Ronny Heaslop,F,major,M,major
Cyril Fielding,Mrs. Moore,465,467,thanks so much what was that,but he comes in some other song i hope,Adela Quested; Dr. Aziz; Mrs. Moore; Professor Godbole; Ronny Heaslop,M,major,F,major
Mrs. Moore,Ronny Heaslop,467,469,but he comes in some other song i hope,what was that about caves,Adela Quested; Cyril Fielding; Dr. Aziz; Professor Godbole; Ronny Heaslop,F,major,M,major
Professor Godbole,Adela Quested,468,470,oh no he refuses to come i say to him come come come come come come he neglects to come,mrs moore your delightful doctor has decided on a picnic instead of a party in his house we are to meet him out there you myself mr fielding professor godbole exactly the same party,Adela Quested; Cyril Fielding; Dr. Aziz; Mrs. Moore; Ronny Heaslop,M,intermediate,F,major
Adela Quested,Mrs. Moore,480,482,oh naturally,mother is pledged to nothing certainly not to this polo will you drive up to the bungalow first and drop me there please i prefer to rest,Mrs. Moore; Ronny Heaslop,F,major,F,major
Ronny Heaslop,Adela Quested,481,483,are you too pledged to this expedition mother,drop me too i don t want to watch polo either i m sure,Adela Quested; Mrs. Moore,M,major,F,major
Mrs. Moore,Ronny Heaslop,482,484,mother is pledged to nothing certainly not to this polo will you drive up to the bungalow first and drop me there please i prefer to rest,simpler to drop the polo i won t have you messing about with indians any more if you want to go to the marabar caves you ll go under british auspices,Adela Quested; Ronny Heaslop,F,major,M,major
Adela Quested,Mrs. Moore,483,485,drop me too i don t want to watch polo either i m sure,i ve never heard of these caves i don t know what or where they are but i really can t have so much quarrelling and tiresomeness,Mrs. Moore; Ronny Heaslop,F,major,F,major
Ronny Heaslop,Adela Quested,484,486,simpler to drop the polo i won t have you messing about with indians any more if you want to go to the marabar caves you ll go under british auspices,we must have a thorough talk ronny i m afraid,Adela Quested; Mrs. Moore,M,major,F,major
Mrs. Moore,Ronny Heaslop,485,487,i ve never heard of these caves i don t know what or where they are but i really can t have so much quarrelling and tiresomeness,my temper s rotten i must apologize i didn t mean to order you and mother about but of course the way those bengalis let you down this morning annoyed me and i don t want that sort of thing to keep happening,Adela Quested; Ronny Heaslop,F,major,M,major
Adela Quested,Ronny Heaslop,508,510,so am i i m useless at everything,hallo nawab bahadur been watching the polo again,Ronny Heaslop,F,major,M,major
Ronny Heaslop,Adela Quested,510,512,hallo nawab bahadur been watching the polo again,how do you do,Adela Quested; The Nawab Badahur,M,major,F,major
The Nawab Badahur,Ronny Heaslop,511,513,i have sahib i have,would half an hour s spin entertain you at all,Adela Quested; Ronny Heaslop,M,intermediate,M,major
Adela Quested,The Nawab Badahur,516,518,i think perhaps i ought to see your mother and discuss future plans,let me take you to the bungalow and first the little spin,Ronny Heaslop; The Nawab Badahur,F,major,M,intermediate
The Nawab Badahur,Mr. Harris,520,522,despite my advanced years i am learning to drive man can learn everything if he will but try i do not do the actual steering i sit and ask my chauffeur questions and thus learn the reason for everything that is done before i do it myself by this method serious and i may say ludicrous accidents such as befell one of my compatriots during that delightful reception at the english club are avoided our good panna lal i hope sahib that great damage was not done to your flowers let us have our little spin down the gangavati road half one league onwards,you give me five minutes time i ll take you any dam anywhere,Adela Quested; Mr. Harris; Ronny Heaslop,M,intermediate,M,minor
Mr. Harris,Adela Quested,522,524,you give me five minutes time i ll take you any dam anywhere,not a bit,Adela Quested; Ronny Heaslop; The Nawab Badahur,M,minor,F,major
Ronny Heaslop,The Nawab Badahur,523,525,frightened adela,i consider not to be frightened the height of folly,Adela Quested; Mr. Harris; The Nawab Badahur,M,major,M,intermediate
Adela Quested,Ronny Heaslop,524,526,not a bit,well it s all over now tears are useless we had some luck butting that tree,Mr. Harris; Ronny Heaslop; The Nawab Badahur,F,major,M,major
The Nawab Badahur,Adela Quested,527,529,all over oh yes the danger is past let us smoke cigarettes let us do anything we please oh yes enjoy ourselves oh my merciful god,we didn t skid we ran into an animal,Adela Quested; Mr. Harris; Ronny Heaslop,M,intermediate,F,major
Ronny Heaslop,The Nawab Badahur,528,530,wasn t the bridge we skidded,an animal,Adela Quested; Mr. Harris; The Nawab Badahur,M,major,M,intermediate
The Nawab Badahur,Ronny Heaslop,530,532,an animal,by jove she s right the paint s gone,Adela Quested; Mr. Harris; Ronny Heaslop,M,intermediate,M,major
Adela Quested,Mr. Harris,531,533,a large animal rushed up out of the dark on the right and hit us,by jove sir your lady is right,Mr. Harris; Ronny Heaslop; The Nawab Badahur,F,major,M,minor
Ronny Heaslop,Adela Quested,532,534,by jove she s right the paint s gone,of course i m right i saw its hairy back quite plainly,Adela Quested; Mr. Harris; The Nawab Badahur,M,major,F,major
Mr. Harris,Ronny Heaslop,533,535,by jove sir your lady is right,i say adela what was it,Adela Quested; Ronny Heaslop; The Nawab Badahur,M,minor,M,major
Ronny Heaslop,The Nawab Badahur,535,537,i say adela what was it,exactly too big for a goat,Adela Quested; Mr. Harris; The Nawab Badahur,M,major,M,intermediate
Adela Quested,Ronny Heaslop,536,538,i don t know the animals any better than the birds here too big for a goat,let s go into this let s look for its tracks,Mr. Harris; Ronny Heaslop; The Nawab Badahur,F,major,M,major
Ronny Heaslop,Adela Quested,538,540,let s go into this let s look for its tracks,i believe it was a buffalo,Adela Quested; Mr. Harris; The Nawab Badahur,M,major,F,major
Mr. Harris,Ronny Heaslop,544,546,half a mo ment give me ten minutes time,don t worry mr harris he saved us from a nasty smash harris well done,Adela Quested; Ronny Heaslop; The Nawab Badahur,M,minor,M,major
Ronny Heaslop,The Nawab Badahur,556,558,can you give us a lift,take me too,Adela Quested; Miss Derek; Mr. Harris; The Nawab Badahur,M,major,M,intermediate
Miss Derek,Mr. Harris,557,559,yes indeed,heh what about me,Adela Quested; Mr. Harris; Ronny Heaslop; The Nawab Badahur,F,intermediate,M,minor
The Nawab Badahur,Miss Derek,558,560,take me too,now what s all this i m not an omnibus i ve a harmonium and two dogs in here with me as it is i ll take three of you if one ll sit in front and nurse a pug no more,Adela Quested; Miss Derek; Mr. Harris; Ronny Heaslop,M,intermediate,F,intermediate
Mr. Harris,The Nawab Badahur,559,561,heh what about me,i will sit in front,Adela Quested; Miss Derek; Ronny Heaslop; The Nawab Badahur,M,minor,M,intermediate
The Nawab Badahur,Mr. Harris,561,563,i will sit in front,heh no what about my dinner i can t be left alone all the night,Adela Quested; Miss Derek; Mr. Harris; Ronny Heaslop,M,intermediate,M,minor
Miss Derek,The Nawab Badahur,562,564,then hop in i ve no notion who you are,nussu will bring you out some suitable dinner upon a bicycle i shall despatch him with all possible speed meanwhile repair my car,Adela Quested; Mr. Harris; Ronny Heaslop; The Nawab Badahur,F,intermediate,M,intermediate
