pair_id,a_speaker,b_speaker,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category,novel,a_articles,a_auxiliary_verbs,a_conjunctions,a_adverbs,a_impersonal_pronouns,a_negations,a_personal_pronouns,a_prepositions,a_quantifiers,b_articles,b_auxiliary_verbs,b_conjunctions,b_adverbs,b_impersonal_pronouns,b_negations,b_personal_pronouns,b_prepositions,b_quantifiers
00024,Mr. Woodhouse,Emma,481,285,it is a great pity that their circumstances should be so confined a great pity indeed and i have often wished but it is so little one can venture to do small trifling presents of any thing uncommon now we have killed a porker and emma thinks of sending them a loin or a leg it is very small and delicate hartfield pork is not like any other pork but still it is pork and my dear emma unless one could be sure of their making it into steaks nicely fried as ours are fried without the smallest grease and not roast it for no stomach can bear roast pork i think we had better send the leg do not you think so my dear,oh papa we have missed seeing them but one entire day since they married either in the morning or evening of every day excepting one have we seen either mr weston or mrs weston and generally both either at randalls or here and as you may suppose isabella most frequently here they are very very kind in their visits mr weston is really as kind as herself papa if you speak in that melancholy way you will be giving isabella a false idea of us all every body must be aware that miss taylor must be missed but every body ought also to be assured that mr and mrs weston do really prevent our missing her by any means to the extent we ourselves anticipated which is the exact truth,Emma; Mr. Knightley,M,intermediate,F,major,Emma,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
00025,Mr. Woodhouse,Emma,576,250,you will make my excuses my dear as civilly as possible you will say that i am quite an invalid and go no where and therefore must decline their obliging invitation beginning with my compliments of course but you will do every thing right i need not tell you what is to be done we must remember to let james know that the carriage will be wanted on tuesday i shall have no fears for you with him we have never been there above once since the new approach was made but still i have no doubt that james will take you very safely and when you get there you must tell him at what time you would have him come for you again and you had better name an early hour you will not like staying late you will get very tired when tea is over,that is the case with us all papa one half of the world cannot understand the pleasures of the other,Emma; Mr. Weston; Mrs. Weston,M,intermediate,F,major,Emma,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
00026,Mr. Woodhouse,Emma,582,31,no upon no account in the world mr weston i am much obliged to you for reminding me i should be extremely sorry to be giving them any pain i know what worthy people they are perry tells me that mr cole never touches malt liquor you would not think it to look at him but he is bilious mr cole is very bilious no i would not be the means of giving them any pain my dear emma we must consider this i am sure rather than run the risk of hurting mr and mrs cole you would stay a little longer than you might wish you will not regard being tired you will be perfectly safe you know among your friends,only one more papa only for mr elton poor mr elton you like mr elton papa i must look about for a wife for him there is nobody in highbury who deserves him and he has been here a whole year and has fitted up his house so comfortably that it would be a shame to have him single any longer and i thought when he was joining their hands to day he looked so very much as if he would like to have the same kind office done for him i think very well of mr elton and this is the only way i have of doing him a service,Emma; Mr. Weston; Mrs. Weston,M,intermediate,F,major,Emma,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00027,Mr. Woodhouse,Emma,816,821,well my dear considering we never saw her before she seems a very pretty sort of young lady and i dare say she was very much pleased with you she speaks a little too quick a little quickness of voice there is which rather hurts the ear but i believe i am nice i do not like strange voices and nobody speaks like you and poor miss taylor however she seems a very obliging pretty behaved young lady and no doubt will make him a very good wife though i think he had better not have married i made the best excuses i could for not having been able to wait on him and mrs elton on this happy occasion i said that i hoped i should in the course of the summer but i ought to have gone before not to wait upon a bride is very remiss ah it shews what a sad invalid i am but i do not like the corner into vicarage lane,well papa if this is not encouragement to marry i do not know what is and i should never have expected you to be lending your sanction to such vanity baits for poor young ladies,Emma,M,intermediate,F,major,Emma,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
00028,Mr. Woodhouse,Emma,818,819,yes but a young lady a bride i ought to have paid my respects to her if possible it was being very deficient,but my dear papa you are no friend to matrimony and therefore why should you be so anxious to pay your respects to a bride it ought to be no recommendation to you it is encouraging people to marry if you make so much of them,Emma,M,intermediate,F,major,Emma,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
00029,Mr. Woodhouse,Emma,820,5,no my dear i never encouraged any body to marry but i would always wish to pay every proper attention to a lady and a bride especially is never to be neglected more is avowedly due to her a bride you know my dear is always the first in company let the others be who they may,no papa nobody thought of your walking we must go in the carriage to be sure,Emma,M,intermediate,F,major,Emma,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0
00030,Mr. Woodhouse,Emma,822,240,my dear you do not understand me this is a matter of mere common politeness and good breeding and has nothing to do with any encouragement to people to marry,it is unfortunate that they cannot stay longer but it seems a case of necessity mr john knightley must be in town again on the 28th and we ought to be thankful papa that we are to have the whole of the time they can give to the country that two or three days are not to be taken out for the abbey mr knightley promises to give up his claim this christmas though you know it is longer since they were with him than with us,Emma,M,intermediate,F,major,Emma,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
00031,Mr. Woodhouse,Emma,879,823,isabella and emma both write beautifully and always did and so does poor mrs weston,very pleasant and very elegantly dressed,Emma; Jane Fairfax; Mr. John Knightley; Mr. Knightley; Mrs. Weston,M,intermediate,F,major,Emma,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
00032,Emma,Mr. Woodhouse,1,32,i cannot agree with you papa you know i cannot mr weston is such a good humoured pleasant excellent man that he thoroughly deserves a good wife and you would not have had miss taylor live with us for ever and bear all my odd humours when she might have a house of her own,mr elton is a very pretty young man to be sure and a very good young man and i have a great regard for him but if you want to shew him any attention my dear ask him to come and dine with us some day that will be a much better thing i dare say mr knightley will be so kind as to meet him,Mr. Woodhouse,F,major,M,intermediate,Emma,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
00033,Emma,Mr. Woodhouse,3,822,how often we shall be going to see them and they coming to see us we shall be always meeting we must begin we must go and pay wedding visit very soon,my dear you do not understand me this is a matter of mere common politeness and good breeding and has nothing to do with any encouragement to people to marry,Mr. Woodhouse,F,major,M,intermediate,Emma,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0
00034,Emma,Mr. Woodhouse,5,22,no papa nobody thought of your walking we must go in the carriage to be sure,dear emma bears every thing so well but mr knightley she is really very sorry to lose poor miss taylor and i am sure she will miss her more than she thinks for,Mr. Woodhouse,F,major,M,intermediate,Emma,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1
00035,Emma,Mr. Woodhouse,7,578,they are to be put into mr weston s stable papa you know we have settled all that already we talked it all over with mr weston last night and as for james you may be very sure he will always like going to randalls because of his daughter s being housemaid there i only doubt whether he will ever take us anywhere else that was your doing papa you got hannah that good place nobody thought of hannah till you mentioned her james is so obliged to you,oh no my love but you will soon be tired there will be a great many people talking at once you will not like the noise,Mr. Woodhouse,F,major,M,intermediate,Emma,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
00036,Emma,Mr. Woodhouse,17,123,especially when one of those two is such a fanciful troublesome creature that is what you have in your head i know and what you would certainly say if my father were not by,but it is never safe to sit out of doors my dear,Mr. Knightley; Mr. Woodhouse,F,major,M,intermediate,Emma,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
00037,Emma,Mr. Woodhouse,21,744,well you want to hear about the wedding and i shall be happy to tell you for we all behaved charmingly every body was punctual every body in their best looks not a tear and hardly a long face to be seen oh no we all felt that we were going to be only half a mile apart and were sure of meeting every day,so they will my dear that is a great thing not that james ever complains but it is right to spare our horses when we can if i could be sure of the rooms being thoroughly aired but is mrs stokes to be trusted i doubt it i do not know her even by sight,Mr. Knightley; Mr. Woodhouse,F,major,M,intermediate,Emma,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
00038,Emma,Mr. Woodhouse,24,237,and you have forgotten one matter of joy to me and a very considerable one that i made the match myself i made the match you know four years ago and to have it take place and be proved in the right when so many people said mr weston would never marry again may comfort me for any thing,i do not know my dear i am sure i was very much surprized when i first heard she was going to be married,Mr. Knightley; Mr. Woodhouse,F,major,M,intermediate,Emma,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
00039,Emma,Mr. Woodhouse,31,481,only one more papa only for mr elton poor mr elton you like mr elton papa i must look about for a wife for him there is nobody in highbury who deserves him and he has been here a whole year and has fitted up his house so comfortably that it would be a shame to have him single any longer and i thought when he was joining their hands to day he looked so very much as if he would like to have the same kind office done for him i think very well of mr elton and this is the only way i have of doing him a service,it is a great pity that their circumstances should be so confined a great pity indeed and i have often wished but it is so little one can venture to do small trifling presents of any thing uncommon now we have killed a porker and emma thinks of sending them a loin or a leg it is very small and delicate hartfield pork is not like any other pork but still it is pork and my dear emma unless one could be sure of their making it into steaks nicely fried as ours are fried without the smallest grease and not roast it for no stomach can bear roast pork i think we had better send the leg do not you think so my dear,Mr. Knightley; Mr. Woodhouse,F,major,M,intermediate,Emma,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00040,Emma,Mr. Woodhouse,122,235,but my dear papa it is supposed to be summer a warm day in summer look at the tree,i do not know my dear but it is so long since she was here not since last easter and then only for a few days mr john knightley s being a lawyer is very inconvenient poor isabella she is sadly taken away from us all and how sorry she will be when she comes not to see miss taylor here,Harriet Smith; Mr. Elton; Mr. Knightley; Mr. Woodhouse; Mrs. Weston,F,major,M,intermediate,Emma,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
00041,Emma,Mr. Woodhouse,230,496,yes papa we have something to read you something quite fresh a piece of paper was found on the table this morning dropt we suppose by a fairy containing a very pretty charade and we have just copied it in,he is very young to settle he had better not be in a hurry he seemed to me very well off as he was we were always glad to see him at hartfield,Harriet Smith; Mr. Woodhouse,F,major,M,intermediate,Emma,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0
00042,Emma,Mr. Woodhouse,232,293,yes papa it is written out in our second page we copied it from the elegant extracts it was garrick s you know,but you should tell them of the letter my dear he wrote a letter to poor mrs weston to congratulate her and a very proper handsome letter it was she shewed it to me i thought it very well done of him indeed whether it was his own idea you know one cannot tell he is but young and his uncle perhaps,Harriet Smith; Mr. Woodhouse,F,major,M,intermediate,Emma,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
00043,Emma,Mr. Woodhouse,234,18,oh yes she will have her own room of course the room she always has and there is the nursery for the children just as usual you know why should there be any change,i believe it is very true my dear indeed i am afraid i am sometimes very fanciful and troublesome,Harriet Smith; Mr. Woodhouse,F,major,M,intermediate,Emma,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0
00044,Emma,Mr. Woodhouse,236,8,she will not be surprized papa at least,i am very glad i did think of her it was very lucky for i would not have had poor james think himself slighted upon any account and i am sure she will make a very good servant she is a civil pretty spoken girl i have a great opinion of her whenever i see her she always curtseys and asks me how i do in a very pretty manner and when you have had her here to do needlework i observe she always turns the lock of the door the right way and never bangs it i am sure she will be an excellent servant and it will be a great comfort to poor miss taylor to have somebody about her that she is used to see whenever james goes over to see his daughter you know she will be hearing of us he will be able to tell her how we all are,Harriet Smith; Mr. Woodhouse,F,major,M,intermediate,Emma,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
00045,Emma,Mr. Woodhouse,238,533,we must ask mr and mrs weston to dine with us while isabella is here,you are acquainted with miss jane fairfax sir are you then give me leave to assure you that you will find her a very agreeable young lady she is staying here on a visit to her grandmama and aunt very worthy people i have known them all my life they will be extremely glad to see you i am sure and one of my servants shall go with you to shew you the way,Harriet Smith; Mr. Woodhouse,F,major,M,intermediate,Emma,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1
00046,Emma,Mr. Woodhouse,240,247,it is unfortunate that they cannot stay longer but it seems a case of necessity mr john knightley must be in town again on the 28th and we ought to be thankful papa that we are to have the whole of the time they can give to the country that two or three days are not to be taken out for the abbey mr knightley promises to give up his claim this christmas though you know it is longer since they were with him than with us,and then their uncle comes in and tosses them up to the ceiling in a very frightful way,Harriet Smith; Mr. Woodhouse,F,major,M,intermediate,Emma,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0
00047,Emma,Mr. Woodhouse,242,241,ah papa that is what you never have been able to accomplish and i do not think you ever will isabella cannot bear to stay behind her husband harriet must give us as much of her company as she can while my brother and sister are here i am sure she will be pleased with the children we are very proud of the children are not we papa i wonder which she will think the handsomest henry or john,it would be very hard indeed my dear if poor isabella were to be anywhere but at hartfield but i do not see why poor isabella should be obliged to go back so soon though he does i think emma i shall try and persuade her to stay longer with us she and the children might stay very well,Harriet Smith; Mr. Woodhouse,F,major,M,intermediate,Emma,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00048,Emma,Mr. Woodhouse,246,470,he appears rough to you because you are so very gentle yourself but if you could compare him with other papas you would not think him rough he wishes his boys to be active and hardy and if they misbehave can give them a sharp word now and then but he is an affectionate father certainly mr john knightley is an affectionate father the children are all fond of him,no my dear that i am sure you are not there is nobody half so attentive and civil as you are if any thing you are too attentive the muffin last night if it had been handed round once i think it would have been enough,Harriet Smith; Mr. Woodhouse,F,major,M,intermediate,Emma,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
00049,Emma,Mr. Woodhouse,248,231,but they like it papa there is nothing they like so much it is such enjoyment to them that if their uncle did not lay down the rule of their taking turns whichever began would never give way to the other,aye that s very just indeed that s very properly said very true it is such a pretty charade my dear that i can easily guess what fairy brought it nobody could have written so prettily but you emma ah it is no difficulty to see who you take after your dear mother was so clever at all those things if i had but her memory but i can remember nothing not even that particular riddle which you have heard me mention i can only recollect the first stanza and there are several and that is all that i can recollect of it but it is very clever all the way through but i think my dear you said you had got it,Harriet Smith; Mr. Woodhouse,F,major,M,intermediate,Emma,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00050,Emma,Mr. Woodhouse,292,243,he has not been here yet there was a strong expectation of his coming soon after the marriage but it ended in nothing and i have not heard him mentioned lately,aye i wonder which she will poor little dears how glad they will be to come they are very fond of being at hartfield harriet,Isabella; Mr. John Knightley; Mr. Woodhouse,F,major,M,intermediate,Emma,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1
00051,Emma,Mr. Woodhouse,294,574,my dear papa he is three and twenty you forget how time passes,i am not fond of dinner visiting i never was no more is emma late hours do not agree with us i am sorry mr and mrs cole should have done it i think it would be much better if they would come in one afternoon next summer and take their tea with us take us in their afternoon walk which they might do as our hours are so reasonable and yet get home without being out in the damp of the evening the dews of a summer evening are what i would not expose any body to however as they are so very desirous to have dear emma dine with them and as you will both be there and mr knightley too to take care of her i cannot wish to prevent it provided the weather be what it ought neither damp nor cold nor windy ah miss taylor if you had not married you would have staid at home with me,Isabella; Mr. John Knightley; Mr. Woodhouse,F,major,M,intermediate,Emma,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1
00052,Emma,Mr. Woodhouse,469,2,i am happy you approved but i hope i am not often deficient in what is due to guests at hartfield,a house of her own but where is the advantage of a house of her own this is three times as large and you have never any odd humours my dear,Mr. Knightley; Mr. Woodhouse,F,major,M,intermediate,Emma,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00053,Emma,Mr. Woodhouse,480,4,she is a sort of elegant creature that one cannot keep one s eyes from i am always watching her to admire and i do pity her from my heart,my dear how am i to get so far randalls is such a distance i could not walk half so far,Mr. Knightley; Mr. Woodhouse,F,major,M,intermediate,Emma,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
00054,Emma,Mr. Woodhouse,482,483,my dear papa i sent the whole hind quarter i knew you would wish it there will be the leg to be salted you know which is so very nice and the loin to be dressed directly in any manner they like,that s right my dear very right i had not thought of it before but that is the best way they must not over salt the leg and then if it is not over salted and if it is very thoroughly boiled just as serle boils ours and eaten very moderately of with a boiled turnip and a little carrot or parsnip i do not consider it unwholesome,Mr. Knightley; Mr. Woodhouse,F,major,M,intermediate,Emma,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
00055,Emma,Mr. Woodhouse,495,233,mr elton going to be married he will have every body s wishes for his happiness,aye very true i wish i could recollect more of it the name makes me think of poor isabella for she was very near being christened catherine after her grandmama i hope we shall have her here next week have you thought my dear where you shall put her and what room there will be for the children,Jane Fairfax; Miss Bates; Mr. Knightley; Mr. Woodhouse,F,major,M,intermediate,Emma,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
00056,Emma,Mr. Woodhouse,532,295,if you were never particularly struck by her manners before i think you will to day you will see her to advantage see her and hear her no i am afraid you will not hear her at all for she has an aunt who never holds her tongue,three and twenty is he indeed well i could not have thought it and he was but two years old when he lost his poor mother well time does fly indeed and my memory is very bad however it was an exceeding good pretty letter and gave mr and mrs weston a great deal of pleasure i remember it was written from weymouth and dated sept 28th and began but i forget how it went on and it was signed f c weston churchill i remember that perfectly,Mr. Frank Churchill; Mr. Weston; Mr. Woodhouse,F,major,M,intermediate,Emma,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
00057,Emma,Mr. Woodhouse,573,249,of course it must be declined,well i cannot understand it,Mr. Weston; Mr. Woodhouse; Mrs. Weston,F,major,M,intermediate,Emma,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0
00058,Emma,Mr. Woodhouse,577,25,but you would not wish me to come away before i am tired papa,ah my dear i wish you would not make matches and foretell things for whatever you say always comes to pass pray do not make any more matches,Mr. Weston; Mr. Woodhouse; Mrs. Weston,F,major,M,intermediate,Emma,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1
