pair_id,a_speaker,b_speaker,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category,a_articles,a_auxiliary_verbs,a_conjunctions,a_adverbs,a_impersonal_pronouns,a_negations,a_personal_pronouns,a_prepositions,a_quantifiers,b_articles,b_auxiliary_verbs,b_conjunctions,b_adverbs,b_impersonal_pronouns,b_negations,b_personal_pronouns,b_prepositions,b_quantifiers
00010,Miss Bartlett,Lucy,41,43,no harm of course but we could not be under an obligation,i was hoping that he was nice i do so always hope that people will be nice,Lucy; Mr. Beebe,F,major,,,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1
00011,Lucy,Miss Bartlett,43,45,i was hoping that he was nice i do so always hope that people will be nice,am i to conclude that he is a socialist and presumably he has brought up his son to be a socialist too,Miss Bartlett; Mr. Beebe,,,F,major,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0
00012,Mr. Beebe,Miss Bartlett,48,50,not at all i never suggested that,was i a bore why didn t you talk lucy he prefers young people i m sure i do hope i haven t monopolized him i hoped you would have him all the evening as well as all dinner time,Lucy; Miss Bartlett,M,major,F,major,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0
00013,Miss Bartlett,Lucy,49,51,but ought i not to apologize at all events for my apparent rudeness,he is nice just what i remember he seems to see good in everyone no one would take him for a clergyman,Lucy; Mr. Beebe,F,major,,,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1
00014,The Little Old Lady,Miss Bartlett,62,64,ah then you look into the court if only mr emerson was more tactful we were so sorry for you at dinner,undoubtedly he was,Lucy; Miss Bartlett,F,minor,F,major,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0
00015,Lucy,Miss Bartlett,69,71,oh charlotte we must have the rooms now the old man is just as nice and kind as he can be,my own wishes dearest lucy are unimportant in comparison with yours it would be hard indeed if i stopped you doing as you liked at florence when i am only here through your kindness if you wish me to turn these gentlemen out of their rooms i will do it would you then mr beebe kindly tell mr emerson that i accept his kind offer and then conduct him to me in order that i may thank him personally,Miss Bartlett; Mr. Beebe; The Little Old Lady,,,F,major,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
00016,Mr. Beebe,Miss Bartlett,70,72,i fear that i have been officious i must apologize for my interference,remember lucy i alone am implicated in this i do not wish the acceptance to come from you grant me that at all events,Lucy; Miss Bartlett; The Little Old Lady,M,major,F,major,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
00017,Miss Bartlett,Mr. Beebe,71,73,my own wishes dearest lucy are unimportant in comparison with yours it would be hard indeed if i stopped you doing as you liked at florence when i am only here through your kindness if you wish me to turn these gentlemen out of their rooms i will do it would you then mr beebe kindly tell mr emerson that i accept his kind offer and then conduct him to me in order that i may thank him personally,mr emerson is engaged but here is his son instead,Lucy; Mr. Beebe; The Little Old Lady,F,major,M,major,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0
00018,Mr. Beebe,Miss Bartlett,73,75,mr emerson is engaged but here is his son instead,poor young man,George Emerson; Lucy; Miss Bartlett; The Little Old Lady,M,major,F,major,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0
00019,George Emerson,Lucy,74,76,my father is in his bath so you cannot thank him personally but any message given by you to me will be given by me to him as soon as he comes out,how angry he is with his father about the rooms it is all he can do to keep polite,Lucy; Miss Bartlett; Mr. Beebe; The Little Old Lady,M,intermediate,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
00020,Miss Bartlett,Mr. Beebe,75,77,poor young man,in half an hour or so your rooms will be ready,Lucy; Mr. Beebe; The Little Old Lady,F,major,M,major,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1
00021,Lucy,Miss Bartlett,76,78,how angry he is with his father about the rooms it is all he can do to keep polite,i think one might venture now no lucy do not stir i will superintend the move,Miss Bartlett; Mr. Beebe; The Little Old Lady,,,F,major,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0
00022,Mr. Beebe,Lucy,77,79,in half an hour or so your rooms will be ready,how you do do everything,Lucy; Miss Bartlett; The Little Old Lady,M,major,,,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1
00023,Miss Lavish,Lucy,85,87,if it is mrs grundy who is troubling you i do assure you that you can neglect the good person being english miss honeychurch will be perfectly safe italians understand a dear friend of mine contessa baroncelli has two daughters and when she cannot send a maid to school with them she lets them go in sailor hats instead every one takes them for english you see especially if their hair is strained tightly behind i will take you by a dear dirty back way miss honeychurch and if you bring me luck we shall have an adventure tut tut miss lucy i hope we shall soon emancipate you from baedeker he does but touch the surface of things as to the true italy he does not even dream of it the true italy is only to be found by patient observation,is it a very nice smell,Lucy; Miss Bartlett,F,intermediate,,,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1
00024,Mr. Emerson,Lucy,106,108,you are a clever woman you have done more than all the relics in the world i am not of your creed but i do believe in those who make their fellow creatures happy there is no scheme of the universe,i m not sure she understands english,George Emerson; Italian Lady; Lucy,M,intermediate,,,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0
00025,Lucy,George Emerson,110,112,no i came here with miss lavish who was to explain everything and just by the door it is too bad she simply ran away and after waiting quite a time i had to come in by myself,yes why shouldn t you come by yourself,George Emerson; Mr. Emerson,,,M,intermediate,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1
00026,Mr. Emerson,Lucy,111,113,why shouldn t you,but miss lavish has even taken away baedeker,George Emerson; Lucy,M,intermediate,,,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0
00027,George Emerson,Mr. Emerson,112,114,yes why shouldn t you come by yourself,baedeker i m glad it s that you minded it s worth minding the loss of a baedeker that s worth minding,Lucy; Mr. Emerson,M,intermediate,M,intermediate,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
00028,Lucy,George Emerson,113,115,but miss lavish has even taken away baedeker,if you ve no baedeker you d better join us,George Emerson; Mr. Emerson,,,M,intermediate,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0
00029,Mr. Emerson,Lucy,114,116,baedeker i m glad it s that you minded it s worth minding the loss of a baedeker that s worth minding,thank you very much but i could not think of that i hope you do not suppose that i came to join on to you i really came to help with the child and to thank you for so kindly giving us your rooms last night i hope that you have not been put to any great inconvenience,George Emerson; Lucy,M,intermediate,,,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0
00030,George Emerson,Mr. Emerson,115,117,if you ve no baedeker you d better join us,my dear i think that you are repeating what you have heard older people say you are pretending to be touchy but you are not really stop being so tiresome and tell me instead what part of the church you want to see to take you to it will be a real pleasure,Lucy; Mr. Emerson,M,intermediate,M,intermediate,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
00031,Mr. Emerson,George Emerson,117,119,my dear i think that you are repeating what you have heard older people say you are pretending to be touchy but you are not really stop being so tiresome and tell me instead what part of the church you want to see to take you to it will be a real pleasure,remember the facts about this church of santa croce how it was built by faith in the full fervour of medievalism before any taint of the renaissance had appeared observe how giotto in these frescoes now unhappily ruined by restoration is untroubled by the snares of anatomy and perspective could anything be more majestic more pathetic beautiful true how little we feel avails knowledge and technical cleverness against a man who truly feels,George Emerson; Lucy,M,intermediate,M,intermediate,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
00032,Lucy,Mr. Emerson,118,120,i am not touchy i hope it is the giottos that i want to see if you will kindly tell me which they are,no remember nothing of the sort built by faith indeed that simply means the workmen weren t paid properly and as for the frescoes i see no truth in them look at that fat man in blue he must weigh as much as i do and he is shooting into the sky like an air balloon now did this happen or didn t it yes or no,George Emerson; Mr. Emerson,,,M,intermediate,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0
00033,George Emerson,Mr. Emerson,123,125,some of the people can only see the empty grave not the saint whoever he is going up it did happen like that if it happened at all,stop there s plenty of room for us all stop,Lucy; Mr. Emerson,M,intermediate,M,intermediate,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1
00034,Rev. Cuthbert Eager,Mr. Emerson,124,126,pardon me the chapel is somewhat small for two parties we will incommode you no longer,george i do believe that clergyman is the brixton curate,George Emerson; Lucy; Mr. Emerson,M,intermediate,M,intermediate,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0
00035,Mr. Emerson,George Emerson,125,127,stop there s plenty of room for us all stop,perhaps he is i don t remember,George Emerson; Lucy; Miss Catherine Alan; Rev. Cuthbert Eager,M,intermediate,M,intermediate,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0
00036,Mr. Emerson,George Emerson,128,130,then i had better speak to him and remind him who i am it s that mr eager why did he go did we talk too loud how vexatious i shall go and say we are sorry hadn t i better then perhaps he will come back,my father has that effect on nearly everyone he will try to be kind,George Emerson; Lucy,M,intermediate,M,intermediate,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0
00037,George Emerson,Lucy,129,131,he will not come back,i hope we all try,Lucy; Mr. Emerson,M,intermediate,,,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0
00038,Lucy,George Emerson,133,135,how silly of them i think that a kind action done tactfully,were you snubbed,George Emerson,,,M,intermediate,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
00039,Mr. Emerson,Lucy,150,152,george and i both know this but why does it distress him we know that we come from the winds and that we shall return to them that all life is perhaps a knot a tangle a blemish in the eternal smoothness but why should this make us unhappy let us rather love one another and work and rejoice i don t believe in this world sorrow then make my boy think like us make him realize that by the side of the everlasting why there is a yes a transitory yes if you like but a yes,oh but your son wants employment has he no particular hobby why i myself have worries but i can generally forget them at the piano and collecting stamps did no end of good for my brother perhaps italy bores him you ought to try the alps or the lakes,Lucy,M,intermediate,,,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
00040,George Emerson,Mr. Emerson,155,157,in the nave,poor girl poor girl,Lucy; Mr. Emerson,M,intermediate,M,intermediate,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1
00041,The Vicar,Mr. Beebe,162,164,she will be delighted she and miss bartlett are full of the praises of your sermon,if miss honeychurch ever takes to live as she plays it will be very exciting both for us and for her,Mr. Beebe,M,minor,M,major,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0
00042,Miss Catherine Alan,Mr. Beebe,179,181,oh dear miss honeychurch you will catch a chill and mr beebe here besides who would suppose this is italy there is my sister actually nursing the hot water can no comforts or proper provisions i could hear your beautiful playing miss honeychurch though i was in my room with the door shut doors shut indeed most necessary no one has the least idea of privacy in this country and one person catches it from another,i quite agree with you miss alan the italians are a most unpleasant people they pry everywhere they see everything and they know what we want before we know it ourselves we are at their mercy they read our thoughts they foretell our desires from the cab driver down to to giotto they turn us inside out and i resent it yet in their heart of hearts they are how superficial they have no conception of the intellectual life how right is signora bertolini who exclaimed to me the other day that belongs to lavish a good fellow lavish but i wish she d start a pipe,Lucy; Mr. Beebe,F,minor,M,major,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0
00043,Mr. Beebe,Lucy,181,183,i quite agree with you miss alan the italians are a most unpleasant people they pry everywhere they see everything and they know what we want before we know it ourselves we are at their mercy they read our thoughts they foretell our desires from the cab driver down to to giotto they turn us inside out and i resent it yet in their heart of hearts they are how superficial they have no conception of the intellectual life how right is signora bertolini who exclaimed to me the other day that belongs to lavish a good fellow lavish but i wish she d start a pipe,what was that,Lucy; Miss Catherine Alan,M,major,,,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0
00044,Lucy,Miss Catherine Alan,183,185,what was that,stomach he warned miss pole of her stomach acidity he called it and he may have meant to be kind i must say i forgot myself and laughed it was so sudden as teresa truly said it was no laughing matter but the point is that miss lavish was positively attracted by his mentioning s and said she liked plain speaking and meeting different grades of thought she thought they were commercial travellers was the word she used and all through dinner she tried to prove that england our great and beloved country rests on nothing but commerce teresa was very much annoyed and left the table before the cheese saying as she did so and pointed to that beautiful picture of lord tennyson then miss lavish said just imagine tut the early victorians my sister had gone and i felt bound to speak i said it was horrible speaking i reminded her how the queen had been to ireland when she did not want to go and i must say she was dumbfounded and made no reply but unluckily mr emerson overheard this part and called in his deep voice the woman i tell things so badly but you see what a tangle we were in by this time all on account of s having been mentioned in the first place but that was not all after dinner miss lavish actually came up and said needless to say i refused such an unsuitable invitation and she had the impertinence to tell me that it would broaden my ideas and said that she had four brothers all university men except one who was in the army who always made a point of talking to commercial travellers,Miss Catherine Alan; Mr. Beebe,,,F,minor,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0
00045,Miss Catherine Alan,Mr. Beebe,184,186,it was a novel and i am afraid from what i can gather not a very nice novel it is so sad when people who have abilities misuse them and i must say they nearly always do anyhow she left it almost finished in the grotto of the calvary at the capuccini hotel at amalfi while she went for a little ink she said but you know what italians are and meanwhile the grotto fell roaring on to the beach and the saddest thing of all is that she cannot remember what she has written the poor thing was very ill after it and so got tempted into cigarettes it is a great secret but i am glad to say that she is writing another novel she told teresa and miss pole the other day that she had got up all the local colour this novel is to be about modern italy the other was historical but that she could not start till she had an idea first she tried perugia for an inspiration then she came here this must on no account get round and so cheerful through it all i cannot help thinking that there is something to admire in everyone even if you do not approve of them all the same she is a little too i hardly like to say unwomanly but she behaved most strangely when the emersons arrived i don t know miss honeychurch if you have noticed that miss pole the lady who has so much yellow hair takes lemonade that old mr emerson who puts things very strangely,let me finish the story miss lavish tried miss pole myself everyone and finally said she went at the end of five minutes she returned unobtrusively with a green baize board and began playing patience,Lucy; Mr. Beebe,F,minor,M,major,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
00046,Miss Catherine Alan,Lucy,185,187,stomach he warned miss pole of her stomach acidity he called it and he may have meant to be kind i must say i forgot myself and laughed it was so sudden as teresa truly said it was no laughing matter but the point is that miss lavish was positively attracted by his mentioning s and said she liked plain speaking and meeting different grades of thought she thought they were commercial travellers was the word she used and all through dinner she tried to prove that england our great and beloved country rests on nothing but commerce teresa was very much annoyed and left the table before the cheese saying as she did so and pointed to that beautiful picture of lord tennyson then miss lavish said just imagine tut the early victorians my sister had gone and i felt bound to speak i said it was horrible speaking i reminded her how the queen had been to ireland when she did not want to go and i must say she was dumbfounded and made no reply but unluckily mr emerson overheard this part and called in his deep voice the woman i tell things so badly but you see what a tangle we were in by this time all on account of s having been mentioned in the first place but that was not all after dinner miss lavish actually came up and said needless to say i refused such an unsuitable invitation and she had the impertinence to tell me that it would broaden my ideas and said that she had four brothers all university men except one who was in the army who always made a point of talking to commercial travellers,whatever happened,Lucy,F,minor,,,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0
00047,Lucy,Miss Catherine Alan,189,191,mr beebe old mr emerson is he nice or not nice i do so want to know no but it is so difficult sometimes he is so silly and then i do not mind him miss alan what do you think is he nice,violets oh dear who told you about the violets how do things get round a pension is a bad place for gossips no i cannot forget how they behaved at mr eager s lecture at santa croce oh poor miss honeychurch it really was too bad no i have quite changed i do not like the emersons they are not nice but aren t they always waylaying you to go out with them dear,Miss Catherine Alan; Mr. Beebe,,,F,minor,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1
00048,Mr. Beebe,Lucy,190,192,i consider that you are bound to class him as nice miss alan after that business of the violets,only once charlotte didn t like it and said something quite politely of course,Lucy; Miss Catherine Alan,M,major,,,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0
00049,Miss Catherine Alan,Mr. Beebe,193,195,most right of her they don t understand our ways they must find their level too late to go out all the galleries are shut,i wish we could unluckily i have letters if you do want to go out alone won t you be better on your feet,Lucy; Mr. Beebe,F,minor,M,major,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0
00050,Lucy,Miss Catherine Alan,194,196,i think i shall go out i want to go round the town in the circular tram on the platform by the driver,italians dear you know,Miss Catherine Alan; Mr. Beebe,,,F,minor,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1
00051,Mr. Beebe,Lucy,195,197,i wish we could unluckily i have letters if you do want to go out alone won t you be better on your feet,perhaps i shall meet someone who reads me through and through,Lucy; Miss Catherine Alan,M,major,,,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0
00052,Miss Catherine Alan,Mr. Beebe,196,198,italians dear you know,she oughtn t really to go at all and she knows it i put it down to too much beethoven,Lucy; Mr. Beebe,F,minor,M,major,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1
00053,George Emerson,Lucy,215,217,the man is dead the man is probably dead sit down till you are rested and don t move till i come back,and the murderer tried to kiss him you say how very odd italians are and gave himself up to the police mr beebe was saying that italians know everything but i think they are rather childish when my cousin and i were at the pitti yesterday what was that what did you throw in,Lucy,M,intermediate,,,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1
00054,George Emerson,Lucy,236,238,i shall want to live i say,no charlotte it s very kind of mr beebe but i am certainly coming with you i had much rather,Lucy,M,intermediate,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00055,Lucy,Miss Bartlett,238,240,no charlotte it s very kind of mr beebe but i am certainly coming with you i had much rather,oh let me congratulate you after your despair of yesterday what a fortunate thing,Miss Bartlett,,,F,major,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0
00056,Miss Bartlett,Lucy,240,242,oh let me congratulate you after your despair of yesterday what a fortunate thing,i m sorry if you could manage without it i think i would rather not,Lucy; Miss Lavish,F,major,,,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
00057,Lucy,Miss Bartlett,242,244,i m sorry if you could manage without it i think i would rather not,what is the heroine s name,Miss Bartlett; Miss Lavish,,,F,major,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1
00058,Miss Lavish,Miss Bartlett,249,251,i confess that in italy my sympathies are not with my own countrymen it is the neglected italians who attract me and whose lives i am going to paint so far as i can for i repeat and i insist and i have always held most strongly that a tragedy such as yesterday s is not the less tragic because it happened in humble life,she is emancipated but only in the very best sense of the word none but the superficial would be shocked at her we had a long talk yesterday she believes in justice and truth and human interest she told me also that she has a high opinion of the destiny of woman mr eager why how nice what a pleasant surprise,Lucy; Miss Bartlett,F,intermediate,F,major,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
00059,Rev. Cuthbert Eager,Miss Bartlett,258,260,so you were here alone miss honeychurch,one of our pension acquaintances kindly brought her home,Lucy; Miss Bartlett,M,intermediate,F,major,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
00060,Miss Bartlett,Lucy,260,262,one of our pension acquaintances kindly brought her home,he died by the fountain i believe,Lucy; Rev. Cuthbert Eager,F,major,,,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
00061,Lucy,Miss Bartlett,264,266,were over at the loggia,willingly would i purchase,Miss Bartlett; Rev. Cuthbert Eager,,,F,major,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0
00062,Lucy,Rev. Cuthbert Eager,276,278,do you mean that he is an irreligious man we know that already,i should be astonished if you knew all the boy an innocent child at the time i will exclude god knows what his education and his inherited qualities may have made him,Miss Bartlett; Rev. Cuthbert Eager,,,M,intermediate,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0
00063,Miss Bartlett,Lucy,279,281,perhaps it is something that we had better not hear,you have said very little,Lucy; Rev. Cuthbert Eager,F,major,,,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0
00064,Rev. Cuthbert Eager,Miss Bartlett,286,288,oh i thought they had been libelling me to you but i suppose it is only their personal charms that makes you defend them,how could you think she was defending them,Lucy; Miss Bartlett,M,intermediate,F,major,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0
00065,Miss Bartlett,Rev. Cuthbert Eager,288,290,how could you think she was defending them,i must be going,Lucy; Rev. Cuthbert Eager,F,major,M,intermediate,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
00066,Mr. Beebe,Lucy,289,291,she will find it difficult for that man has murdered his wife in the sight of god,drive oh is our drive to come off,Lucy; Miss Bartlett,M,major,,,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0
00067,Rev. Cuthbert Eager,Lucy,290,292,i must be going,bother the drive it is just the drive we had arranged with mr beebe without any fuss at all why should he invite us in that absurd manner we might as well invite him we are each paying for ourselves,Lucy; Miss Bartlett,M,intermediate,,,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0
00068,Miss Bartlett,Lucy,309,311,oh you droll person pray what would become of your drive in the hills,oh dear me no oh no,Lucy,F,major,,,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0
00069,Rev. Cuthbert Eager,Miss Lavish,310,312,so miss honeychurch you are travelling as a student of art,perhaps as a student of human nature like myself,Lucy; Miss Lavish,M,intermediate,F,intermediate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
00070,Miss Lavish,Rev. Cuthbert Eager,312,314,perhaps as a student of human nature like myself,oh indeed are you indeed if you will not think me rude we residents sometimes pity you poor tourists not a little handed about like a parcel of goods from venice to florence from florence to rome living herded together in pensions or hotels quite unconscious of anything that is outside baedeker their one anxiety to get done or through and go on somewhere else the result is they mix up towns rivers palaces in one inextricable whirl you know the american girl in punch who says and the father replies there s travelling for you ha ha ha,Lucy; Rev. Cuthbert Eager,F,intermediate,M,intermediate,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
00071,Lucy,Miss Lavish,313,315,oh no i am here as a tourist,i quite agree the narrowness and superficiality of the anglo saxon tourist is nothing less than a menace,Miss Lavish; Rev. Cuthbert Eager,,,F,intermediate,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0
00072,Miss Lavish,Rev. Cuthbert Eager,317,319,it does indeed tell me where do they place the scene of that wonderful seventh day,piano piano,Lucy; Rev. Cuthbert Eager,F,intermediate,M,intermediate,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1
00073,Rev. Cuthbert Eager,Miss Lavish,319,321,piano piano,most certainly i would let them be but i dare say i shall receive scant support i have always flown in the face of the conventions all my life this is what i call an adventure,Lucy; Miss Lavish; Persephone; The Driver,M,intermediate,F,intermediate,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0
00074,The Driver,Rev. Cuthbert Eager,320,322,va bene signore va bene va bene she is my sister,we must not submit i knew he was trying it on he is treating us as if we were a party of cook s tourists,Lucy; Miss Lavish; Persephone; Rev. Cuthbert Eager,M,minor,M,intermediate,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
00075,Rev. Cuthbert Eager,Miss Lavish,327,329,victory at last,he was not driving us well he jolted us,Lucy; Miss Lavish; Mr. Emerson,M,intermediate,F,intermediate,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
00076,Miss Lavish,Rev. Cuthbert Eager,331,333,most certainly i have do you refer to lorenzo il magnifico or to lorenzo duke of urbino or to lorenzo surnamed lorenzino on account of his diminutive stature,would render a correct meaning,Lucy; Mr. Emerson; Rev. Cuthbert Eager,F,intermediate,M,intermediate,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0
00077,Mr. Emerson,Miss Lavish,334,336,the point is we have warred with it look fifty miles of spring and we ve come up to admire them do you suppose there s any difference between spring in nature and spring in man but there we go praising the one and condemning the other as improper ashamed that the same laws work eternally through both,the railway oh but i shall die of course it was the railway he is the image of a porter on on the south eastern,Lucy; Miss Lavish; Rev. Cuthbert Eager,M,intermediate,F,intermediate,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0
00078,George Emerson,Miss Bartlett,335,337,the railway,eleanor be quiet hush they ll hear the emersons,Miss Bartlett,M,intermediate,F,major,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00079,Lucy,Miss Bartlett,340,342,i m sure it s all right the emersons won t hear and they wouldn t mind if they did,oh lucy you ought to be with mr eager i m sure,Miss Bartlett; Miss Lavish,,,F,major,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1
00080,Miss Lavish,Lucy,341,343,miss honeychurch listening pouf wouf you naughty girl go away,i can t find them now and i don t want to either,Lucy; Miss Bartlett,F,intermediate,,,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0
