A,B,i_text,j_text,article_i_count,article_j_count,article_i_present,article_j_present,auxverb_i_count,auxverb_j_count,auxverb_i_present,auxverb_j_present,conj_i_count,conj_j_count,conj_i_present,conj_j_present,adverb_i_count,adverb_j_count,adverb_i_present,adverb_j_present,ipron_i_count,ipron_j_count,ipron_i_present,ipron_j_present,negate_i_count,negate_j_count,negate_i_present,negate_j_present,ppron_i_count,ppron_j_count,ppron_i_present,ppron_j_present,prep_i_count,prep_j_count,prep_i_present,prep_j_present,quant_i_count,quant_j_count,quant_i_present,quant_j_present,i_tokens,j_tokens,i_merge_id,j_merge_id,i_addressees,A_gender,A_category,B_gender,B_category
Mr. Woodhouse,Mr. Knightley,but you must have found it very damp and dirty i wish you may not catch cold,dirty sir look at my shoes not a speck on them,0,1,0,1,3,0,1,0,2,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,4,2,1,1,0,2,0,1,0,0,0,0,17,11,11,12,Emma; Mr. Knightley,M,intermediate,M,major
Mr. Knightley,Mr. Woodhouse,dirty sir look at my shoes not a speck on them,well that is quite surprising for we have had a vast deal of rain here it rained dreadfully hard for half an hour while we were at breakfast i wanted them to put off the wedding,1,3,1,1,0,3,0,1,0,2,0,1,0,4,0,1,0,2,0,1,1,0,1,0,2,5,1,1,2,4,1,1,0,0,0,0,11,36,12,13,Emma; Mr. Woodhouse,M,major,M,intermediate
Mr. Woodhouse,Mr. Knightley,well that is quite surprising for we have had a vast deal of rain here it rained dreadfully hard for half an hour while we were at breakfast i wanted them to put off the wedding,by the bye i have not wished you joy being pretty well aware of what sort of joy you must both be feeling i have been in no hurry with my congratulations but i hope it all went off tolerably well how did you all behave who cried most,3,1,1,1,3,7,1,1,2,2,1,1,4,5,1,1,2,1,1,1,0,1,0,1,5,8,1,1,4,6,1,1,0,0,0,0,36,49,13,14,Emma; Mr. Knightley,M,intermediate,M,major
Mr. Knightley,Mr. Woodhouse,by the bye i have not wished you joy being pretty well aware of what sort of joy you must both be feeling i have been in no hurry with my congratulations but i hope it all went off tolerably well how did you all behave who cried most,ah poor miss taylor tis a sad business,1,1,1,1,7,0,1,0,2,0,1,0,5,0,1,0,1,0,1,0,1,0,1,0,8,0,1,0,6,0,1,0,0,0,0,0,49,8,14,15,Emma; Mr. Woodhouse,M,major,M,intermediate
Mr. Woodhouse,Mr. Knightley,ah poor miss taylor tis a sad business,poor mr and miss woodhouse if you please but i cannot possibly say i have a great regard for you and emma but when it comes to the question of dependence or independence at any rate it must be better to have only one to please than two,1,2,1,1,0,3,0,1,0,7,0,1,0,2,0,1,0,2,0,1,0,1,0,1,0,6,0,1,0,5,0,1,0,0,0,0,8,49,15,16,Emma; Mr. Knightley,M,intermediate,M,major
Mr. Knightley,Emma,poor mr and miss woodhouse if you please but i cannot possibly say i have a great regard for you and emma but when it comes to the question of dependence or independence at any rate it must be better to have only one to please than two,especially when one of those two is such a fanciful troublesome creature that is what you have in your head i know and what you would certainly say if my father were not by,2,1,1,1,3,4,1,1,7,3,1,1,2,2,1,1,2,2,1,1,1,1,1,1,6,5,1,1,5,3,1,1,0,0,0,0,49,34,16,17,Emma; Mr. Woodhouse,M,major,F,major
Emma,Mr. Woodhouse,especially when one of those two is such a fanciful troublesome creature that is what you have in your head i know and what you would certainly say if my father were not by,i believe it is very true my dear indeed i am afraid i am sometimes very fanciful and troublesome,1,0,1,0,4,3,1,1,3,1,1,1,2,4,1,1,2,1,1,1,1,0,1,0,5,5,1,1,3,0,1,0,0,0,0,0,34,19,17,18,Mr. Knightley; Mr. Woodhouse,F,major,M,intermediate
Mr. Woodhouse,Emma,i believe it is very true my dear indeed i am afraid i am sometimes very fanciful and troublesome,my dearest papa you do not think i could mean you or suppose mr knightley to mean you what a horrible idea oh no i meant only myself mr knightley loves to find fault with me you know in a joke it is all a joke we always say what we like to one another,0,3,0,1,3,3,1,1,1,1,1,1,4,2,1,1,1,1,1,1,0,1,0,1,5,12,1,1,0,3,0,1,0,0,0,0,19,55,18,19,Emma; Mr. Knightley,M,intermediate,F,major
Emma,Mr. Knightley,my dearest papa you do not think i could mean you or suppose mr knightley to mean you what a horrible idea oh no i meant only myself mr knightley loves to find fault with me you know in a joke it is all a joke we always say what we like to one another,emma knows i never flatter her but i meant no reflection on any body miss taylor has been used to have two persons to please she will now have but one the chances are that she must be a gainer,3,2,1,1,3,6,1,1,1,3,1,1,2,2,1,1,1,3,1,1,1,1,1,1,12,5,1,1,3,1,1,1,0,0,0,0,55,40,19,20,Mr. Knightley; Mr. Woodhouse,F,major,M,major
Mr. Knightley,Emma,emma knows i never flatter her but i meant no reflection on any body miss taylor has been used to have two persons to please she will now have but one the chances are that she must be a gainer,well you want to hear about the wedding and i shall be happy to tell you for we all behaved charmingly every body was punctual every body in their best looks not a tear and hardly a long face to be seen oh no we all felt that we were going to be only half a mile apart and were sure of meeting every day,2,4,1,1,6,7,1,1,3,5,1,1,2,4,1,1,3,0,1,0,1,1,1,1,5,7,1,1,1,3,1,1,0,0,0,0,40,65,20,21,Emma; Mr. Woodhouse,M,major,F,major
Emma,Mr. Woodhouse,well you want to hear about the wedding and i shall be happy to tell you for we all behaved charmingly every body was punctual every body in their best looks not a tear and hardly a long face to be seen oh no we all felt that we were going to be only half a mile apart and were sure of meeting every day,dear emma bears every thing so well but mr knightley she is really very sorry to lose poor miss taylor and i am sure she will miss her more than she thinks for,4,0,1,0,7,3,1,1,5,3,1,1,4,4,1,1,0,4,0,1,1,0,1,0,7,5,1,1,3,1,1,1,0,0,0,0,65,33,21,22,Mr. Knightley; Mr. Woodhouse,F,major,M,intermediate
Mr. Woodhouse,Mr. Knightley,dear emma bears every thing so well but mr knightley she is really very sorry to lose poor miss taylor and i am sure she will miss her more than she thinks for,it is impossible that emma should not miss such a companion we should not like her so well as we do sir if we could suppose it but she knows how much the marriage is to miss taylor s advantage she knows how very acceptable it must be at miss taylor s time of life to be settled in a home of her own and how important to her to be secure of a comfortable provision and therefore cannot allow herself to feel so much pain as pleasure every friend of miss taylor must be glad to have her so happily married,0,4,0,1,3,12,1,1,3,9,1,1,4,7,1,1,4,10,1,1,0,3,0,1,5,13,1,1,1,8,1,1,0,0,0,0,33,103,22,23,Emma; Mr. Knightley,M,intermediate,M,major
Mr. Knightley,Emma,it is impossible that emma should not miss such a companion we should not like her so well as we do sir if we could suppose it but she knows how much the marriage is to miss taylor s advantage she knows how very acceptable it must be at miss taylor s time of life to be settled in a home of her own and how important to her to be secure of a comfortable provision and therefore cannot allow herself to feel so much pain as pleasure every friend of miss taylor must be glad to have her so happily married,and you have forgotten one matter of joy to me and a very considerable one that i made the match myself i made the match you know four years ago and to have it take place and be proved in the right when so many people said mr weston would never marry again may comfort me for any thing,4,4,1,1,12,4,1,1,9,5,1,1,7,5,1,1,10,2,1,1,3,1,1,1,13,8,1,1,8,4,1,1,0,0,0,0,103,59,23,24,Emma; Mr. Woodhouse,M,major,F,major
Emma,Mr. Woodhouse,and you have forgotten one matter of joy to me and a very considerable one that i made the match myself i made the match you know four years ago and to have it take place and be proved in the right when so many people said mr weston would never marry again may comfort me for any thing,ah my dear i wish you would not make matches and foretell things for whatever you say always comes to pass pray do not make any more matches,4,0,1,0,4,2,1,1,5,1,1,1,5,1,1,1,2,0,1,0,1,2,1,1,8,4,1,1,4,1,1,1,0,0,0,0,59,28,24,25,Mr. Knightley; Mr. Woodhouse,F,major,M,intermediate
Mr. Woodhouse,Emma,ah my dear i wish you would not make matches and foretell things for whatever you say always comes to pass pray do not make any more matches,i promise you to make none for myself papa but i must indeed for other people it is the greatest amusement in the world and after such success you know every body said that mr weston would never marry again oh dear no mr weston who had been a widower so long and who seemed so perfectly comfortable without a wife so constantly occupied either in his business in town or among his friends here always acceptable wherever he went always cheerful mr weston need not spend a single evening in the year alone if he did not like it oh no mr weston certainly would never marry again some people even talked of a promise to his wife on her deathbed and others of the son and the uncle not letting him all manner of solemn nonsense was talked on the subject but i believed none of it ever since the day about four years ago that miss taylor and i met with him in broadway lane when because it began to drizzle he darted away with so much gallantry and borrowed two umbrellas for us from farmer mitchell s i made up my mind on the subject i planned the match from that hour and when such success has blessed me in this instance dear papa you cannot think that i shall leave off match making,0,13,0,1,2,12,1,1,1,19,1,1,1,21,1,1,0,16,0,1,2,6,1,1,4,27,1,1,1,27,1,1,0,0,0,0,28,229,25,26,Emma; Mr. Knightley,M,intermediate,F,major
Emma,Mr. Knightley,i promise you to make none for myself papa but i must indeed for other people it is the greatest amusement in the world and after such success you know every body said that mr weston would never marry again oh dear no mr weston who had been a widower so long and who seemed so perfectly comfortable without a wife so constantly occupied either in his business in town or among his friends here always acceptable wherever he went always cheerful mr weston need not spend a single evening in the year alone if he did not like it oh no mr weston certainly would never marry again some people even talked of a promise to his wife on her deathbed and others of the son and the uncle not letting him all manner of solemn nonsense was talked on the subject but i believed none of it ever since the day about four years ago that miss taylor and i met with him in broadway lane when because it began to drizzle he darted away with so much gallantry and borrowed two umbrellas for us from farmer mitchell s i made up my mind on the subject i planned the match from that hour and when such success has blessed me in this instance dear papa you cannot think that i shall leave off match making,i do not understand what you mean by success success supposes endeavour your time has been properly and delicately spent if you have been endeavouring for the last four years to bring about this marriage a worthy employment for a young lady s mind but if which i rather imagine your making the match as you call it means only your planning it your saying to yourself one idle day i think it would be a very good thing for miss taylor if mr weston were to marry her and saying it again to yourself every now and then afterwards why do you talk of success where is your merit what are you proud of you made a lucky guess and that is all that can be said,13,6,1,1,12,14,1,1,19,11,1,1,21,9,1,1,16,8,1,1,6,1,1,1,27,21,1,1,27,9,1,1,0,0,0,0,229,128,26,27,Mr. Knightley; Mr. Woodhouse,F,major,M,major
Mr. Knightley,Emma,i do not understand what you mean by success success supposes endeavour your time has been properly and delicately spent if you have been endeavouring for the last four years to bring about this marriage a worthy employment for a young lady s mind but if which i rather imagine your making the match as you call it means only your planning it your saying to yourself one idle day i think it would be a very good thing for miss taylor if mr weston were to marry her and saying it again to yourself every now and then afterwards why do you talk of success where is your merit what are you proud of you made a lucky guess and that is all that can be said,and have you never known the pleasure and triumph of a lucky guess i pity you i thought you cleverer for depend upon it a lucky guess is never merely luck there is always some talent in it and as to my poor word success which you quarrel with i do not know that i am so entirely without any claim to it you have drawn two pretty pictures but i think there may be a third a something between the do nothing and the do all if i had not promoted mr weston s visits here and given many little encouragements and smoothed many little matters it might not have come to any thing after all i think you must know hartfield enough to comprehend that,6,7,1,1,14,13,1,1,11,11,1,1,9,10,1,1,8,6,1,1,1,5,1,1,21,18,1,1,9,9,1,1,0,2,0,1,128,127,27,28,Emma; Mr. Woodhouse,M,major,F,major
Emma,Mr. Knightley,and have you never known the pleasure and triumph of a lucky guess i pity you i thought you cleverer for depend upon it a lucky guess is never merely luck there is always some talent in it and as to my poor word success which you quarrel with i do not know that i am so entirely without any claim to it you have drawn two pretty pictures but i think there may be a third a something between the do nothing and the do all if i had not promoted mr weston s visits here and given many little encouragements and smoothed many little matters it might not have come to any thing after all i think you must know hartfield enough to comprehend that,a straightforward open hearted man like weston and a rational unaffected woman like miss taylor may be safely left to manage their own concerns you are more likely to have done harm to yourself than good to them by interference,7,2,1,1,13,4,1,1,11,1,1,1,10,2,1,1,6,0,1,0,5,0,1,0,18,4,1,1,9,6,1,1,2,0,1,0,127,40,28,29,Mr. Knightley; Mr. Woodhouse,F,major,M,major
Mr. Knightley,Mr. Woodhouse,a straightforward open hearted man like weston and a rational unaffected woman like miss taylor may be safely left to manage their own concerns you are more likely to have done harm to yourself than good to them by interference,emma never thinks of herself if she can do good to others but my dear pray do not make any more matches they are silly things and break up one s family circle grievously,2,0,1,0,4,3,1,1,1,3,1,1,2,2,1,1,0,2,0,1,0,2,0,1,4,4,1,1,6,3,1,1,0,0,0,0,40,34,29,30,Emma; Mr. Woodhouse,M,major,M,intermediate
Mr. Woodhouse,Emma,emma never thinks of herself if she can do good to others but my dear pray do not make any more matches they are silly things and break up one s family circle grievously,only one more papa only for mr elton poor mr elton you like mr elton papa i must look about for a wife for him there is nobody in highbury who deserves him and he has been here a whole year and has fitted up his house so comfortably that it would be a shame to have him single any longer and i thought when he was joining their hands to day he looked so very much as if he would like to have the same kind office done for him i think very well of mr elton and this is the only way i have of doing him a service,0,6,0,1,3,9,1,1,3,8,1,1,2,12,1,1,2,13,1,1,2,0,1,0,4,17,1,1,3,11,1,1,0,1,0,1,34,111,30,31,Emma; Mr. Knightley,M,intermediate,F,major
Emma,Mr. Woodhouse,only one more papa only for mr elton poor mr elton you like mr elton papa i must look about for a wife for him there is nobody in highbury who deserves him and he has been here a whole year and has fitted up his house so comfortably that it would be a shame to have him single any longer and i thought when he was joining their hands to day he looked so very much as if he would like to have the same kind office done for him i think very well of mr elton and this is the only way i have of doing him a service,mr elton is a very pretty young man to be sure and a very good young man and i have a great regard for him but if you want to shew him any attention my dear ask him to come and dine with us some day that will be a much better thing i dare say mr knightley will be so kind as to meet him,6,4,1,1,9,6,1,1,8,6,1,1,12,5,1,1,13,5,1,1,0,0,0,0,17,9,1,1,11,2,1,1,1,0,1,0,111,66,31,32,Mr. Knightley; Mr. Woodhouse,F,major,M,intermediate
Mr. Woodhouse,Mr. Knightley,mr elton is a very pretty young man to be sure and a very good young man and i have a great regard for him but if you want to shew him any attention my dear ask him to come and dine with us some day that will be a much better thing i dare say mr knightley will be so kind as to meet him,with a great deal of pleasure sir at any time and i agree with you entirely that it will be a much better thing invite him to dinner emma and help him to the best of the fish and the chicken but leave him to chuse his own wife depend upon it a man of six or seven and twenty can take care of himself,4,6,1,1,6,3,1,1,6,8,1,1,5,2,1,1,5,7,1,1,0,0,0,0,9,9,1,1,2,9,1,1,0,0,0,0,66,65,32,33,Emma; Mr. Knightley,M,intermediate,M,major
Mr. Knightley,Mr. Woodhouse,with a great deal of pleasure sir at any time and i agree with you entirely that it will be a much better thing invite him to dinner emma and help him to the best of the fish and the chicken but leave him to chuse his own wife depend upon it a man of six or seven and twenty can take care of himself,ah poor miss taylor she would be very glad to stay,6,0,1,0,3,2,1,1,8,0,1,0,2,1,1,1,7,1,1,1,0,0,0,0,9,1,1,1,9,0,1,0,0,0,0,0,65,11,33,34,Emma; Mr. Woodhouse,M,major,M,intermediate
Mr. Woodhouse,Harriet Smith,mrs bates let me propose your venturing on one of these eggs an egg boiled very soft is not unwholesome serle understands boiling an egg better than any body i would not recommend an egg boiled by any body else but you need not be afraid they are very small you see one of our small eggs will not hurt you miss bates let emma help you to a little bit of tart a very little bit ours are all apple tarts you need not be afraid of unwholesome preserves here i do not advise the custard mrs goddard what say you to half a glass of wine a small half glass put into a tumbler of water i do not think it could disagree with you,two parlours two very good parlours indeed one of them quite as large as mrs goddard s drawing room and of her having an upper maid who had lived five and twenty years with her and of their having eight cows two of them alderneys and one a little welch cow a very pretty little welch cow indeed and of mrs martin s saying as she was so fond of it it should be called her cow and of their having a very handsome summer house in their garden where some day next year they were all to drink tea a very handsome summer house large enough to hold a dozen people,9,6,1,1,12,6,1,1,1,8,1,1,5,12,1,1,2,6,1,1,7,0,1,0,16,12,1,1,13,10,1,1,0,0,0,0,127,112,35,36,Emma; Harriet Smith; Miss Bates; Mrs. Bates,M,intermediate,F,major
Harriet Smith,Emma,two parlours two very good parlours indeed one of them quite as large as mrs goddard s drawing room and of her having an upper maid who had lived five and twenty years with her and of their having eight cows two of them alderneys and one a little welch cow a very pretty little welch cow indeed and of mrs martin s saying as she was so fond of it it should be called her cow and of their having a very handsome summer house in their garden where some day next year they were all to drink tea a very handsome summer house large enough to hold a dozen people,well done mrs martin you know what you are about,6,0,1,0,6,1,1,1,8,0,1,0,12,2,1,1,6,0,1,0,0,0,0,0,12,2,1,1,10,0,1,0,0,0,0,0,112,10,36,37,Emma,F,major,F,major
Harriet Smith,Emma,and when she had come away mrs martin was so very kind as to send mrs goddard a beautiful goose the finest goose mrs goddard had ever seen mrs goddard had dressed it on a sunday and asked all the three teachers miss nash and miss prince and miss richardson to sup with her,mr martin i suppose is not a man of information beyond the line of his own business he does not read,4,2,1,1,4,2,1,1,6,0,1,0,4,0,1,0,3,2,1,1,0,2,0,1,3,3,1,1,2,3,1,1,0,0,0,0,54,21,38,39,Emma,F,major,F,major
Emma,Harriet Smith,mr martin i suppose is not a man of information beyond the line of his own business he does not read,oh yes that is no i do not know but i believe he has read a good deal but not what you would think any thing of he reads the agricultural reports and some other books that lay in one of the window seats but he reads all them to himself but sometimes of an evening before we went to cards he would read something aloud out of the elegant extracts very entertaining and i know he has read the vicar of wakefield he never read the romance of the forest nor the children of the abbey he had never heard of such books before i mentioned them but he is determined to get them now as soon as ever he can,2,10,1,1,2,9,1,1,0,10,0,1,0,9,0,1,2,13,1,1,2,4,1,1,3,19,1,1,3,13,1,1,0,1,0,1,21,122,39,40,Harriet Smith,F,major,F,major
Harriet Smith,Emma,oh yes that is no i do not know but i believe he has read a good deal but not what you would think any thing of he reads the agricultural reports and some other books that lay in one of the window seats but he reads all them to himself but sometimes of an evening before we went to cards he would read something aloud out of the elegant extracts very entertaining and i know he has read the vicar of wakefield he never read the romance of the forest nor the children of the abbey he had never heard of such books before i mentioned them but he is determined to get them now as soon as ever he can,what sort of looking man is mr martin,10,0,1,0,9,1,1,1,10,0,1,0,9,0,1,0,13,0,1,0,4,0,1,0,19,0,1,0,13,1,1,1,1,0,1,0,122,8,40,41,Emma,F,major,F,major
Emma,Harriet Smith,what sort of looking man is mr martin,oh not handsome not at all handsome i thought him very plain at first but i do not think him so plain now one does not you know after a time but did you never see him he is in highbury every now and then and he is sure to ride through every week in his way to kingston he has passed you very often,0,1,0,1,1,6,1,1,0,4,0,1,0,13,0,1,0,7,0,1,0,5,0,1,0,13,0,1,1,6,1,1,0,0,0,0,8,65,41,42,Harriet Smith,F,major,F,major
Harriet Smith,Emma,oh not handsome not at all handsome i thought him very plain at first but i do not think him so plain now one does not you know after a time but did you never see him he is in highbury every now and then and he is sure to ride through every week in his way to kingston he has passed you very often,that may be and i may have seen him fifty times but without having any idea of his name a young farmer whether on horseback or on foot is the very last sort of person to raise my curiosity the yeomanry are precisely the order of people with whom i feel i can have nothing to do a degree or two lower and a creditable appearance might interest me i might hope to be useful to their families in some way or other but a farmer can need none of my help and is therefore in one sense as much above my notice as in every other he is below it,1,7,1,1,6,13,1,1,4,9,1,1,13,5,1,1,7,6,1,1,5,0,1,0,13,13,1,1,6,15,1,1,0,1,0,1,65,111,42,43,Emma,F,major,F,major
Emma,Harriet Smith,that may be and i may have seen him fifty times but without having any idea of his name a young farmer whether on horseback or on foot is the very last sort of person to raise my curiosity the yeomanry are precisely the order of people with whom i feel i can have nothing to do a degree or two lower and a creditable appearance might interest me i might hope to be useful to their families in some way or other but a farmer can need none of my help and is therefore in one sense as much above my notice as in every other he is below it,to be sure oh yes it is not likely you should ever have observed him but he knows you very well indeed i mean by sight,7,0,1,0,13,4,1,1,9,1,1,1,5,4,1,1,6,3,1,1,0,1,0,1,13,6,1,1,15,1,1,1,1,0,1,0,111,26,43,44,Harriet Smith,F,major,F,major
Harriet Smith,Emma,to be sure oh yes it is not likely you should ever have observed him but he knows you very well indeed i mean by sight,i have no doubt of his being a very respectable young man i know indeed that he is so and as such wish him well what do you imagine his age to be,0,1,0,1,4,4,1,1,1,3,1,1,4,3,1,1,3,4,1,1,1,0,1,0,6,7,1,1,1,1,1,1,0,0,0,0,26,33,44,45,Emma,F,major,F,major
Emma,Harriet Smith,i have no doubt of his being a very respectable young man i know indeed that he is so and as such wish him well what do you imagine his age to be,he was four and twenty the 8th of last june and my birthday is the 23rd just a fortnight and a day s difference which is very odd,1,4,1,1,4,3,1,1,3,3,1,1,3,2,1,1,4,1,1,1,0,0,0,0,7,2,1,1,1,1,1,1,0,0,0,0,33,28,45,46,Harriet Smith,F,major,F,major
Harriet Smith,Emma,he was four and twenty the 8th of last june and my birthday is the 23rd just a fortnight and a day s difference which is very odd,only four and twenty that is too young to settle his mother is perfectly right not to be in a hurry they seem very comfortable as they are and if she were to take any pains to marry him she would probably repent it six years hence if he could meet with a good sort of young woman in the same rank as his own with a little money it might be very desirable,4,4,1,1,3,9,1,1,3,5,1,1,2,7,1,1,1,9,1,1,0,1,0,1,2,10,1,1,1,6,1,1,0,0,0,0,28,74,46,47,Emma,F,major,F,major
Emma,Harriet Smith,only four and twenty that is too young to settle his mother is perfectly right not to be in a hurry they seem very comfortable as they are and if she were to take any pains to marry him she would probably repent it six years hence if he could meet with a good sort of young woman in the same rank as his own with a little money it might be very desirable,six years hence dear miss woodhouse he would be thirty years old,4,0,1,0,9,2,1,1,5,0,1,0,7,1,1,1,9,1,1,1,1,0,1,0,10,1,1,1,6,0,1,0,0,0,0,0,74,12,47,48,Harriet Smith,F,major,F,major
Harriet Smith,Emma,six years hence dear miss woodhouse he would be thirty years old,well and that is as early as most men can afford to marry who are not born to an independence mr martin i imagine has his fortune entirely to make cannot be at all beforehand with the world whatever money he might come into when his father died whatever his share of the family property it is i dare say all afloat all employed in his stock and so forth and though with diligence and good luck he may be rich in time it is next to impossible that he should have realised any thing yet,0,3,0,1,2,12,1,1,0,8,0,1,1,10,1,1,1,10,1,1,0,2,0,1,1,11,1,1,0,8,0,1,0,0,0,0,12,97,48,49,Emma,F,major,F,major
Emma,Harriet Smith,well and that is as early as most men can afford to marry who are not born to an independence mr martin i imagine has his fortune entirely to make cannot be at all beforehand with the world whatever money he might come into when his father died whatever his share of the family property it is i dare say all afloat all employed in his stock and so forth and though with diligence and good luck he may be rich in time it is next to impossible that he should have realised any thing yet,to be sure so it is but they live very comfortably they have no indoors man else they do not want for any thing and mrs martin talks of taking a boy another year,3,1,1,1,12,3,1,1,8,2,1,1,10,4,1,1,10,1,1,1,2,1,1,1,11,4,1,1,8,2,1,1,0,0,0,0,97,34,49,50,Harriet Smith,F,major,F,major
Harriet Smith,Emma,to be sure so it is but they live very comfortably they have no indoors man else they do not want for any thing and mrs martin talks of taking a boy another year,i wish you may not get into a scrape harriet whenever he does marry i mean as to being acquainted with his wife for though his sisters from a superior education are not to be altogether objected to it does not follow that he might marry any body at all fit for you to notice the misfortune of your birth ought to make you particularly careful as to your associates there can be no doubt of your being a gentleman s daughter and you must support your claim to that station by every thing within your own power or there will be plenty of people who would take pleasure in degrading you,1,4,1,1,3,15,1,1,2,6,1,1,4,4,1,1,1,6,1,1,1,3,1,1,4,17,1,1,2,16,1,1,0,0,0,0,34,112,50,51,Emma,F,major,F,major
