A,B,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category
Sir Thomas,Mrs. Norris,10,11,there will be some difficulty in our way mrs norris as to the distinction proper to be made between the girls as they grow up how to preserve in the minds of my daughters the consciousness of what they are without making them think too lowly of their cousin and how without depressing her spirits too far to make her remember that she is not a miss bertram i should wish to see them very good friends and would on no account authorise in my girls the smallest degree of arrogance towards their relation but still they cannot be equals their rank fortune rights and expectations will always be different it is a point of great delicacy and you must assist us in our endeavours to choose exactly the right line of conduct,this is not a very promising beginning after all that i said to her as we came along i thought she would have behaved better i told her how much might depend upon her acquitting herself well at first i wish there may not be a little sulkiness of temper her poor mother had a good deal but we must make allowances for such a child and i do not know that her being sorry to leave her home is really against her for with all its faults it was her home and she cannot as yet understand how much she has changed for the better but then there is moderation in all things,Lady Bertram; Mrs. Norris,M,intermediate,F,intermediate
Edmund,Fanny Price,12,13,my dear little cousin what can be the matter you are sorry to leave mama my dear little fanny which shows you to be a very good girl but you must remember that you are with relations and friends who all love you and wish to make you happy let us walk out in the park and you shall tell me all about your brothers and sisters,no no not at all no thank you william did not like she should come away he had told her he should miss her very much indeed,Fanny Price,M,major,F,major
Fanny Price,Edmund,13,14,no no not at all no thank you william did not like she should come away he had told her he should miss her very much indeed,but william will write to you i dare say,Edmund,F,major,M,major
Edmund,Fanny Price,14,15,but william will write to you i dare say,yes he had promised he would but he had told her to write first,Fanny Price,M,major,F,major
Fanny Price,Edmund,15,16,yes he had promised he would but he had told her to write first,and when shall you do it,Edmund,F,major,M,major
Edmund,Fanny Price,16,17,and when shall you do it,she did not know she had not any paper,Fanny Price,M,major,F,major
Fanny Price,Edmund,17,18,she did not know she had not any paper,if that be all your difficulty i will furnish you with paper and every other material and you may write your letter whenever you choose would it make you happy to write to william,Edmund,F,major,M,major
Edmund,Fanny Price,18,19,if that be all your difficulty i will furnish you with paper and every other material and you may write your letter whenever you choose would it make you happy to write to william,yes very,Fanny Price,M,major,F,major
Fanny Price,Edmund,19,20,yes very,then let it be done now come with me into the breakfast room we shall find everything there and be sure of having the room to ourselves,Edmund,F,major,M,major
Edmund,Fanny Price,20,21,then let it be done now come with me into the breakfast room we shall find everything there and be sure of having the room to ourselves,but cousin will it go to the post,Fanny Price,M,major,F,major
Fanny Price,Edmund,21,22,but cousin will it go to the post,yes depend upon me it shall it shall go with the other letters and as your uncle will frank it it will cost william nothing,Edmund,F,major,M,major
Edmund,Fanny Price,22,23,yes depend upon me it shall it shall go with the other letters and as your uncle will frank it it will cost william nothing,my uncle,Fanny Price,M,major,F,major
Fanny Price,Edmund,23,24,my uncle,yes when you have written the letter i will take it to my father to frank,Edmund,F,major,M,major
_unknowable,Mrs. Norris,26,27,dear mama only think my cousin cannot put the map of europe together or my cousin cannot tell the principal rivers in russia or she never heard of asia minor or she does not know the difference between water colours and crayons how strange did you ever hear anything so stupid,my dear it is very bad but you must not expect everybody to be as forward and quick at learning as yourself,Julia Bertram; Lady Bertram; Maria Bertram; Mrs. Norris,M,minor,F,intermediate
_unknowable,Mrs. Norris,28,29,but aunt she is really so very ignorant do you know we asked her last night which way she would go to get to ireland and she said she should cross to the isle of wight she thinks of nothing but the isle of wight and she calls it the island as if there were no other island in the world i am sure i should have been ashamed of myself if i had not known better long before i was so old as she is i cannot remember the time when i did not know a great deal that she has not the least notion of yet how long ago it is aunt since we used to repeat the chronological order of the kings of england with the dates of their accession and most of the principal events of their reigns yes and of the roman emperors as low as severus besides a great deal of the heathen mythology and all the metals semi metals planets and distinguished philosophers,very true indeed my dears but you are blessed with wonderful memories and your poor cousin has probably none at all there is a vast deal of difference in memories as well as in everything else and therefore you must make allowance for your cousin and pity her deficiency and remember that if you are ever so forward and clever yourselves you should always be modest for much as you know already there is a great deal more for you to learn,Julia Bertram; Lady Bertram; Maria Bertram; Mrs. Norris,M,minor,F,intermediate
_unknowable,Mrs. Norris,30,31,yes i know there is till i am seventeen but i must tell you another thing of fanny so odd and so stupid do you know she says she does not want to learn either music or drawing,to be sure my dear that is very stupid indeed and shows a great want of genius and emulation but all things considered i do not know whether it is not as well that it should be so for though you know owing to me your papa and mama are so good as to bring her up with you it is not at all necessary that she should be as accomplished as you are on the contrary it is much more desirable that there should be a difference,Julia Bertram; Lady Bertram; Maria Bertram; Mrs. Norris,M,minor,F,intermediate
Lady Bertram,Fanny Price,33,34,so fanny you are going to leave us and live with my sister how shall you like it,going to leave you,Fanny Price,F,intermediate,F,major
Fanny Price,Lady Bertram,34,35,going to leave you,yes my dear why should you be astonished you have been five years with us and my sister always meant to take you when mr norris died but you must come up and tack on my patterns all the same,Lady Bertram,F,major,F,intermediate
Lady Bertram,Fanny Price,35,36,yes my dear why should you be astonished you have been five years with us and my sister always meant to take you when mr norris died but you must come up and tack on my patterns all the same,i shall be very sorry to go away,Fanny Price,F,intermediate,F,major
Fanny Price,Lady Bertram,36,37,i shall be very sorry to go away,yes i dare say you will that s natural enough i suppose you have had as little to vex you since you came into this house as any creature in the world,Lady Bertram,F,major,F,intermediate
Lady Bertram,Fanny Price,37,38,yes i dare say you will that s natural enough i suppose you have had as little to vex you since you came into this house as any creature in the world,i hope i am not ungrateful aunt,Fanny Price,F,intermediate,F,major
Fanny Price,Lady Bertram,38,39,i hope i am not ungrateful aunt,no my dear i hope not i have always found you a very good girl,Lady Bertram,F,major,F,intermediate
Lady Bertram,Fanny Price,39,40,no my dear i hope not i have always found you a very good girl,and am i never to live here again,Fanny Price,F,intermediate,F,major
Fanny Price,Lady Bertram,40,41,and am i never to live here again,never my dear but you are sure of a comfortable home it can make very little difference to you whether you are in one house or the other,Lady Bertram,F,major,F,intermediate
Lady Bertram,Fanny Price,41,42,never my dear but you are sure of a comfortable home it can make very little difference to you whether you are in one house or the other,cousin something is going to happen which i do not like at all and though you have often persuaded me into being reconciled to things that i disliked at first you will not be able to do it now i am going to live entirely with my aunt norris,Fanny Price,F,intermediate,F,major
Fanny Price,Edmund,44,45,yes my aunt bertram has just told me so it is quite settled i am to leave mansfield park and go to the white house i suppose as soon as she is removed there,well fanny and if the plan were not unpleasant to you i should call it an excellent one,Edmund,F,major,M,major
Edmund,Fanny Price,45,46,well fanny and if the plan were not unpleasant to you i should call it an excellent one,oh cousin,Fanny Price,M,major,F,major
Fanny Price,Edmund,46,47,oh cousin,it has everything else in its favour my aunt is acting like a sensible woman in wishing for you she is choosing a friend and companion exactly where she ought and i am glad her love of money does not interfere you will be what you ought to be to her i hope it does not distress you very much fanny,Edmund,F,major,M,major
Edmund,Fanny Price,47,48,it has everything else in its favour my aunt is acting like a sensible woman in wishing for you she is choosing a friend and companion exactly where she ought and i am glad her love of money does not interfere you will be what you ought to be to her i hope it does not distress you very much fanny,indeed it does i cannot like it i love this house and everything in it i shall love nothing there you know how uncomfortable i feel with her,Fanny Price,M,major,F,major
Fanny Price,Edmund,48,49,indeed it does i cannot like it i love this house and everything in it i shall love nothing there you know how uncomfortable i feel with her,i can say nothing for her manner to you as a child but it was the same with us all or nearly so she never knew how to be pleasant to children but you are now of an age to be treated better i think she is behaving better already and when you are her only companion you must be important to her,Edmund,F,major,M,major
Edmund,Fanny Price,49,50,i can say nothing for her manner to you as a child but it was the same with us all or nearly so she never knew how to be pleasant to children but you are now of an age to be treated better i think she is behaving better already and when you are her only companion you must be important to her,i can never be important to any one,Fanny Price,M,major,F,major
Fanny Price,Edmund,50,51,i can never be important to any one,what is to prevent you,Edmund,F,major,M,major
Edmund,Fanny Price,51,52,what is to prevent you,everything my situation my foolishness and awkwardness,Fanny Price,M,major,F,major
Fanny Price,Edmund,52,53,everything my situation my foolishness and awkwardness,as to your foolishness and awkwardness my dear fanny believe me you never have a shadow of either but in using the words so improperly there is no reason in the world why you should not be important where you are known you have good sense and a sweet temper and i am sure you have a grateful heart that could never receive kindness without wishing to return it i do not know any better qualifications for a friend and companion,Edmund,F,major,M,major
Edmund,Fanny Price,53,54,as to your foolishness and awkwardness my dear fanny believe me you never have a shadow of either but in using the words so improperly there is no reason in the world why you should not be important where you are known you have good sense and a sweet temper and i am sure you have a grateful heart that could never receive kindness without wishing to return it i do not know any better qualifications for a friend and companion,you are too kind how shall i ever thank you as i ought for thinking so well of me oh cousin if i am to go away i shall remember your goodness to the last moment of my life,Fanny Price,M,major,F,major
Fanny Price,Edmund,54,55,you are too kind how shall i ever thank you as i ought for thinking so well of me oh cousin if i am to go away i shall remember your goodness to the last moment of my life,why indeed fanny i should hope to be remembered at such a distance as the white house you speak as if you were going two hundred miles off instead of only across the park but you will belong to us almost as much as ever the two families will be meeting every day in the year the only difference will be that living with your aunt you will necessarily be brought forward as you ought to be here there are too many whom you can hide behind but with her you will be forced to speak for yourself,Edmund,F,major,M,major
Edmund,Fanny Price,55,56,why indeed fanny i should hope to be remembered at such a distance as the white house you speak as if you were going two hundred miles off instead of only across the park but you will belong to us almost as much as ever the two families will be meeting every day in the year the only difference will be that living with your aunt you will necessarily be brought forward as you ought to be here there are too many whom you can hide behind but with her you will be forced to speak for yourself,oh do not say so,Fanny Price,M,major,F,major
Fanny Price,Edmund,56,57,oh do not say so,i must say it and say it with pleasure mrs norris is much better fitted than my mother for having the charge of you now she is of a temper to do a great deal for anybody she really interests herself about and she will force you to do justice to your natural powers,Edmund,F,major,M,major
Edmund,Fanny Price,57,58,i must say it and say it with pleasure mrs norris is much better fitted than my mother for having the charge of you now she is of a temper to do a great deal for anybody she really interests herself about and she will force you to do justice to your natural powers,i cannot see things as you do but i ought to believe you to be right rather than myself and i am very much obliged to you for trying to reconcile me to what must be if i could suppose my aunt really to care for me it would be delightful to feel myself of consequence to anybody here i know i am of none and yet i love the place so well,Fanny Price,M,major,F,major
Fanny Price,Edmund,58,59,i cannot see things as you do but i ought to believe you to be right rather than myself and i am very much obliged to you for trying to reconcile me to what must be if i could suppose my aunt really to care for me it would be delightful to feel myself of consequence to anybody here i know i am of none and yet i love the place so well,the place fanny is what you will not quit though you quit the house you will have as free a command of the park and gardens as ever even your constant little heart need not take fright at such a nominal change you will have the same walks to frequent the same library to choose from the same people to look at the same horse to ride,Edmund,F,major,M,major
Edmund,Fanny Price,59,60,the place fanny is what you will not quit though you quit the house you will have as free a command of the park and gardens as ever even your constant little heart need not take fright at such a nominal change you will have the same walks to frequent the same library to choose from the same people to look at the same horse to ride,very true yes dear old grey pony ah cousin when i remember how much i used to dread riding what terrors it gave me to hear it talked of as likely to do me good oh how i have trembled at my uncle s opening his lips if horses were talked of and then think of the kind pains you took to reason and persuade me out of my fears and convince me that i should like it after a little while and feel how right you proved to be i am inclined to hope you may always prophesy as well,Fanny Price,M,major,F,major
Fanny Price,Edmund,60,61,very true yes dear old grey pony ah cousin when i remember how much i used to dread riding what terrors it gave me to hear it talked of as likely to do me good oh how i have trembled at my uncle s opening his lips if horses were talked of and then think of the kind pains you took to reason and persuade me out of my fears and convince me that i should like it after a little while and feel how right you proved to be i am inclined to hope you may always prophesy as well,and i am quite convinced that your being with mrs norris will be as good for your mind as riding has been for your health and as much for your ultimate happiness too,Edmund,F,major,M,major
Lady Bertram,Mrs. Norris,62,63,i think sister we need not keep miss lee any longer when fanny goes to live with you,live with me dear lady bertram what do you mean,Mrs. Norris,F,intermediate,F,intermediate
Mrs. Norris,Lady Bertram,63,64,live with me dear lady bertram what do you mean,is she not to live with you i thought you had settled it with sir thomas,Lady Bertram,F,intermediate,F,intermediate
Lady Bertram,Mrs. Norris,64,65,is she not to live with you i thought you had settled it with sir thomas,me never i never spoke a syllable about it to sir thomas nor he to me fanny live with me the last thing in the world for me to think of or for anybody to wish that really knows us both good heaven what could i do with fanny me a poor helpless forlorn widow unfit for anything my spirits quite broke down what could i do with a girl at her time of life a girl of fifteen the very age of all others to need most attention and care and put the cheerfullest spirits to the test sure sir thomas could not seriously expect such a thing sir thomas is too much my friend nobody that wishes me well i am sure would propose it how came sir thomas to speak to you about it,Mrs. Norris,F,intermediate,F,intermediate
Mrs. Norris,Lady Bertram,65,66,me never i never spoke a syllable about it to sir thomas nor he to me fanny live with me the last thing in the world for me to think of or for anybody to wish that really knows us both good heaven what could i do with fanny me a poor helpless forlorn widow unfit for anything my spirits quite broke down what could i do with a girl at her time of life a girl of fifteen the very age of all others to need most attention and care and put the cheerfullest spirits to the test sure sir thomas could not seriously expect such a thing sir thomas is too much my friend nobody that wishes me well i am sure would propose it how came sir thomas to speak to you about it,indeed i do not know i suppose he thought it best,Lady Bertram,F,intermediate,F,intermediate
Lady Bertram,Mrs. Norris,66,67,indeed i do not know i suppose he thought it best,but what did he say he could not say he wished me to take fanny i am sure in his heart he could not wish me to do it,Mrs. Norris,F,intermediate,F,intermediate
Mrs. Norris,Lady Bertram,67,68,but what did he say he could not say he wished me to take fanny i am sure in his heart he could not wish me to do it,no he only said he thought it very likely and i thought so too we both thought it would be a comfort to you but if you do not like it there is no more to be said she is no encumbrance here,Lady Bertram,F,intermediate,F,intermediate
Lady Bertram,Mrs. Norris,68,69,no he only said he thought it very likely and i thought so too we both thought it would be a comfort to you but if you do not like it there is no more to be said she is no encumbrance here,dear sister if you consider my unhappy state how can she be any comfort to me here am i a poor desolate widow deprived of the best of husbands my health gone in attending and nursing him my spirits still worse all my peace in this world destroyed with hardly enough to support me in the rank of a gentlewoman and enable me to live so as not to disgrace the memory of the dear departed what possible comfort could i have in taking such a charge upon me as fanny if i could wish it for my own sake i would not do so unjust a thing by the poor girl she is in good hands and sure of doing well i must struggle through my sorrows and difficulties as i can,Mrs. Norris,F,intermediate,F,intermediate
Mrs. Norris,Lady Bertram,69,70,dear sister if you consider my unhappy state how can she be any comfort to me here am i a poor desolate widow deprived of the best of husbands my health gone in attending and nursing him my spirits still worse all my peace in this world destroyed with hardly enough to support me in the rank of a gentlewoman and enable me to live so as not to disgrace the memory of the dear departed what possible comfort could i have in taking such a charge upon me as fanny if i could wish it for my own sake i would not do so unjust a thing by the poor girl she is in good hands and sure of doing well i must struggle through my sorrows and difficulties as i can,then you will not mind living by yourself quite alone,Lady Bertram,F,intermediate,F,intermediate
Lady Bertram,Mrs. Norris,70,71,then you will not mind living by yourself quite alone,lady bertram i do not complain i know i cannot live as i have done but i must retrench where i can and learn to be a better manager i have been a liberal housekeeper enough but i shall not be ashamed to practise economy now my situation is as much altered as my income a great many things were due from poor mr norris as clergyman of the parish that cannot be expected from me it is unknown how much was consumed in our kitchen by odd comers and goers at the white house matters must be better looked after i must live within my income or i shall be miserable and i own it would give me great satisfaction to be able to do rather more to lay by a little at the end of the year,Mrs. Norris,F,intermediate,F,intermediate
Mrs. Norris,Lady Bertram,71,72,lady bertram i do not complain i know i cannot live as i have done but i must retrench where i can and learn to be a better manager i have been a liberal housekeeper enough but i shall not be ashamed to practise economy now my situation is as much altered as my income a great many things were due from poor mr norris as clergyman of the parish that cannot be expected from me it is unknown how much was consumed in our kitchen by odd comers and goers at the white house matters must be better looked after i must live within my income or i shall be miserable and i own it would give me great satisfaction to be able to do rather more to lay by a little at the end of the year,i dare say you will you always do don t you,Lady Bertram,F,intermediate,F,intermediate
Lady Bertram,Mrs. Norris,72,73,i dare say you will you always do don t you,my object lady bertram is to be of use to those that come after me it is for your children s good that i wish to be richer i have nobody else to care for but i should be very glad to think i could leave a little trifle among them worth their having,Mrs. Norris,F,intermediate,F,intermediate
Mrs. Norris,Lady Bertram,73,74,my object lady bertram is to be of use to those that come after me it is for your children s good that i wish to be richer i have nobody else to care for but i should be very glad to think i could leave a little trifle among them worth their having,you are very good but do not trouble yourself about them they are sure of being well provided for sir thomas will take care of that,Lady Bertram,F,intermediate,F,intermediate
Lady Bertram,Mrs. Norris,74,75,you are very good but do not trouble yourself about them they are sure of being well provided for sir thomas will take care of that,why you know sir thomas s means will be rather straitened if the antigua estate is to make such poor returns,Mrs. Norris,F,intermediate,F,intermediate
Mrs. Norris,Lady Bertram,75,76,why you know sir thomas s means will be rather straitened if the antigua estate is to make such poor returns,oh that will soon be settled sir thomas has been writing about it i know,Lady Bertram,F,intermediate,F,intermediate
Lady Bertram,Mrs. Norris,76,77,oh that will soon be settled sir thomas has been writing about it i know,well lady bertram i can only say that my sole desire is to be of use to your family and so if sir thomas should ever speak again about my taking fanny you will be able to say that my health and spirits put it quite out of the question besides that i really should not have a bed to give her for i must keep a spare room for a friend,Mrs. Norris,F,intermediate,F,intermediate
Edmund,Mrs. Norris,80,81,fanny must have a horse fanny must have a horse,if poor sir thomas were fated never to return it would be peculiarly consoling to see their dear maria well married,Lady Bertram; Mrs. Norris,M,major,F,intermediate
Mrs. Grant,Mary Crawford,83,84,and now i have thought of something to make it complete i should dearly love to settle you both in this country and therefore henry you shall marry the youngest miss bertram a nice handsome good humoured accomplished girl who will make you very happy,my dear sister if you can persuade him into anything of the sort it will be a fresh matter of delight to me to find myself allied to anybody so clever and i shall only regret that you have not half a dozen daughters to dispose of if you can persuade henry to marry you must have the address of a frenchwoman all that english abilities can do has been tried already i have three very particular friends who have been all dying for him in their turn and the pains which they their mothers very clever women as well as my dear aunt and myself have taken to reason coax or trick him into marrying is inconceivable he is the most horrible flirt that can be imagined if your miss bertrams do not like to have their hearts broke let them avoid henry,Dr. Grant; Henry Crawford; Mary Crawford,F,intermediate,F,major
Mary Crawford,Mrs. Grant,84,85,my dear sister if you can persuade him into anything of the sort it will be a fresh matter of delight to me to find myself allied to anybody so clever and i shall only regret that you have not half a dozen daughters to dispose of if you can persuade henry to marry you must have the address of a frenchwoman all that english abilities can do has been tried already i have three very particular friends who have been all dying for him in their turn and the pains which they their mothers very clever women as well as my dear aunt and myself have taken to reason coax or trick him into marrying is inconceivable he is the most horrible flirt that can be imagined if your miss bertrams do not like to have their hearts broke let them avoid henry,my dear brother i will not believe this of you,Dr. Grant; Henry Crawford; Mrs. Grant,F,major,F,intermediate
Mrs. Grant,Henry Crawford,85,86,my dear brother i will not believe this of you,no i am sure you are too good you will be kinder than mary you will allow for the doubts of youth and inexperience i am of a cautious temper and unwilling to risk my happiness in a hurry nobody can think more highly of the matrimonial state than myself i consider the blessing of a wife as most justly described in those discreet lines of the poet heaven s last best gift,Dr. Grant; Henry Crawford; Mary Crawford,F,intermediate,M,major
Henry Crawford,Mary Crawford,86,87,no i am sure you are too good you will be kinder than mary you will allow for the doubts of youth and inexperience i am of a cautious temper and unwilling to risk my happiness in a hurry nobody can think more highly of the matrimonial state than myself i consider the blessing of a wife as most justly described in those discreet lines of the poet heaven s last best gift,there mrs grant you see how he dwells on one word and only look at his smile i assure you he is very detestable the admiral s lessons have quite spoiled him,Dr. Grant; Mary Crawford; Mrs. Grant,M,major,F,major
Mary Crawford,Mrs. Grant,87,88,there mrs grant you see how he dwells on one word and only look at his smile i assure you he is very detestable the admiral s lessons have quite spoiled him,i pay very little regard to what any young person says on the subject of marriage if they profess a disinclination for it i only set it down that they have not yet seen the right person,Dr. Grant; Henry Crawford; Mrs. Grant,F,major,F,intermediate
Mrs. Grant,Mary Crawford,88,89,i pay very little regard to what any young person says on the subject of marriage if they profess a disinclination for it i only set it down that they have not yet seen the right person,oh yes i am not at all ashamed of it i would have everybody marry if they can do it properly i do not like to have people throw themselves away but everybody should marry as soon as they can do it to advantage,Dr. Grant; Henry Crawford; Mary Crawford,F,intermediate,F,major
