character,out_degree,in_degree,adaptability_out_strength,adaptability_in_strength,betweenness,betweenness_weighted,gender,category
Mrs. Thingummy,2,2,0.08043996819507021,0.1392773892773892,0.01894736842105263,0.01894736842105263,F,intermediate
Joe,1,1,0.075,0.0,0.0,0.0,M,minor
Mrs. Mann,1,1,0.0733775811209439,0.0170940170940171,0.0,0.0,F,intermediate
Mrs. Gradgrind,3,2,0.0693498452012383,0.0359477124183006,0.0,0.0,F,intermediate
_unknowable,2,0,0.0681818181818181,0.0,0.0,0.0,M,intermediate
The Jailer At The Dodger's Trial,1,2,0.0641025641025641,0.2261904761904761,0.009473684210526315,0.009473684210526315,M,minor
Bitzer,4,2,0.0589174339174338,0.1011214674581011,0.0003601364522417154,0.0,M,intermediate
Mr. Sleary,2,2,0.049672619047619,0.0056689342403628,0.0,0.0,M,intermediate
Kags,2,2,0.044117647058823505,0.0208333333333333,0.0,0.0,M,minor
The Doctor,1,1,0.0384615384615384,0.5,0.0,0.0,M,minor
Dick,2,2,0.037037037037037,3.8208974224112525e-17,0.0,0.0,M,minor
Mrs. Bolter,2,2,0.0365646258503401,0.011570827489481,0.0001461988304093567,0.0,F,intermediate
Martha,1,2,0.0357142857142857,0.0,0.009473684210526315,0.009473684210526315,F,minor
Mr. E. W. B. Childers,3,3,0.0309343434343434,0.1298753665689148,0.0004122807017543859,0.002631578947368421,M,intermediate
Mrs. Bedwin,2,2,0.029043537108053102,0.061360145231112904,0.0,0.0,F,intermediate
Mr. Chitling,3,3,0.028648648648648602,0.161736694677871,0.004859206840630987,0.012280701754385963,M,intermediate
Mr. Grimwig,3,2,0.0282965478211658,0.1747888239116308,0.0,0.0,M,intermediate
The Labouring Man,1,1,0.0277777777777777,0.0909090909090909,0.0,0.0,M,minor
The Surgeon,1,1,0.0256410256410256,0.0454545454545454,0.0,0.0,M,minor
The Book-stall Keeper,2,1,0.01875,0.1299999999999999,0.0,0.0,M,minor
The Officer,2,1,0.0181818181818181,0.0125,0.0003070175438596491,0.0,M,minor
The Hump-backed Man,1,1,0.0074074074074074,0.0156249999999999,0.0,0.0,M,minor
The Driver,1,1,1.3877787807814457e-17,0.0666666666666666,0.0,0.0,M,minor
Mr. Lively,1,1,6.5307236742656274e-18,0.0833333333333333,0.0,0.0,M,minor
Anny,2,1,0.0,0.0357142857142857,0.009473684210526315,0.009473684210526315,F,minor
Mr. Duff,1,1,0.0,0.0308880308880308,0.0,0.0,M,minor
The Magistrate With The Newspaper,1,1,0.0,0.0,0.0,0.0,M,minor
The Gentleman In The White Waistcoat,1,4,0.0,0.2428571428571428,0.0022076023391812867,0.0,M,minor
The Cook,0,1,0.0,0.0,0.0,0.0,F,minor
The Waiter,1,1,0.0,0.0,0.0,0.0,M,minor
The Clerk At The Dodger's Trial,0,1,0.0,0.0,0.0,0.0,M,minor
Slackbridge,1,0,0.0,0.0,0.0,0.0,M,minor
The Chairman,1,0,0.0,0.0,0.0,0.0,M,minor
The Stout Man,1,0,0.0,0.0,0.0,0.0,M,minor
