A,B,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category,novel
Josiah Bounderby,Thomas Gradgrind,28,29,you are to be in all things regulated and governed by fact we hope to have before long a board of fact composed of commissioners of fact who will force the people to be a people of fact and of nothing but fact you must discard the word fancy altogether you have nothing to do with it you are not to have in any object of use or ornament what would be a contradiction in fact you don t walk upon flowers in fact you cannot be allowed to walk upon flowers in carpets you don t find that foreign birds and butterflies come and perch upon your crockery you cannot be permitted to paint foreign birds and butterflies upon your crockery you never meet with quadrupeds going up and down walls you must not have quadrupeds represented upon walls you must use for all these purposes combinations and modifications in primary colours of mathematical figures which are susceptible of proof and demonstration this is the new discovery this is fact this is taste now if mr m choakumchild will proceed to give his first lesson here mr gradgrind i shall be happy at your request to observe his mode of procedure,mr m choakumchild we only wait for you,Bitzer; Cecilia Jupe; Mr. M'choakumchild; Thomas Gradgrind,M,major,M,major,HardTimes
Thomas Gradgrind,Louisa Bounderby,33,34,louisa thomas in the name of wonder idleness and folly what do you do here,wanted to see what it was like,Louisa Bounderby; Young Thomas,M,major,F,major,HardTimes
Louisa Bounderby,Thomas Gradgrind,34,35,wanted to see what it was like,what it was like,Thomas Gradgrind; Young Thomas,F,major,M,major,HardTimes
Thomas Gradgrind,Louisa Bounderby,35,36,what it was like,yes father,Louisa Bounderby; Young Thomas,M,major,F,major,HardTimes
Louisa Bounderby,Thomas Gradgrind,36,37,yes father,thomas though i have the fact before me i find it difficult to believe that you with your education and resources should have brought your sister to a scene like this,Thomas Gradgrind; Young Thomas,F,major,M,major,HardTimes
Thomas Gradgrind,Louisa Bounderby,37,38,thomas though i have the fact before me i find it difficult to believe that you with your education and resources should have brought your sister to a scene like this,i brought him father i asked him to come,Louisa Bounderby; Young Thomas,M,major,F,major,HardTimes
Louisa Bounderby,Thomas Gradgrind,38,39,i brought him father i asked him to come,i am sorry to hear it i am very sorry indeed to hear it it makes thomas no better and it makes you worse louisa you thomas and you to whom the circle of the sciences is open thomas and you who may be said to be replete with facts thomas and you who have been trained to mathematical exactness thomas and you here in this degraded position i am amazed,Thomas Gradgrind; Young Thomas,F,major,M,major,HardTimes
Thomas Gradgrind,Louisa Bounderby,39,40,i am sorry to hear it i am very sorry indeed to hear it it makes thomas no better and it makes you worse louisa you thomas and you to whom the circle of the sciences is open thomas and you who may be said to be replete with facts thomas and you who have been trained to mathematical exactness thomas and you here in this degraded position i am amazed,i was tired father i have been tired a long time,Louisa Bounderby; Young Thomas,M,major,F,major,HardTimes
Louisa Bounderby,Thomas Gradgrind,40,41,i was tired father i have been tired a long time,tired of what,Thomas Gradgrind; Young Thomas,F,major,M,major,HardTimes
Thomas Gradgrind,Louisa Bounderby,41,42,tired of what,i don t know of what of everything i think,Louisa Bounderby; Young Thomas,M,major,F,major,HardTimes
Louisa Bounderby,Thomas Gradgrind,42,43,i don t know of what of everything i think,say not another word you are childish i will hear no more what would your best friends say louisa do you attach no value to their good opinion what would mr bounderby say what would mr bounderby say what would mr bounderby say,Thomas Gradgrind; Young Thomas,F,major,M,major,HardTimes
Mrs. Gradgrind,Josiah Bounderby,44,45,i hadn t a shoe to my foot as to a stocking i didn t know such a thing by name i passed the day in a ditch and the night in a pigsty that s the way i spent my tenth birthday not that a ditch was new to me for i was born in a ditch,no as wet as a sop a foot of water in it,Josiah Bounderby,F,intermediate,M,major,HardTimes
Mrs. Gradgrind,Josiah Bounderby,46,47,enough to give a baby cold,cold i was born with inflammation of the lungs and of everything else i believe that was capable of inflammation for years ma am i was one of the most miserable little wretches ever seen i was so sickly that i was always moaning and groaning i was so ragged and dirty that you wouldn t have touched me with a pair of tongs how i fought through it i don t know i was determined i suppose i have been a determined character in later life and i suppose i was then here i am mrs gradgrind anyhow and nobody to thank for my being here but myself my mother bolted ma am my mother left me to my grandmother and according to the best of my remembrance my grandmother was the wickedest and the worst old woman that ever lived if i got a little pair of shoes by any chance she would take em off and sell em for drink why i have known that grandmother of mine lie in her bed and drink her four teen glasses of liquor before breakfast she kept a chandler s shop and kept me in an egg box that was the cot of my infancy an old egg box as soon as i was big enough to run away of course i ran away then i became a young vagabond and instead of one old woman knocking me about and starving me everybody of all ages knocked me about and starved me they were right they had no business to do anything else i was a nuisance an incumbrance and a pest i know that very well i was to pull through it i suppose mrs gradgrind whether i was to do it or not ma am i did it i pulled through it though nobody threw me out a rope vagabond errand boy vagabond labourer porter clerk chief manager small partner josiah bounderby of coketown those are the antecedents and the culmination josiah bounderby of coketown learnt his letters from the outsides of the shops mrs gradgrind and was first able to tell the time upon a dial plate from studying the steeple clock of st giles s church london under the direction of a drunken cripple who was a convicted thief and an incorrigible vagrant tell josiah bounderby of coketown of your district schools and your model schools and your training schools and your whole kettle of fish of schools and josiah bounderby of coketown tells you plainly all right all correct he hadn t such advantages but let us have hard headed solid fisted people the education that made him won t do for everybody he knows well such and such his education was however and you may force him to swallow boiling fat but you shall never force him to suppress the facts of his life,Josiah Bounderby,F,intermediate,M,major,HardTimes
Josiah Bounderby,Louisa Bounderby,48,49,well what s the matter what is young thomas in the dumps about,we were peeping at the circus and father caught us,Louisa Bounderby; Mrs. Gradgrind; Thomas Gradgrind; Young Thomas,M,major,F,major,HardTimes
Louisa Bounderby,Thomas Gradgrind,49,50,we were peeping at the circus and father caught us,and mrs gradgrind i should as soon have expected to find my children reading poetry,Josiah Bounderby; Mrs. Gradgrind; Thomas Gradgrind; Young Thomas,F,major,M,major,HardTimes
Thomas Gradgrind,Mrs. Gradgrind,50,51,and mrs gradgrind i should as soon have expected to find my children reading poetry,dear me how can you louisa and thomas i wonder at you i declare you re enough to make one regret ever having had a family at all i have a great mind to say i wish i hadn t then what would you have done i should like to know as if with my head in its present throbbing state you couldn t go and look at the shells and minerals and things provided for you instead of circuses you know as well as i do no young people have circus masters or keep circuses in cabinets or attend lectures about circuses what can you possibly want to know of circuses then i am sure you have enough to do if that s what you want with my head in its present state i couldn t remember the mere names of half the facts you have got to attend to,Josiah Bounderby; Louisa Bounderby; Mrs. Gradgrind; Young Thomas,M,major,F,intermediate,HardTimes
Mrs. Gradgrind,Louisa Bounderby,51,52,dear me how can you louisa and thomas i wonder at you i declare you re enough to make one regret ever having had a family at all i have a great mind to say i wish i hadn t then what would you have done i should like to know as if with my head in its present throbbing state you couldn t go and look at the shells and minerals and things provided for you instead of circuses you know as well as i do no young people have circus masters or keep circuses in cabinets or attend lectures about circuses what can you possibly want to know of circuses then i am sure you have enough to do if that s what you want with my head in its present state i couldn t remember the mere names of half the facts you have got to attend to,that s the reason,Josiah Bounderby; Louisa Bounderby; Thomas Gradgrind; Young Thomas,F,intermediate,F,major,HardTimes
Louisa Bounderby,Mrs. Gradgrind,52,53,that s the reason,don t tell me that s the reason because it can t be nothing of the sort go and be somethingological directly,Josiah Bounderby; Mrs. Gradgrind; Thomas Gradgrind; Young Thomas,F,major,F,intermediate,HardTimes
Mrs. Gradgrind,Thomas Gradgrind,53,54,don t tell me that s the reason because it can t be nothing of the sort go and be somethingological directly,bounderby you are always so interested in my young people particularly in louisa that i make no apology for saying to you i am very much vexed by this discovery i have systematically devoted myself as you know to the education of the reason of my family the reason is as you know the only faculty to which education should be addressed and yet bounderby it would appear from this unexpected circumstance of to day though in itself a trifling one as if something had crept into thomas s and louisa s minds which is or rather which is not i don t know that i can express myself better than by saying which has never been intended to be developed and in which their reason has no part,Josiah Bounderby; Louisa Bounderby; Thomas Gradgrind; Young Thomas,F,intermediate,M,major,HardTimes
Thomas Gradgrind,Josiah Bounderby,54,55,bounderby you are always so interested in my young people particularly in louisa that i make no apology for saying to you i am very much vexed by this discovery i have systematically devoted myself as you know to the education of the reason of my family the reason is as you know the only faculty to which education should be addressed and yet bounderby it would appear from this unexpected circumstance of to day though in itself a trifling one as if something had crept into thomas s and louisa s minds which is or rather which is not i don t know that i can express myself better than by saying which has never been intended to be developed and in which their reason has no part,there certainly is no reason in looking with interest at a parcel of vagabonds when i was a vagabond myself nobody looked with any interest at me i know that,Josiah Bounderby; Louisa Bounderby; Mrs. Gradgrind; Young Thomas,M,major,M,major,HardTimes
Josiah Bounderby,Thomas Gradgrind,55,56,there certainly is no reason in looking with interest at a parcel of vagabonds when i was a vagabond myself nobody looked with any interest at me i know that,then comes the question with his eyes on the fire in what has this vulgar curiosity its rise,Louisa Bounderby; Mrs. Gradgrind; Thomas Gradgrind; Young Thomas,M,major,M,major,HardTimes
Thomas Gradgrind,Josiah Bounderby,56,57,then comes the question with his eyes on the fire in what has this vulgar curiosity its rise,i ll tell you in what in idle imagination,Josiah Bounderby; Louisa Bounderby; Mrs. Gradgrind; Young Thomas,M,major,M,major,HardTimes
Josiah Bounderby,Thomas Gradgrind,57,58,i ll tell you in what in idle imagination,i hope not i confess however that the misgiving has crossed me on my way home,Louisa Bounderby; Mrs. Gradgrind; Thomas Gradgrind; Young Thomas,M,major,M,major,HardTimes
Thomas Gradgrind,Josiah Bounderby,58,59,i hope not i confess however that the misgiving has crossed me on my way home,in idle imagination gradgrind a very bad thing for anybody but a cursed bad thing for a girl like louisa i should ask mrs gradgrind s pardon for strong expressions but that she knows very well i am not a refined character whoever expects refinement in me will be disappointed i hadn t a refined bringing up,Josiah Bounderby; Louisa Bounderby; Mrs. Gradgrind; Young Thomas,M,major,M,major,HardTimes
Josiah Bounderby,Thomas Gradgrind,59,60,in idle imagination gradgrind a very bad thing for anybody but a cursed bad thing for a girl like louisa i should ask mrs gradgrind s pardon for strong expressions but that she knows very well i am not a refined character whoever expects refinement in me will be disappointed i hadn t a refined bringing up,whether whether any instructor or servant can have suggested anything whether louisa or thomas can have been reading anything whether in spite of all precautions any idle story book can have got into the house because in minds that have been practically formed by rule and line from the cradle upwards this is so curious so incomprehensible,Louisa Bounderby; Mrs. Gradgrind; Thomas Gradgrind; Young Thomas,M,major,M,major,HardTimes
Thomas Gradgrind,Josiah Bounderby,60,61,whether whether any instructor or servant can have suggested anything whether louisa or thomas can have been reading anything whether in spite of all precautions any idle story book can have got into the house because in minds that have been practically formed by rule and line from the cradle upwards this is so curious so incomprehensible,stop a bit you have one of those strollers children in the school,Josiah Bounderby; Louisa Bounderby; Mrs. Gradgrind; Young Thomas,M,major,M,major,HardTimes
Josiah Bounderby,Thomas Gradgrind,61,62,stop a bit you have one of those strollers children in the school,cecilia jupe by name,Louisa Bounderby; Mrs. Gradgrind; Thomas Gradgrind; Young Thomas,M,major,M,major,HardTimes
Thomas Gradgrind,Josiah Bounderby,62,63,cecilia jupe by name,now stop a bit how did she come there,Josiah Bounderby; Louisa Bounderby; Mrs. Gradgrind; Young Thomas,M,major,M,major,HardTimes
Josiah Bounderby,Thomas Gradgrind,63,64,now stop a bit how did she come there,why the fact is i saw the girl myself for the first time only just now she specially applied here at the house to be admitted as not regularly belonging to our town and yes you are right bounderby you are right,Louisa Bounderby; Mrs. Gradgrind; Thomas Gradgrind; Young Thomas,M,major,M,major,HardTimes
Thomas Gradgrind,Josiah Bounderby,64,65,why the fact is i saw the girl myself for the first time only just now she specially applied here at the house to be admitted as not regularly belonging to our town and yes you are right bounderby you are right,now stop a bit louisa saw her when she came,Josiah Bounderby; Louisa Bounderby; Mrs. Gradgrind; Young Thomas,M,major,M,major,HardTimes
Josiah Bounderby,Thomas Gradgrind,65,66,now stop a bit louisa saw her when she came,louisa certainly did see her for she mentioned the application to me but louisa saw her i have no doubt in mrs gradgrind s presence,Louisa Bounderby; Mrs. Gradgrind; Thomas Gradgrind; Young Thomas,M,major,M,major,HardTimes
Thomas Gradgrind,Josiah Bounderby,66,67,louisa certainly did see her for she mentioned the application to me but louisa saw her i have no doubt in mrs gradgrind s presence,pray mrs gradgrind what passed,Josiah Bounderby; Louisa Bounderby; Mrs. Gradgrind; Young Thomas,M,major,M,major,HardTimes
Josiah Bounderby,Mrs. Gradgrind,67,68,pray mrs gradgrind what passed,oh my poor health the girl wanted to come to the school and mr gradgrind wanted girls to come to the school and louisa and thomas both said that the girl wanted to come and that mr gradgrind wanted girls to come and how was it possible to contradict them when such was the fact,Louisa Bounderby; Mrs. Gradgrind; Thomas Gradgrind; Young Thomas,M,major,F,intermediate,HardTimes
Mrs. Gradgrind,Josiah Bounderby,68,69,oh my poor health the girl wanted to come to the school and mr gradgrind wanted girls to come to the school and louisa and thomas both said that the girl wanted to come and that mr gradgrind wanted girls to come and how was it possible to contradict them when such was the fact,now i tell you what gradgrind turn this girl to the right about and there s an end of it,Josiah Bounderby; Louisa Bounderby; Thomas Gradgrind; Young Thomas,F,intermediate,M,major,HardTimes
Josiah Bounderby,Thomas Gradgrind,69,70,now i tell you what gradgrind turn this girl to the right about and there s an end of it,i am much of your opinion,Louisa Bounderby; Mrs. Gradgrind; Thomas Gradgrind; Young Thomas,M,major,M,major,HardTimes
Thomas Gradgrind,Josiah Bounderby,70,71,i am much of your opinion,do it at once has always been my motto from a child when i thought i would run away from my egg box and my grandmother i did it at once do you the same do this at once,Josiah Bounderby; Louisa Bounderby; Mrs. Gradgrind; Young Thomas,M,major,M,major,HardTimes
Josiah Bounderby,Thomas Gradgrind,71,72,do it at once has always been my motto from a child when i thought i would run away from my egg box and my grandmother i did it at once do you the same do this at once,are you walking i have the father s address perhaps you would not mind walking to town with me,Louisa Bounderby; Mrs. Gradgrind; Thomas Gradgrind; Young Thomas,M,major,M,major,HardTimes
Thomas Gradgrind,Josiah Bounderby,72,73,are you walking i have the father s address perhaps you would not mind walking to town with me,not the least in the world as long as you do it at once i never wear gloves i didn t climb up the ladder in them shouldn t be so high up if i had,Josiah Bounderby; Louisa Bounderby; Mrs. Gradgrind; Young Thomas,M,major,M,major,HardTimes
Josiah Bounderby,Louisa Bounderby,74,75,it s all right now louisa it s all right young thomas you won t do so any more i ll answer for it s being all over with father well louisa that s worth a kiss isn t it,you can take one mr bounderby,Louisa Bounderby; Young Thomas,M,major,F,major,HardTimes
Louisa Bounderby,Josiah Bounderby,75,76,you can take one mr bounderby,always my pet ain t you louisa good bye louisa,Josiah Bounderby; Young Thomas,F,major,M,major,HardTimes
Josiah Bounderby,Young Thomas,76,77,always my pet ain t you louisa good bye louisa,what are you about loo you ll rub a hole in your face,Louisa Bounderby; Young Thomas,M,major,M,major,HardTimes
Young Thomas,Louisa Bounderby,77,78,what are you about loo you ll rub a hole in your face,you may cut the piece out with your penknife if you like tom i wouldn t cry,Louisa Bounderby,M,major,F,major,HardTimes
Thomas Gradgrind,Cecilia Jupe,80,81,halloa stop where are you going stop why are you tearing about the streets in this improper manner,i was i was run after sir and i wanted to get away,Cecilia Jupe; Josiah Bounderby,M,major,F,major,HardTimes
Cecilia Jupe,Thomas Gradgrind,81,82,i was i was run after sir and i wanted to get away,run after who would run after you,Josiah Bounderby; Thomas Gradgrind,F,major,M,major,HardTimes
Thomas Gradgrind,Cecilia Jupe,83,84,what do you mean boy what are you doing how dare you dash against everybody in this manner was this boy running after you jupe,yes sir,Bitzer; Cecilia Jupe; Josiah Bounderby,M,major,F,major,HardTimes
Cecilia Jupe,Bitzer,84,85,yes sir,no i wasn t sir not till she run away from me but the horse riders never mind what they say sir they re famous for it you know the horse riders are famous for never minding what they say it s as well known in the town as please sir as the multiplication table isn t known to the horse riders,Bitzer; Josiah Bounderby; Thomas Gradgrind,F,major,M,intermediate,HardTimes
Bitzer,Cecilia Jupe,85,86,no i wasn t sir not till she run away from me but the horse riders never mind what they say sir they re famous for it you know the horse riders are famous for never minding what they say it s as well known in the town as please sir as the multiplication table isn t known to the horse riders,he frightened me so with his cruel faces,Cecilia Jupe; Josiah Bounderby; Thomas Gradgrind,M,intermediate,F,major,HardTimes
Cecilia Jupe,Bitzer,86,87,he frightened me so with his cruel faces,oh oh an t you one of the rest an t you a horse rider i never looked at her sir i asked her if she would know how to define a horse to morrow and offered to tell her again and she ran away and i ran after her sir that she might know how to answer when she was asked you wouldn t have thought of saying such mischief if you hadn t been a horse rider,Bitzer; Josiah Bounderby; Thomas Gradgrind,F,major,M,intermediate,HardTimes
Bitzer,Josiah Bounderby,87,88,oh oh an t you one of the rest an t you a horse rider i never looked at her sir i asked her if she would know how to define a horse to morrow and offered to tell her again and she ran away and i ran after her sir that she might know how to answer when she was asked you wouldn t have thought of saying such mischief if you hadn t been a horse rider,her calling seems to be pretty well known among em you d have had the whole school peeping in a row in a week,Cecilia Jupe; Josiah Bounderby; Thomas Gradgrind,M,intermediate,M,major,HardTimes
Josiah Bounderby,Thomas Gradgrind,88,89,her calling seems to be pretty well known among em you d have had the whole school peeping in a row in a week,truly i think so bitzer turn you about and take yourself home jupe stay here a moment let me hear of your running in this manner any more boy and you will hear of me through the master of the school you understand what i mean go along,Bitzer; Cecilia Jupe; Thomas Gradgrind,M,major,M,major,HardTimes
Cecilia Jupe,Josiah Bounderby,92,93,dear no sir it s the nine oils,the what,Josiah Bounderby; Thomas Gradgrind,F,major,M,major,HardTimes
Josiah Bounderby,Cecilia Jupe,93,94,the what,the nine oils sir to rub father with,Cecilia Jupe; Thomas Gradgrind,M,major,F,major,HardTimes
Cecilia Jupe,Josiah Bounderby,94,95,the nine oils sir to rub father with,then what the devil do you rub your father with nine oils for,Josiah Bounderby; Thomas Gradgrind,F,major,M,major,HardTimes
Josiah Bounderby,Cecilia Jupe,95,96,then what the devil do you rub your father with nine oils for,it s what our people aways use sir when they get any hurts in the ring they bruise themselves very bad sometimes,Cecilia Jupe; Thomas Gradgrind,M,major,F,major,HardTimes
Cecilia Jupe,Josiah Bounderby,96,97,it s what our people aways use sir when they get any hurts in the ring they bruise themselves very bad sometimes,serve em right for being idle by george when i was four or five years younger than you i had worse bruises upon me than ten oils twenty oils forty oils would have rubbed off i didn t get em by posture making but by being banged about there was no rope dancing for me i danced on the bare ground and was larruped with the rope,Josiah Bounderby; Thomas Gradgrind,F,major,M,major,HardTimes
Josiah Bounderby,Thomas Gradgrind,97,98,serve em right for being idle by george when i was four or five years younger than you i had worse bruises upon me than ten oils twenty oils forty oils would have rubbed off i didn t get em by posture making but by being banged about there was no rope dancing for me i danced on the bare ground and was larruped with the rope,and this is pod s end is it jupe,Cecilia Jupe; Thomas Gradgrind,M,major,M,major,HardTimes
Thomas Gradgrind,Cecilia Jupe,98,99,and this is pod s end is it jupe,this is it sir and if you wouldn t mind sir this is the house it s only crossing the bar sir and up the stairs if you wouldn t mind and waiting there for a moment till i get a candle if you should hear a dog sir it s only merrylegs and he only barks,Cecilia Jupe; Josiah Bounderby,M,major,F,major,HardTimes
Cecilia Jupe,Josiah Bounderby,99,100,this is it sir and if you wouldn t mind sir this is the house it s only crossing the bar sir and up the stairs if you wouldn t mind and waiting there for a moment till i get a candle if you should hear a dog sir it s only merrylegs and he only barks,merrylegs and nine oils eh pretty well this for a self made man,Josiah Bounderby; Thomas Gradgrind,F,major,M,major,HardTimes
Josiah Bounderby,Cecilia Jupe,100,101,merrylegs and nine oils eh pretty well this for a self made man,father is not in our room sir if you wouldn t mind walking in i ll find him directly father must have gone down to the booth sir i don t know why he should go there but he must be there i ll bring him in a minute,Cecilia Jupe; Thomas Gradgrind,M,major,F,major,HardTimes
Cecilia Jupe,Thomas Gradgrind,101,102,father is not in our room sir if you wouldn t mind walking in i ll find him directly father must have gone down to the booth sir i don t know why he should go there but he must be there i ll bring him in a minute,what does she mean back in a minute it s more than a mile off,Josiah Bounderby; Thomas Gradgrind,F,major,M,major,HardTimes
Master Kidderminster,Mr. E. W. B. Childers,103,104,by your leaves gentlemen,by your leaves gentlemen it was you i believe that were wishing to see jupe,Josiah Bounderby; Mr. E. W. B. Childers; Thomas Gradgrind,M,minor,M,intermediate,HardTimes
Mr. E. W. B. Childers,Thomas Gradgrind,104,105,by your leaves gentlemen it was you i believe that were wishing to see jupe,it was his daughter has gone to fetch him but i can t wait therefore if you please i will leave a message for him with you,Josiah Bounderby; Master Kidderminster; Thomas Gradgrind,M,intermediate,M,major,HardTimes
Thomas Gradgrind,Josiah Bounderby,105,106,it was his daughter has gone to fetch him but i can t wait therefore if you please i will leave a message for him with you,you see my friend we are the kind of people who know the value of time and you are the kind of people who don t know the value of time,Josiah Bounderby; Master Kidderminster; Mr. E. W. B. Childers,M,major,M,major,HardTimes
Josiah Bounderby,Mr. E. W. B. Childers,106,107,you see my friend we are the kind of people who know the value of time and you are the kind of people who don t know the value of time,i have not the honour of knowing you but if you mean that you can make more money of your time than i can of mine i should judge from your appearance that you are about right,Master Kidderminster; Mr. E. W. B. Childers; Thomas Gradgrind,M,major,M,intermediate,HardTimes
Mr. E. W. B. Childers,Master Kidderminster,107,108,i have not the honour of knowing you but if you mean that you can make more money of your time than i can of mine i should judge from your appearance that you are about right,and when you have made it you can keep it too i should think,Josiah Bounderby; Master Kidderminster; Thomas Gradgrind,M,intermediate,M,minor,HardTimes
Master Kidderminster,Mr. E. W. B. Childers,108,109,and when you have made it you can keep it too i should think,kidderminster stow that,Josiah Bounderby; Mr. E. W. B. Childers; Thomas Gradgrind,M,minor,M,intermediate,HardTimes
